Sort,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk,
54,W-NCP,WNCP0054,2009,WNCP01,WS0024,7.72 ,13.11 ,3.24 ,2261.5,891.6,162.3,1647.7,3270.13,Cinnamon soils,loam,15.5,28.1,118,8,225,150,150,6527,
55,W-NCP,WNCP0055,2009,WNCP01,WS0024,6.98 ,12.35 ,2.54 ,1986.4,736.5,141.6,1545.1,3043.51,Fluvo-aquic soils,loam,16.6,8.9,65,8.3,183,150,120,7154,
56,W-NCP,WNCP0056,2007,WNCP01,WS0024,8.66 ,14.23 ,4.03 ,2299.1,800.3,229.8,1515.5,3044.66,Cinnamon soils,loam,13.2,17.1,111,8.5,60,150,120,5996,
57,W-NCP,WNCP0057,2009,WNCP01,WS0024,6.98 ,12.33 ,2.55 ,1991.5,731.6,142,1546.1,3043.29,Cinnamon soils,loamy sand,23.5,30.2,105,8,183,150,120,6396,
58,W-NCP,WNCP0058,2009,WNCP01,WS0024,7.68 ,13.05 ,3.21 ,2242.8,882.9,162.3,1637,3252.18,Cinnamon soils,loam,15,4.4,58,6.5,183,150,120,3786,
59,W-NCP,WNCP0059,2008,WNCP01,WS0029,8.89 ,15.37 ,3.73 ,2334.9,850.5,90.7,1661.3,3165.53,Cinnamon soils,loamy sand,25.5,72.6,150,6.8,225,150,150,7925,
60,W-NCP,WNCP0060,2008,WNCP01,WS0029,9.04 ,15.54 ,3.84 ,2380.6,886.2,89.8,1688.1,3217.97,Cinnamon soils,sandy clay loam,18.8,12.7,74,7.2,225,150,150,6431,
61,W-NCP,WNCP0061,2008,WNCP01,WS0029,8.96 ,15.45 ,3.77 ,2351,866.6,89.8,1674.8,3189.61,Cinnamon soils,loam,19.4,12.8,80,8.3,180,150,120,5831,
62,W-NCP,WNCP0062,2008,WNCP01,WS0029,9.10 ,15.61 ,3.90 ,2405.9,901.5,89.8,1699.1,3242.73,Cinnamon soils,loamy sand,19.2,14.2,73,6.9,180,150,120,4970,
63,W-NCP,WNCP0063,2008,WNCP01,WS0029,8.96 ,15.45 ,3.77 ,2351,866.6,89.8,1674.8,3189.61,Cinnamon soils,clay,15.6,15.3,54,7.1,225,150,150,8000,
64,W-NCP,WNCP0064,2008,WNCP01,WS0029,9.10 ,15.61 ,3.90 ,2405.9,901.5,89.8,1699.1,3242.73,Cinnamon soils,loamy sand,22.9,20.4,80,6.8,225,150,150,6620,
65,W-NCP,WNCP0065,2008,WNCP01,WS0029,8.99 ,15.45 ,3.84 ,2378.3,873.9,96.9,1674.8,3198.83,Cinnamon soils,loamy sand,20.5,27.4,82,8.3,225,150,150,7079,
66,W-NCP,WNCP0066,2008,WNCP01,WS0029,9.10 ,15.61 ,3.90 ,2405.9,901.5,89.8,1699.1,3242.73,Cinnamon soils,loam,13.7,34.6,108,7.7,225,150,150,6491,
67,W-NCP,WNCP0067,2008,WNCP01,WS0029,8.96 ,15.45 ,3.77 ,2351,866.6,89.8,1674.8,3189.61,Cinnamon soils,loamy sand,21.4,49.5,136,8,225,150,150,8180,
68,W-NCP,WNCP0068,2009,WNCP01,WS0029,7.26 ,12.75 ,2.79 ,2136.3,820.6,123.7,1540.3,3105.26,Cinnamon soils,loamy sand,18.6,30.1,146,8.4,225,150,150,6957,
69,W-NCP,WNCP0069,2009,WNCP01,WS0029,7.57 ,13.09 ,3.08 ,2231.5,895.8,134.9,1571.6,3189.88,Cinnamon soils,loamy sand,16.8,20.1,72,7.9,225,150,150,6890,
70,W-NCP,WNCP0070,2009,WNCP01,WS0029,7.32 ,12.81 ,2.85 ,2159.6,833.9,134.9,1549.3,3126.9,Cinnamon soils,loamy sand,19.5,14.6,92,8.3,180,150,120,5198,
71,W-NCP,WNCP0071,2009,WNCP01,WS0029,7.20 ,12.68 ,2.74 ,2107.4,811.7,134.9,1529.2,3088.22,Cinnamon soils,loamy sand,11.2,22.1,75,8.1,180,150,120,5066,
72,W-NCP,WNCP0072,2009,WNCP01,WS0029,7.33 ,12.87 ,2.81 ,2131.5,845.8,134.7,1552.9,3133.63,Cinnamon soils,loamy sand,16.7,27.7,93,7.9,180,150,120,5126,
