Sort,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk,
961,W-NCP,WNCP0961,2006,WNCP02,WS0360,10.30 ,15.98 ,5.51 ,2335.6,794.4,199.6,1253.7,2717.19,Cinnamon soils,silt loam,16.2,8.8,100,8.3,180,120,120,8856,
962,W-NCP,WNCP0962,2006,WNCP02,WS0360,10.33 ,15.99 ,5.54 ,2351.7,800.5,199.6,1253.7,2721.64,Cinnamon soils,sandy loam,19.4,9.6,132,7.8,180,120,120,8715,
963,W-NCP,WNCP0963,2007,WNCP02,WS0359,10.09 ,15.23 ,6.17 ,2345.4,759.9,142.7,1105.6,2504.58,Cinnamon soils,loam,24.1,10.4,92,8.2,210,120,120,4844,
964,W-NCP,WNCP0964,2007,WNCP02,WS0359,10.42 ,15.54 ,6.51 ,2439.3,833.8,142.7,1126.5,2572.14,Cinnamon soils,loam,19.6,3.5,103,8.2,180,90,90,4583,
965,W-NCP,WNCP0965,2007,WNCP02,WS0359,9.80 ,14.91 ,5.89 ,2210.4,694.9,142.4,1063.6,2408.97,Cinnamon soils,loam,30.1,15.5,217,8.1,210,120,120,4376,
966,W-NCP,WNCP0966,2007,WNCP02,WS0359,10.10 ,15.22 ,6.18 ,2326.2,760.7,142.7,1094,2485,Cinnamon soils,loam,26,9.8,135,8.2,210,120,120,3594,
967,W-NCP,WNCP0967,2007,WNCP02,WS0358,9.26 ,14.16 ,5.12 ,2193.4,678.5,123.5,1297.3,2736.13,Cinnamon soils,sandy loam,19.1,10.3,120,8.1,120,60,60,4253,
968,W-NCP,WNCP0968,2007,WNCP02,WS0066,9.46 ,15.06 ,4.79 ,2350,760.9,170.8,1100.7,2566.99,Fluvo-aquic soils,loam,20.1,13.7,172,8.3,240,120,120,6647,
969,W-NCP,WNCP0969,2007,WNCP02,WS0066,9.57 ,15.15 ,4.94 ,2405.6,786.5,174.2,1100.7,2584.15,Fluvo-aquic soils,loam,18.7,12.5,172,8.2,240,120,120,7728,
970,W-NCP,WNCP0970,2007,WNCP02,WS0066,9.57 ,15.15 ,4.94 ,2405.6,786.5,174.2,1100.7,2584.15,Fluvo-aquic soils,loam,20.1,12.5,192,8.3,180,90,90,6897,
971,W-NCP,WNCP0971,2007,WNCP02,WS0066,9.50 ,15.10 ,4.84 ,2368.2,769.1,174.2,1100.7,2574.43,Fluvo-aquic soils,loam,19.3,17.2,116,8.1,180,90,90,7497,
972,W-NCP,WNCP0972,2007,WNCP02,WS0066,9.40 ,15.02 ,4.71 ,2316.9,747.8,170.6,1100.7,2557.43,Cinnamon soils,sandy loam,19.5,19,92,8.2,240,120,120,6776,
973,W-NCP,WNCP0973,2007,WNCP02,WS0066,9.57 ,15.15 ,4.94 ,2405.6,786.5,174.2,1100.7,2584.15,Cinnamon soils,sandy loam,20.5,11.2,124,8.2,180,90,90,7221,
974,W-NCP,WNCP0974,2007,WNCP02,WS0069,9.04 ,14.63 ,3.97 ,2141,673.1,184.2,1404.6,2893.65,Fluvo-aquic soils,loam,13.5,8.5,102,8.3,240,120,120,5520,
975,W-NCP,WNCP0975,2007,WNCP02,WS0069,8.85 ,14.43 ,3.81 ,2072,634.1,184.2,1375.3,2824.71,Fluvo-aquic soils,loamy sand,13.5,8.5,102,8.3,240,120,120,4871,
976,W-NCP,WNCP0976,2007,WNCP02,WS0069,8.79 ,14.35 ,3.76 ,2040.4,622.5,184.2,1359,2795.96,Fluvo-aquic soils,loamy sand,9.7,11.3,102,8.5,240,120,120,5382,
977,W-NCP,WNCP0977,2007,WNCP02,WS0069,8.84 ,14.36 ,3.79 ,2006.7,638.8,178.7,1351.4,2803.34,Fluvo-aquic soils,loam,12.8,8.1,179,8.4,180,90,90,6788,
978,W-NCP,WNCP0978,2007,WNCP02,WS0069,8.83 ,14.36 ,3.78 ,1987,638.2,178.7,1338.5,2780.71,Fluvo-aquic soils,loamy sand,13.7,9.6,120,8.4,180,90,90,4737,
979,W-NCP,WNCP0979,2007,WNCP02,WS0069,9.11 ,14.70 ,4.03 ,2166.6,688.7,184.2,1414.7,2917.18,Fluvo-aquic soils,loamy sand,13.5,14.9,111,8.4,180,90,90,7127,
980,W-NCP,WNCP0980,2007,WNCP02,WS0069,9.04 ,14.58 ,3.99 ,2114,676.1,184.2,1386.4,2873.27,Fluvo-aquic soils,loamy sand,12.2,12.8,129,8.4,240,120,120,5903,
981,W-NCP,WNCP0981,2007,WNCP02,WS0069,9.03 ,14.59 ,3.98 ,2120.8,672.9,184.2,1388.8,2872.44,Fluvo-aquic soils,loamy sand,13.5,18.7,211,8.5,180,90,90,7473,
982,W-NCP,WNCP0982,2006,WNCP02,WS0070,10.04 ,15.73 ,5.50 ,2406.4,835.6,215,1232.7,2730.06,Fluvo-aquic soils,loamy sand,16.8,77.9,202,8.2,150,90,90,7503,
983,W-NCP,WNCP0983,2006,WNCP02,WS0070,10.02 ,15.73 ,5.48 ,2404,833.2,215,1238.2,2733.31,Fluvo-aquic soils,clay loam,12.4,29.8,216,8.1,120,60,60,5003,
984,W-NCP,WNCP0984,2005,WNCP02,WS0062,9.97 ,15.82 ,5.19 ,2504.7,853.8,130,1379.6,2961.2,Fluvo-aquic soils,loam,11.6,6.4,64,7.9,120,60,60,4907,
985,W-NCP,WNCP0985,2006,WNCP02,WS0062,10.35 ,16.15 ,5.43 ,2433,838.9,155.6,1249.1,2735.81,Fluvo-aquic soils,loam,13.6,18.9,147,7.7,180,120,120,9186,
986,W-NCP,WNCP0986,2008,WNCP02,WS0060,10.15 ,15.67 ,5.55 ,2414.4,794.7,144.5,1294.2,2713.25,Fluvo-aquic soils,loam,14.2,19.7,111,8.5,210,90,90,6315,
987,W-NCP,WNCP0987,2006,WNCP02,WS0061,10.52 ,16.66 ,5.10 ,2527.2,891.2,150.5,1096.3,2561.15,Fluvo-aquic soils,loam,13,35,127,8.5,180,120,120,8130,
988,W-NCP,WNCP0988,2006,WNCP02,WS0061,10.87 ,17.07 ,5.41 ,2686.7,980.7,150.5,1138.5,2660.02,Fluvo-aquic soils,clay,18.8,37.4,124,8.5,120,60,60,6705,
989,W-NCP,WNCP0989,2006,WNCP02,WS0061,10.51 ,16.67 ,5.09 ,2534.5,888.5,150.5,1104.4,2564.59,Fluvo-aquic soils,sandy loam,19.8,19.3,123,8.4,150,90,90,6639,
990,W-NCP,WNCP0990,2006,WNCP02,WS0061,9.81 ,16.01 ,4.34 ,2171.5,725.5,148.8,1036.2,2391.51,Fluvo-aquic soils,loam,16.2,12.2,150,8.3,120,60,60,6884,
991,W-NCP,WNCP0991,2007,WNCP02,WS0059,9.28 ,15.40 ,4.02 ,2283.4,717.6,157.7,1267.5,2777.96,Fluvo-aquic soils,loamy sand,18.7,16.5,127,8.2,240,120,120,9045,
992,W-NCP,WNCP0992,2007,WNCP02,WS0059,9.28 ,15.40 ,4.02 ,2283.4,717.6,157.7,1267.5,2777.96,Fluvo-aquic soils,loamy sand,14.8,15.5,126,8.2,240,120,120,9135,
993,W-NCP,WNCP0993,2007,WNCP02,WS0059,9.28 ,15.40 ,4.02 ,2283.4,717.6,157.7,1267.5,2777.96,Fluvo-aquic soils,loamy sand,15.4,13.6,113,8.2,240,120,120,8895,
994,W-NCP,WNCP0994,2007,WNCP02,WS0059,9.28 ,15.40 ,4.02 ,2283.4,717.6,157.7,1267.5,2777.96,Fluvo-aquic soils,loamy sand,26.4,32.4,153,8.3,180,90,90,9390,
995,W-NCP,WNCP0995,2007,WNCP02,WS0059,9.28 ,15.40 ,4.02 ,2283.4,717.6,157.7,1267.5,2777.96,Fluvo-aquic soils,sandy loam,20.2,27.8,148,8.2,180,90,90,7815,
996,W-NCP,WNCP0996,2007,WNCP02,WS0059,9.28 ,15.40 ,4.02 ,2283.4,717.6,157.7,1267.5,2777.96,Fluvo-aquic soils,loamy sand,19.2,26.4,116,8.2,180,90,90,7485,
997,W-NCP,WNCP0997,2007,WNCP02,WS0059,9.28 ,15.40 ,4.02 ,2283.4,717.6,157.7,1267.5,2777.96,Fluvo-aquic soils,loam,12.8,19.5,72,8.5,240,120,120,7875,
998,W-NCP,WNCP0998,2007,WNCP02,WS0059,9.72 ,15.87 ,4.41 ,2457.3,821.5,159,1322.2,2917.42,Fluvo-aquic soils,loam,11,20.2,68,8.2,240,120,120,8010,
999,W-NCP,WNCP0999,2006,WNCP02,WS0057,11.41 ,16.84 ,6.98 ,2666.5,972.4,182.3,1289.8,2749.4,Fluvo-aquic soils,loam,20.4,12.2,148,7.9,150,90,90,6809,
1000,W-NCP,WNCP1000,2006,WNCP02,WS0057,11.54 ,16.94 ,7.14 ,2732.5,1008.4,183.7,1297.5,2789.81,Fluvo-aquic soils,loam,21,27,132,8.4,120,60,60,7451,
1001,W-NCP,WNCP1001,2005,WNCP02,WS0354,9.49 ,15.41 ,4.55 ,2107,673.3,154.9,1199.1,2577.04,Cinnamon soils,loam,13.2,5.3,75,8,150,90,90,6876,
1002,W-NCP,WNCP1002,2008,WNCP02,WS0357,10.14 ,16.33 ,5.21 ,2491.4,832,204.2,1359.6,2881.65,Fluvo-aquic soils,loamy sand,16.7,12.2,147,8.2,180,120,120,7725,
1003,W-NCP,WNCP1003,2006,WNCP02,WS0065,9.01 ,15.06 ,3.72 ,2138.7,709.6,183.4,1026,2423.48,Fluvo-aquic soils,loam,13.5,55.5,55,7.8,180,90,120,5054,
1004,W-NCP,WNCP1004,2005,WNCP02,WS0065,8.48 ,14.81 ,3.01 ,2086.8,691.3,88.7,1138.7,2573.78,Fluvo-aquic soils,clay,15.7,15.4,89,8.1,150,90,90,6681,
1005,W-NCP,WNCP1005,2006,WNCP02,WS0065,9.29 ,15.35 ,3.97 ,2239.3,770.2,183.4,1053.7,2497.28,Fluvo-aquic soils,loam,24.2,17.6,116,7.9,180,90,120,6861,0.6
1006,W-NCP,WNCP1006,2005,WNCP02,WS0065,8.71 ,15.03 ,3.22 ,2244.6,729.1,98.6,1200.7,2691.12,Fluvo-aquic soils,loam,13.9,11.4,58,8.1,150,90,90,6840,
1007,W-NCP,WNCP1007,2005,WNCP02,WS0065,8.17 ,14.45 ,2.74 ,1990.6,625.1,88.7,1110,2499.49,Fluvo-aquic soils,loam,6.3,3.7,67,8.2,180,120,120,5981,
1008,W-NCP,WNCP1008,2005,WNCP02,WS0065,8.73 ,15.07 ,3.25 ,2189.4,743.9,88.9,1172.7,2658.82,Fluvo-aquic soils,loam,14.8,21.5,64,8.1,180,120,120,6900,
1009,W-NCP,WNCP1009,2006,WNCP02,WS0065,8.94 ,15.00 ,3.64 ,2104.8,695.7,183.4,1031.7,2427.88,Fluvo-aquic soils,loam,19.7,10.7,78,7.8,180,90,120,6447,
1010,W-NCP,WNCP1010,2005,WNCP02,WS0067,8.02 ,14.43 ,2.83 ,1917.4,596.8,75.9,1213.2,2628.77,Fluvo-aquic soils,loamy sand,11.8,10.2,98,8.3,150,90,90,5817,
1011,W-NCP,WNCP1011,2006,WNCP02,WS0067,9.27 ,15.52 ,4.15 ,2254.2,755.1,163.9,1219.9,2705.46,Fluvo-aquic soils,loam,11.3,21.1,59,8.4,180,120,120,8100,
1012,W-NCP,WNCP1012,2005,WNCP02,WS0067,7.95 ,14.32 ,2.81 ,1918.6,578.4,82.2,1219.3,2634.26,Fluvo-aquic soils,loamy sand,11.2,16.3,66,8.3,180,120,120,6584,
1013,W-NCP,WNCP1013,2005,WNCP02,WS0067,7.83 ,14.17 ,2.71 ,1882.9,552.7,82.2,1204,2599.37,Fluvo-aquic soils,loamy sand,11.4,18,82,8.3,120,60,60,6017,
1014,W-NCP,WNCP1014,2005,WNCP02,WS0067,8.10 ,14.48 ,2.94 ,1993.7,603.5,82.2,1245.5,2688.29,Fluvo-aquic soils,loam,9.9,11.2,53,8.2,120,60,60,5318,
1015,W-NCP,WNCP1015,2006,WNCP02,WS0067,9.03 ,15.26 ,3.91 ,2150.2,701.1,163.9,1199.2,2653.52,Fluvo-aquic soils,loam,11.1,7,48,8.5,120,60,60,7887,
1016,W-NCP,WNCP1016,2007,WNCP02,WS0042,8.70 ,15.12 ,3.52 ,2233.4,761.9,134.9,1460.4,3022.77,Fluvo-aquic soils,silt loam,30.2,68.3,164,7.7,180,120,120,8201,
1017,W-NCP,WNCP1017,2007,WNCP02,WS0042,8.13 ,14.47 ,3.07 ,2045.8,634.3,146,1375.5,2831.82,Cinnamon soils,loam,25.3,24.4,107,7.8,180,120,120,8643,
1018,W-NCP,WNCP1018,2007,WNCP02,WS0042,8.40 ,14.78 ,3.28 ,2135,693.5,135.8,1425.2,2938.63,Cinnamon soils,loam,19.1,33.4,120,7.9,150,90,90,5843,
1019,W-NCP,WNCP1019,2007,WNCP02,WS0042,8.42 ,14.83 ,3.27 ,2132.2,700.7,134.3,1434.4,2951.58,Fluvo-aquic soils,loam,21.5,13.8,104,7.7,180,120,120,8796,
1020,W-NCP,WNCP1020,2007,WNCP02,WS0042,8.50 ,14.93 ,3.33 ,2150.6,719.1,134.9,1434.5,2962.12,Cinnamon soils,loam,21.5,16.7,118,7.9,150,90,90,6548,
1021,W-NCP,WNCP1021,2007,WNCP02,WS0042,8.38 ,14.79 ,3.22 ,2104.8,693.3,134.3,1422.1,2927.49,Fluvo-aquic soils,loamy sand,22.1,31.7,96,7.6,180,120,120,7953,
1022,W-NCP,WNCP1022,2007,WNCP02,WS0056,9.79 ,15.04 ,5.33 ,2417,840.6,163.4,1334.5,2861.65,Cinnamon soils,loam,14.7,25.6,116,7.6,240,120,120,9068,
1023,W-NCP,WNCP1023,2007,WNCP02,WS0056,9.82 ,14.97 ,5.46 ,2473.8,847.4,168.8,1322.4,2862.76,Cinnamon soils,loam,14.5,8.8,128,7.9,270,90,90,6969,
1024,W-NCP,WNCP1024,2007,WNCP02,WS0056,9.82 ,14.97 ,5.46 ,2473.8,847.4,168.8,1322.4,2862.76,Cinnamon soils,sandy loam,11.8,10.1,102,7.7,240,120,120,7955,
1025,W-NCP,WNCP1025,2007,WNCP02,WS0056,9.67 ,14.81 ,5.31 ,2406.4,810,168.5,1302.7,2809.04,Cinnamon soils,loam,16.3,6.6,112,7.8,240,120,120,7953,
1026,W-NCP,WNCP1026,2007,WNCP02,WS0056,9.77 ,14.93 ,5.40 ,2452.2,835.8,168.5,1322.4,2855.3,Cinnamon soils,loam,13.9,10.9,121,7.8,240,120,120,7625,
1027,W-NCP,WNCP1027,2007,WNCP02,WS0056,9.72 ,14.86 ,5.35 ,2428.2,821.8,168.5,1313.2,2833.2,Cinnamon soils,loam,12.6,17.3,126,7.8,240,120,120,7343,
1028,W-NCP,WNCP1028,2007,WNCP02,WS0056,9.97 ,15.15 ,5.57 ,2529.7,883.3,168.8,1343.1,2910.65,Cinnamon soils,loam,13.3,7.8,154,7.9,240,120,120,8306,
1029,W-NCP,WNCP1029,2005,WNCP02,WS0231,8.01 ,14.41 ,2.89 ,2039,656.9,83.3,1316,2820.19,Fluvo-aquic soils,sandy loam,11.3,16.1,78,8.2,150,90,90,5595,
1030,W-NCP,WNCP1030,2005,WNCP02,WS0231,8.01 ,14.41 ,2.89 ,2039,656.9,83.3,1316,2820.19,Fluvo-aquic soils,loam,10.7,15.4,64,8.2,150,90,90,6300,
1031,W-NCP,WNCP1031,2006,WNCP02,WS0231,9.26 ,15.53 ,4.11 ,2364.4,858.7,179.9,1231.7,2785.34,Fluvo-aquic soils,sandy loam,11.5,22.2,98,8.3,150,90,90,7551,
1032,W-NCP,WNCP1032,2006,WNCP02,WS0231,8.45 ,14.65 ,3.39 ,2055.4,679.7,179.9,1140.8,2562.47,Fluvo-aquic soils,loam,13.2,16.1,89,8.3,180,120,120,8346,
1033,W-NCP,WNCP1033,2006,WNCP02,WS0231,8.73 ,14.94 ,3.67 ,2165.1,739.4,179.9,1172,2638.5,Fluvo-aquic soils,loam,11.8,8.1,67,8.3,150,90,90,7986,
1034,W-NCP,WNCP1034,2005,WNCP02,WS0231,7.84 ,14.21 ,2.77 ,1991.7,619.6,83.3,1290.6,2762.83,Fluvo-aquic soils,loam,13,9.2,58,8.2,150,90,90,6459,
1035,W-NCP,WNCP1035,2006,WNCP02,WS0231,8.66 ,14.87 ,3.60 ,2131.2,725.5,179.9,1166.4,2628.37,Fluvo-aquic soils,loam,12.8,10.9,93,8.3,150,90,90,9305,
1036,W-NCP,WNCP1036,2006,WNCP02,WS0231,8.80 ,15.01 ,3.73 ,2190.2,754.5,179.9,1181.7,2661.37,Fluvo-aquic soils,loam,12.9,12.7,51,8.2,150,90,90,7200,
1037,W-NCP,WNCP1037,2005,WNCP02,WS0231,7.87 ,14.26 ,2.79 ,2007.5,625.4,83.3,1300.1,2778.79,Fluvo-aquic soils,loam,15,7.4,177,8.1,180,120,120,5936,
1038,W-NCP,WNCP1038,2006,WNCP02,WS0231,8.41 ,14.61 ,3.35 ,2037.6,671.9,179.9,1140.8,2557.92,Fluvo-aquic soils,loam,12.8,11.2,62,8.3,120,60,60,6743,
1039,W-NCP,WNCP1039,2006,WNCP02,WS0231,9.31 ,15.58 ,4.19 ,2378.2,872.5,180.9,1217.4,2776.28,Fluvo-aquic soils,loam,16,19.1,70,8.1,180,120,120,9444,
1040,W-NCP,WNCP1040,2005,WNCP02,WS0231,7.87 ,14.26 ,2.79 ,2007.5,625.4,83.3,1300.1,2778.79,Fluvo-aquic soils,loam,16.2,5.8,65,8.2,180,120,120,6705,
1041,W-NCP,WNCP1041,2005,WNCP02,WS0363,9.38 ,15.04 ,4.87 ,2160.6,686,224.2,1021.4,2408.55,Lime concretion fluvo-aquic soils,clay,23.2,10.4,111,7.9,180,120,120,7304,
1042,W-NCP,WNCP1042,2005,WNCP02,WS0363,9.86 ,15.54 ,5.30 ,2328.2,793.6,224.3,1036.9,2489.57,Fluvo-aquic soils,loam,14.7,20.4,107,7.9,180,120,120,7961,
1043,W-NCP,WNCP1043,2005,WNCP02,WS0363,9.70 ,15.40 ,5.12 ,2280.3,755.7,224.2,1056.2,2495.58,Lime concretion fluvo-aquic soils,loam,16.4,8.7,98,7.9,180,120,120,7076,
1044,W-NCP,WNCP1044,2006,WNCP02,WS0363,11.03 ,16.58 ,6.64 ,2551.7,893.9,228.2,948.5,2359.44,Fluvo-aquic soils,loam,13.3,12.8,92,8.1,240,90,90,7967,
1045,W-NCP,WNCP1045,2006,WNCP02,WS0363,11.00 ,16.54 ,6.61 ,2565.3,887.5,228.2,942.5,2343.14,Cinnamon soils,loam,16.2,9.1,75,8,120,60,60,6012,
1046,W-NCP,WNCP1046,2006,WNCP02,WS0367,10.22 ,16.50 ,4.87 ,2410.3,818.4,228.8,1102.6,2588.32,Fluvo-aquic soils,loam,11.2,19.8,109,8.4,210,120,90,6768,
1047,W-NCP,WNCP1047,2007,WNCP02,WS0367,9.39 ,15.58 ,4.00 ,2336.9,752.4,199.3,1215.2,2781.39,Fluvo-aquic soils,loam,11.8,17.5,126,8.3,210,120,90,7805,
1048,W-NCP,WNCP1048,2007,WNCP02,WS0367,9.42 ,15.58 ,4.07 ,2363.7,759.2,212.9,1215.2,2790.77,Fluvo-aquic soils,loam,9.4,13.4,93,8.2,210,120,90,7778,
1049,W-NCP,WNCP1049,2006,WNCP02,WS0367,10.22 ,16.50 ,4.87 ,2410.3,818.4,228.8,1102.6,2588.32,Fluvo-aquic soils,loamy sand,15.6,17.9,124,8,210,120,90,5483,
1050,W-NCP,WNCP1050,2006,WNCP02,WS0367,10.61 ,16.97 ,5.23 ,2619.1,917.2,231.3,1162.4,2705.06,Fluvo-aquic soils,loam,11.3,24.3,148,8.1,210,120,90,7001,
1051,W-NCP,WNCP1051,2006,WNCP02,WS0367,10.42 ,16.75 ,5.06 ,2511.1,869.2,228.8,1135.8,2654.48,Lime concretion fluvo-aquic soils,clay,10.8,16.8,124,8.1,210,120,90,7349,
1052,W-NCP,WNCP1052,2006,WNCP02,WS0367,10.22 ,16.50 ,4.87 ,2410.3,818.4,228.8,1102.6,2588.32,Fluvo-aquic soils,loam,12.6,13.4,91,8,210,120,90,5375,
1053,W-NCP,WNCP1053,2007,WNCP02,WS0367,9.39 ,15.58 ,4.00 ,2336.9,752.4,199.3,1215.2,2781.39,Fluvo-aquic soils,loam,15.8,14.5,124,8.1,210,120,90,7653,
1054,W-NCP,WNCP1054,2007,WNCP02,WS0367,9.39 ,15.58 ,4.00 ,2336.9,752.4,199.3,1215.2,2781.39,Fluvo-aquic soils,loam,12.7,22.9,112,8,210,120,90,7974,
1055,W-NCP,WNCP1055,2006,WNCP02,WS0367,10.34 ,16.65 ,4.98 ,2469.8,847.9,228.8,1120.1,2624.65,Lime concretion fluvo-aquic soils,clay,13.5,19.7,145,7.9,210,120,90,6996,
1056,W-NCP,WNCP1056,2006,WNCP02,WS0367,10.22 ,16.50 ,4.87 ,2410.3,818.4,228.8,1102.6,2588.32,Lime concretion fluvo-aquic soils,loam,13.1,26,128,8.2,210,120,90,6900,
1057,W-NCP,WNCP1057,2005,WNCP02,WS0369,8.59 ,14.42 ,3.59 ,1903.8,584.7,168.1,1076.3,2423.69,Fluvo-aquic soils,loam,14.7,36.4,99,8,120,60,60,4757,
1058,W-NCP,WNCP1058,2005,WNCP02,WS0369,8.81 ,14.66 ,3.78 ,2011.4,622.5,168.1,1117,2509.97,Fluvo-aquic soils,loamy sand,11.7,20.9,58,8,150,90,90,6539,
1059,W-NCP,WNCP1059,2006,WNCP02,WS0369,9.58 ,15.77 ,4.76 ,2119.9,659.8,194.5,911.3,2248.56,Fluvo-aquic soils,loamy sand,14.2,18.6,99,8,120,60,60,5820,
1060,W-NCP,WNCP1060,2005,WNCP02,WS0369,9.09 ,14.96 ,4.03 ,2109.5,680.6,168.1,1130.4,2561.1,Fluvo-aquic soils,loam,10,16.2,133,8,150,90,90,5760,
1061,W-NCP,WNCP1061,2006,WNCP02,WS0369,9.50 ,15.69 ,4.67 ,2092.3,642.2,194.5,911.3,2241.18,Fluvo-aquic soils,clay,15.6,15.4,112,8,150,90,90,6660,
1062,W-NCP,WNCP1062,2006,WNCP02,WS0369,9.46 ,15.64 ,4.65 ,2084.4,634.3,194.5,903,2224.88,Fluvo-aquic soils,loamy sand,15.7,14.7,57,8.1,120,60,60,7388,
1063,W-NCP,WNCP1063,2005,WNCP02,WS0370,9.60 ,15.19 ,5.20 ,2176.4,740.3,152.1,1146.2,2587.73,Fluvo-aquic soils,loamy sand,11.1,9.7,84,8.1,180,120,120,7583,
1064,W-NCP,WNCP1064,2006,WNCP02,WS0370,10.86 ,16.60 ,6.36 ,2571.4,884.8,227.4,1100.8,2577.74,Fluvo-aquic soils,loamy sand,13.4,14.7,96,8,180,120,120,8736,
1065,W-NCP,WNCP1065,2005,WNCP02,WS0370,9.72 ,15.31 ,5.32 ,2261.4,765.5,152.4,1179.1,2652.92,Fluvo-aquic soils,loamy sand,14.9,14.2,85,8.1,180,120,120,7284,
1066,W-NCP,WNCP1066,2006,WNCP02,WS0370,10.53 ,16.24 ,6.06 ,2421.4,804.8,227.4,1063.2,2497,Fluvo-aquic soils,loamy sand,14.7,15.1,146,7.9,180,120,120,7926,
1067,W-NCP,WNCP1067,2006,WNCP02,WS0370,10.51 ,16.23 ,6.03 ,2406.1,799.5,227.4,1060.5,2493.8,Fluvo-aquic soils,clay,15.8,13.4,172,8.1,150,90,90,9200,
1068,W-NCP,WNCP1068,2005,WNCP02,WS0370,9.60 ,15.19 ,5.18 ,2185,738.9,152.1,1153.6,2594.46,Fluvo-aquic soils,loam,13.9,14,77,7.9,150,90,90,7338,
1069,W-NCP,WNCP1069,2005,WNCP02,WS0370,9.32 ,14.90 ,4.93 ,2077.4,681.3,152.1,1124.8,2523.75,Fluvo-aquic soils,clay,19.2,13.4,152,8.2,150,90,90,7149,
1070,W-NCP,WNCP1070,2006,WNCP02,WS0370,10.49 ,16.19 ,6.01 ,2400.3,793.7,227.4,1058.6,2482.21,Fluvo-aquic soils,clay,18.6,13.6,150,8.2,150,90,90,8723,
1071,W-NCP,WNCP1071,2005,WNCP02,WS0370,9.58 ,15.18 ,5.17 ,2162.1,736,152,1146.2,2583.58,Fluvo-aquic soils,loam,13.5,9.4,126,8.1,150,90,90,7149,
1072,W-NCP,WNCP1072,2006,WNCP02,WS0370,10.55 ,16.27 ,6.06 ,2424.4,807.8,227.4,1063.6,2502.14,Fluvo-aquic soils,loam,14.2,12.6,129,8.1,150,90,90,7490,
1073,W-NCP,WNCP1073,2005,WNCP02,WS0370,9.63 ,15.24 ,5.21 ,2212.8,746.7,152.1,1167.6,2619.9,Fluvo-aquic soils,loam,15.6,22.5,76,8.1,120,60,60,8556,
1074,W-NCP,WNCP1074,2006,WNCP02,WS0370,10.35 ,16.09 ,5.84 ,2327.5,760.9,227.4,1047.3,2460.11,Fluvo-aquic soils,loam,12.7,12.5,81,8,120,60,60,7085,
1075,W-NCP,WNCP1075,2005,WNCP02,WS0370,9.49 ,15.09 ,5.08 ,2124.8,718.7,152,1134.6,2555.19,Fluvo-aquic soils,loam,15.9,25.2,81,7.9,120,60,60,6164,
1076,W-NCP,WNCP1076,2005,WNCP02,WS0370,9.54 ,15.13 ,5.13 ,2125.9,729.8,152,1129.5,2551.81,Fluvo-aquic soils,loam,16.9,15.2,200,8.1,180,120,120,6675,
1077,W-NCP,WNCP1077,2006,WNCP02,WS0370,10.39 ,16.13 ,5.89 ,2346.8,770.2,227.4,1053.8,2472.35,Fluvo-aquic soils,loam,16.8,16.2,189,7.8,180,120,120,8051,
1078,W-NCP,WNCP1078,2007,WNCP02,WS0361,10.10 ,15.55 ,5.55 ,2450,801.2,214.3,1486.2,3081.37,Cinnamon soils,loamy sand,16.8,12.2,93,8.1,240,120,120,7251,
1079,W-NCP,WNCP1079,2007,WNCP02,WS0361,10.10 ,15.55 ,5.55 ,2450,801.2,214.3,1486.2,3081.37,Fluvo-aquic soils,loam,16.5,15.9,74,8.1,180,90,90,8000,
1080,W-NCP,WNCP1080,2007,WNCP02,WS0361,10.01 ,15.47 ,5.45 ,2408.1,779.3,214.3,1474.5,3050.74,Fluvo-aquic soils,loam,13.7,7.5,79,8.2,240,120,120,7511,
1081,W-NCP,WNCP1081,2007,WNCP02,WS0361,10.16 ,15.70 ,5.53 ,2442.8,814,213,1516.7,3129.35,Fluvo-aquic soils,sandy loam,15.7,9.7,109,8.2,180,90,90,6118,
1082,W-NCP,WNCP1082,2007,WNCP02,WS0361,10.10 ,15.55 ,5.55 ,2450,801.2,214.3,1486.2,3081.37,Cinnamon soils,loam,14.6,6.3,103,8.1,240,120,120,7717,
1083,W-NCP,WNCP1083,2007,WNCP02,WS0361,9.92 ,15.43 ,5.32 ,2337.5,758.7,202.4,1465.7,3016.34,Fluvo-aquic soils,loam,12.7,8.2,83,8.2,180,90,90,7652,
1084,W-NCP,WNCP1084,2007,WNCP02,WS0361,10.16 ,15.70 ,5.53 ,2442.8,814,213,1516.7,3129.35,Fluvo-aquic soils,loam,16.8,12.2,128,8.1,180,90,90,8325,
1085,W-NCP,WNCP1085,2008,WNCP02,WS0362,9.88 ,15.96 ,4.39 ,2276.6,703.5,217.7,1231,2680.27,Cinnamon soils,loam,17.2,7.4,112,8.3,210,90,90,4086,
1086,W-NCP,WNCP1086,2008,WNCP02,WS0386,9.81 ,15.58 ,4.68 ,2314.4,697,306.7,1183,2643.61,Lime concretion fluvo-aquic soils,clay,17,12,83,6.7,180,90,90,7752,
1087,W-NCP,WNCP1087,2008,WNCP02,WS0386,9.85 ,15.63 ,4.70 ,2333.5,706.1,306.7,1192.5,2660.49,Lime concretion fluvo-aquic soils,clay loam,19,14,96,6.9,180,90,90,8195,
