crop,Tave_high,Tmax_high,Tmin_high,GDD>0_high,GDD>10_high,PRE_high,SSD_high,RAD_high,Tave_low,Tmax_low,Tmin_low,GDD>0_low,GDD>10_low,PRE_low,SSD_low,RAD_low
ER-SC,24.5 ,29.8 ,20.9 ,2125.1 ,1255.1 ,698.0 ,411.5 ,1302.9 ,24.3 ,29.3 ,20.9 ,2106.2 ,1236.2 ,686.4 ,370.5 ,1229.3 
ER-SC,26.0 ,30.6 ,22.6 ,2239.6 ,1379.6 ,447.8 ,483.8 ,1416.0 ,26.0 ,30.6 ,22.6 ,2239.6 ,1379.6 ,447.8 ,483.8 ,1416.0 
ER-SC,26.0 ,30.7 ,22.7 ,2236.3 ,1376.3 ,488.9 ,434.9 ,1335.8 ,26.0 ,30.7 ,22.7 ,2236.3 ,1376.3 ,488.9 ,434.9 ,1335.8 
ER-SC,24.6 ,30.3 ,20.7 ,2116.8 ,1256.8 ,477.7 ,429.0 ,1325.9 ,24.6 ,30.3 ,20.7 ,2116.8 ,1256.8 ,477.7 ,429.0 ,1325.9 
ER-SC,25.9 ,31.2 ,22.0 ,1968.4 ,1208.4 ,498.2 ,420.8 ,1236.7 ,25.2 ,30.3 ,21.3 ,2194.9 ,1324.9 ,729.4 ,554.8 ,1534.5 
ER-SC,25.9 ,30.5 ,22.5 ,2208.2 ,1356.2 ,652.7 ,465.5 ,1379.0 ,25.8 ,30.6 ,22.2 ,2026.2 ,1239.5 ,627.8 ,420.5 ,1258.5 
ER-SC,25.0 ,30.8 ,20.8 ,2415.6 ,1448.1 ,498.5 ,522.0 ,1552.7 ,24.0 ,29.8 ,19.9 ,2690.4 ,1570.4 ,550.1 ,567.6 ,1728.0 
ER-SC,24.8 ,29.7 ,21.7 ,2632.3 ,1572.3 ,767.0 ,440.2 ,1476.9 ,24.8 ,29.7 ,21.7 ,2632.3 ,1572.3 ,767.0 ,440.2 ,1476.9 
ER-SC,23.8 ,28.7 ,20.5 ,2379.2 ,1379.2 ,,501.9 ,1544.6 ,25.5 ,30.3 ,22.3 ,2113.4 ,1283.4 ,,319.7 ,1125.2 
ER-SC,27.0 ,31.5 ,23.9 ,3019.3 ,1899.3 ,1373.0 ,500.5 ,1625.8 ,27.0 ,31.5 ,23.9 ,3019.3 ,1899.3 ,1373.0 ,500.5 ,1625.8 
ER-SC,26.6 ,31.3 ,23.3 ,2596.6 ,1621.6 ,673.9 ,474.9 ,1482.7 ,27.1 ,31.8 ,23.8 ,2656.3 ,1676.3 ,638.5 ,492.1 ,1514.7 
ER-SC,26.2 ,30.6 ,23.1 ,2439.9 ,1509.9 ,597.7 ,466.5 ,1392.3 ,27.3 ,32.3 ,23.9 ,2515.2 ,1595.2 ,531.8 ,496.7 ,1365.4 
ER-SC,27.5 ,31.2 ,25.0 ,2416.2 ,1536.2 ,926.7 ,445.3 ,1362.9 ,25.9 ,30.5 ,22.8 ,2621.0 ,1607.7 ,1196.6 ,425.8 ,1427.5 
