Sort,Crop,NO,Year,Province,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk,,
67,LR-SC,LRSC0067,2008,LRSC02,late_maturity,25.8 ,31.6 ,22.1 ,2478.2 ,1518.2 ,582.2 ,614.8 ,1576.5 ,Paddy soil,silty clay loam,36.7 ,7.6 ,40.0 ,5.2 ,165 ,75 ,120 ,6756 ,8300 ,,
68,LR-SC,LRSC0068,2008,LRSC02,late_maturity,25.6 ,31.4 ,21.8 ,2607.2 ,1587.2 ,545.5 ,659.3 ,1665.0 ,Paddy soil,silty clay loam,42.3 ,8.2 ,27.0 ,5.5 ,165 ,75 ,120 ,6315 ,8283 ,,
69,LR-SC,LRSC0069,2008,LRSC02,late_maturity,25.8 ,31.6 ,22.1 ,2478.2 ,1518.2 ,582.2 ,614.8 ,1576.5 ,Paddy soil,silty clay loam,36.3 ,45.9 ,112.0 ,5.2 ,165 ,75 ,120 ,6722 ,8939 ,,
70,LR-SC,LRSC0070,2008,LRSC02,late_maturity,25.8 ,31.6 ,22.1 ,2478.2 ,1518.2 ,582.2 ,614.8 ,1576.5 ,Paddy soil,sandy loam,23.1 ,58.8 ,190.0 ,5.5 ,165 ,75 ,120 ,7095 ,8435 ,,
71,LR-SC,LRSC0071,2008,LRSC02,late_maturity,25.8 ,31.6 ,22.1 ,2478.2 ,1518.2 ,582.2 ,614.8 ,1576.5 ,Paddy soil,sandy loam,31.1 ,36.6 ,30.0 ,5.2 ,165 ,75 ,120 ,7101 ,9705 ,,
72,LR-SC,LRSC0072,2008,LRSC02,late_maturity,25.6 ,31.5 ,21.9 ,2564.7 ,1564.7 ,545.5 ,647.1 ,1638.6 ,Paddy soil,silty clay loam,29.6 ,19.9 ,32.0 ,5.5 ,165 ,75 ,120 ,6245 ,8516 ,,
73,LR-SC,LRSC0073,2008,LRSC02,late_maturity,25.7 ,31.5 ,22.0 ,2699.0 ,1649.0 ,590.4 ,679.8 ,1728.3 ,Paddy soil,silty clay loam,42.2 ,16.4 ,131.0 ,4.7 ,165 ,75 ,120 ,6858 ,8235 ,,
74,LR-SC,LRSC0074,2008,LRSC02,late_maturity,25.7 ,31.5 ,22.0 ,2699.0 ,1649.0 ,590.4 ,679.8 ,1728.3 ,Paddy soil,sandy loam,37.3 ,18.9 ,78.0 ,4.8 ,165 ,75 ,120 ,5234 ,8270 ,,
75,LR-SC,LRSC0075,2008,LRSC02,late_maturity,25.4 ,31.2 ,21.7 ,2564.2 ,1554.2 ,547.0 ,630.7 ,1597.5 ,Paddy soil,clay,21.6 ,52.2 ,120.0 ,5.3 ,165 ,75 ,120 ,5229 ,6570 ,,
76,LR-SC,LRSC0076,2008,LRSC02,late_maturity,25.4 ,31.2 ,21.7 ,2564.2 ,1554.2 ,547.0 ,630.7 ,1597.5 ,Paddy soil,clay,20.2 ,9.6 ,36.0 ,4.8 ,165 ,75 ,120 ,5069 ,8069 ,,
77,LR-SC,LRSC0077,2008,LRSC02,late_maturity,25.7 ,31.8 ,21.6 ,2697.4 ,1647.4 ,479.9 ,659.7 ,1738.7 ,Paddy soil,silty clay loam,32.9 ,18.9 ,108.0 ,4.6 ,119 ,33 ,83 ,6588 ,8670 ,,
78,LR-SC,LRSC0078,2007,LRSC02,medium_maturity,25.7 ,31.7 ,21.7 ,2745.7 ,1675.7 ,306.4 ,531.7 ,1490.6 ,Paddy soil,silty clay loam,43.5 ,22.5 ,108.0 ,5.0 ,165 ,60 ,105 ,4719 ,9023 ,,
79,LR-SC,LRSC0079,2007,LRSC02,late_maturity,27.1 ,33.1 ,23.3 ,2386.7 ,1506.7 ,318.7 ,429.6 ,1264.9 ,Paddy soil,silty clay loam,41.0 ,12.3 ,67.0 ,5.0 ,165 ,60 ,105 ,5757 ,6900 ,,
80,LR-SC,LRSC0080,2007,LRSC02,late_maturity,25.9 ,31.9 ,22.0 ,2667.7 ,1637.7 ,306.4 ,512.2 ,1445.2 ,Paddy soil,silty clay loam,26.0 ,21.6 ,61.0 ,4.9 ,165 ,60 ,105 ,7802 ,9533 ,,
81,LR-SC,LRSC0081,2008,LRSC02,late_maturity,27.3 ,33.4 ,23.1 ,2755.1 ,1745.1 ,397.8 ,570.8 ,1546.1 ,Paddy soil,silty clay loam,34.2 ,40.7 ,105.0 ,5.0 ,150 ,60 ,135 ,7314 ,8988 ,,
82,LR-SC,LRSC0082,2008,LRSC02,late_maturity,26.9 ,33.0 ,22.8 ,2937.1 ,1847.1 ,400.1 ,601.6 ,1626.6 ,Paddy soil,loam,36.5 ,6.2 ,49.0 ,4.5 ,150 ,60 ,135 ,4626 ,8001 ,,
83,LR-SC,LRSC0083,2008,LRSC02,late_maturity,27.7 ,33.9 ,23.4 ,2686.7 ,1716.7 ,427.6 ,568.4 ,1538.6 ,Paddy soil,silty clay loam,34.6 ,10.3 ,87.0 ,5.0 ,180 ,45 ,135 ,7940 ,8472 ,,
84,LR-SC,LRSC0084,2008,LRSC02,late_maturity,27.1 ,33.2 ,23.0 ,2789.6 ,1759.6 ,384.7 ,567.1 ,1542.1 ,Paddy soil,silty clay loam,47.8 ,16.3 ,133.0 ,4.8 ,150 ,60 ,135 ,4910 ,8301 ,,
85,LR-SC,LRSC0085,2009,LRSC02,late_maturity,26.2 ,32.7 ,21.9 ,2804.9 ,1734.9 ,284.1 ,703.2 ,1747.3 ,Paddy soil,silty clay loam,31.6 ,11.5 ,143.0 ,4.9 ,180 ,45 ,135 ,3963 ,7601 ,,
86,LR-SC,LRSC0086,2009,LRSC02,late_maturity,26.0 ,32.5 ,21.6 ,3013.5 ,1853.5 ,293.3 ,774.3 ,1907.2 ,Paddy soil,silty clay loam,36.1 ,17.5 ,67.0 ,4.9 ,180 ,45 ,135 ,5492 ,9233 ,,
87,LR-SC,LRSC0087,2009,LRSC02,late_maturity,27.7 ,33.9 ,23.5 ,2684.9 ,1714.9 ,298.5 ,650.7 ,1673.3 ,Paddy soil,clay loam,27.3 ,5.5 ,37.0 ,4.8 ,180 ,45 ,135 ,4575 ,7389 ,,
88,LR-SC,LRSC0088,2009,LRSC02,late_maturity,26.2 ,32.7 ,21.9 ,3038.8 ,1878.8 ,301.5 ,778.7 ,1925.1 ,Paddy soil,silty clay loam,20.9 ,5.7 ,20.0 ,4.8 ,180 ,45 ,135 ,7940 ,8472 ,,
89,LR-SC,LRSC0089,2007,LRSC02,late_maturity,25.9 ,32.0 ,21.9 ,2925.9 ,1795.9 ,318.7 ,581.5 ,1615.6 ,Paddy soil,silty clay loam,46.7 ,61.5 ,72.0 ,5.0 ,165 ,60 ,105 ,6333 ,8436 ,,
90,LR-SC,LRSC0090,2007,LRSC02,late_maturity,25.8 ,31.9 ,21.8 ,2834.4 ,1734.4 ,318.7 ,552.6 ,1546.5 ,Paddy soil,silty clay loam,68.5 ,44.3 ,201.0 ,5.1 ,165 ,60 ,105 ,8084 ,10071 ,,
91,LR-SC,LRSC0091,2007,LRSC02,late_maturity,25.9 ,32.0 ,21.9 ,2925.9 ,1795.9 ,318.7 ,581.5 ,1615.6 ,Paddy soil,silty clay loam,36.6 ,25.1 ,46.0 ,5.0 ,165 ,60 ,105 ,6957 ,9096 ,,
92,LR-SC,LRSC0092,2007,LRSC02,late_maturity,23.1 ,28.7 ,19.8 ,2425.5 ,1375.5 ,515.6 ,390.9 ,1224.4 ,Paddy soil,sandy loam,48.1 ,64.4 ,67.0 ,5.0 ,150 ,60 ,105 ,3930 ,6528 ,,
93,LR-SC,LRSC0093,2007,LRSC02,late_maturity,24.0 ,29.3 ,20.4 ,2519.3 ,1469.3 ,422.1 ,441.6 ,1304.3 ,Paddy soil,silty clay loam,33.7 ,12.5 ,166.0 ,4.6 ,173 ,63 ,162 ,5685 ,6554 ,,
94,LR-SC,LRSC0094,2007,LRSC02,medium_maturity,24.0 ,29.3 ,20.4 ,2519.3 ,1469.3 ,422.1 ,441.6 ,1304.3 ,Paddy soil,silty clay loam,24.3 ,25.7 ,118.0 ,4.6 ,173 ,63 ,162 ,5855 ,6536 ,,
95,LR-SC,LRSC0095,2007,LRSC02,late_maturity,22.9 ,28.2 ,19.2 ,2308.4 ,1298.4 ,387.6 ,443.9 ,1229.4 ,Paddy soil,silty clay loam,23.9 ,36.6 ,156.0 ,5.2 ,173 ,63 ,162 ,5583 ,6167 ,,
96,LR-SC,LRSC0096,2007,LRSC02,late_maturity,24.9 ,30.3 ,21.2 ,2611.3 ,1561.3 ,397.3 ,466.3 ,1372.5 ,Paddy soil,silty clay loam,55.1 ,23.1 ,123.0 ,5.1 ,173 ,63 ,162 ,5739 ,5870 ,,
