Sort,Crop,NO,Year,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
139,M-SWC,MSWC0139,2008,19.6,25.3,15.9,3137.1,1537.1,918.4,780,2389,late_maturity,Yellow earths,,22,41,83,6.6,180,120,180,6437
140,M-SWC,MSWC0140,2009,19.3,24.5,16,3044.7,1464.7,792.9,757.8,2346,late_maturity,Yellow earths,,33.5,3.2,141,5.2,180,104,75,6951
141,M-SWC,MSWC0141,2009,19.4,24.5,16.2,3015.1,1455.1,803.7,721,2270.6,late_maturity,Yellow earths,,39.9,14.4,110,5.1,225,90,210,10011
142,M-SWC,MSWC0142,2009,19.3,24.4,16.1,3071.4,1481.4,839.4,734.7,2309.1,late_maturity,Yellow earths,,39.6,3.8,244,5.1,210,98,105,8367
143,M-SWC,MSWC0143,2007,19,24.1,15.7,2816.7,1336.7,1137.1,627,2063.5,late_maturity,Yellow earths,,30.2,20.7,90,6.5,210,135,210,7950
144,M-SWC,MSWC0144,2008,18.9,23.9,15.7,2795.8,1315.8,1055.1,634.5,2016.5,late_maturity,Yellow earths,,29.2,7,270,5.2,210,135,210,8372
145,M-SWC,MSWC0145,2008,18.9,23.8,15.7,2717.6,1277.6,1029.6,615.2,1952.5,late_maturity,Yellow earths,,38.9,3.4,268,5.1,180,120,180,7365
146,M-SWC,MSWC0146,2009,19.7,24.8,16.6,2762.7,1362.7,800.9,666.3,2061.9,late_maturity,Yellow earths,,33.8,4,220,7.3,210,102,105,8867
147,M-SWC,MSWC0147,2009,19.7,24.8,16.6,2721,1341,797.9,638.3,1998.4,late_maturity,Yellow earths,,31.6,5,290,7.5,225,105,120,9750
148,M-SWC,MSWC0148,2007,19,24.1,15.6,2919.4,1379.4,1156.1,665.4,2166,late_maturity,Yellow-brown earths,,54.5,6.8,130,7.6,210,135,210,7400
149,M-SWC,MSWC0149,2007,23.6,29.2,19.7,3020.4,1740.4,825.9,425.1,1608.3,late_maturity,Paddy soils,,14.5,12,55,6.4,150,120,150,8438
150,M-SWC,MSWC0150,2007,23.2,28.6,19.4,2486.9,1416.9,750.7,314.1,1282.5,medium_maturity,Upland soils,,16.8,24.6,81,6.4,180,120,180,8000
151,M-SWC,MSWC0151,2007,23.5,29.1,19.5,3004.1,1724.1,825.5,437.5,1627.6,medium_maturity,Upland soils,,18.5,16.1,102,6.6,180,90,150,7688
152,M-SWC,MSWC0152,2007,23.1,28.6,19.2,2656.6,1506.6,752.9,355.9,1404.9,medium_maturity,Upland soils,,26.2,21,103,6.2,180,120,180,8871
153,M-SWC,MSWC0153,2007,23.5,29,19.6,2885,1655,825.5,400.5,1533.9,late_maturity,Upland soils,,27.8,21.3,115,6.4,180,120,180,7885
154,M-SWC,MSWC0154,2007,23.5,29,19.6,2868.5,1648.5,825.5,396.3,1520.6,late_maturity,Upland soils,,22.4,21.8,116,6.9,150,120,180,8254
