Sort,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk,,
83,LR-SC,LRSC0083,2008,LRSC03,WS0864,26.95 ,33.03 ,22.84 ,2937.1,1847.1,400.1,601.6,1626.57,Paddy soil,loam,36.5,6.2,49,4.5,150,60,135,8001,,
84,LR-SC,LRSC0084,2008,LRSC03,WS0864,27.70 ,33.93 ,23.43 ,2686.7,1716.7,427.6,568.4,1538.57,Paddy soil,silty clay loam,34.6,10.3,87,5,180,45,135,8472,,
85,LR-SC,LRSC0085,2008,LRSC03,WS0864,27.08 ,33.16 ,22.95 ,2789.6,1759.6,384.7,567.1,1542.05,Paddy soil,silty clay loam,47.8,16.3,133,4.8,150,60,135,8301,,
86,LR-SC,LRSC0086,2009,LRSC03,WS0864,26.21 ,32.68 ,21.94 ,2804.9,1734.9,284.1,703.2,1747.31,Paddy soil,silty clay loam,31.6,11.5,143,4.9,180,45,135,7601,,
87,LR-SC,LRSC0087,2009,LRSC03,WS0864,25.98 ,32.46 ,21.63 ,3013.5,1853.5,293.3,774.3,1907.21,Paddy soil,silty clay loam,36.1,17.5,67,4.9,180,45,135,9233,,
88,LR-SC,LRSC0088,2009,LRSC03,WS0864,27.68 ,33.88 ,23.55 ,2684.9,1714.9,298.5,650.7,1673.27,Paddy soil,clay loam,27.3,5.5,37,4.8,180,45,135,7389,,
89,LR-SC,LRSC0089,2009,LRSC03,WS0864,26.20 ,32.66 ,21.87 ,3038.8,1878.8,301.5,778.7,1925.09,Paddy soil,silty clay loam,20.9,5.7,20,4.8,180,45,135,8472,,
90,LR-SC,LRSC0090,2007,LRSC03,WS0864,25.89 ,32.03 ,21.89 ,2925.9,1795.9,318.7,581.5,1615.62,Paddy soil,silty clay loam,46.7,61.5,72,5,165,60,105,8436,,
91,LR-SC,LRSC0091,2007,LRSC03,WS0864,25.77 ,31.88 ,21.80 ,2834.4,1734.4,318.7,552.6,1546.52,Paddy soil,silty clay loam,68.5,44.3,201,5.1,165,60,105,10071,,
92,LR-SC,LRSC0092,2007,LRSC03,WS0864,25.89 ,32.03 ,21.89 ,2925.9,1795.9,318.7,581.5,1615.62,Paddy soil,silty clay loam,36.6,25.1,46,5,165,60,105,9096,,
93,LR-SC,LRSC0093,2007,LRSC03,WS0879,23.10 ,28.72 ,19.79 ,2425.5,1375.5,515.6,390.9,1224.41,Paddy soil,sandy loam,48.1,64.4,67,5,150,60,105,6528,,
94,LR-SC,LRSC0094,2007,LRSC03,WS0875,23.99 ,29.33 ,20.43 ,2519.3,1469.3,422.1,441.6,1304.27,Paddy soil,silty clay loam,33.7,12.5,166,4.6,173,63,162,6554,,
95,LR-SC,LRSC0095,2007,LRSC03,WS0875,23.99 ,29.33 ,20.43 ,2519.3,1469.3,422.1,441.6,1304.27,Paddy soil,silty clay loam,24.3,25.7,118,4.6,173,63,162,6536,,
96,LR-SC,LRSC0096,2007,LRSC03,WS0875,22.86 ,28.17 ,19.16 ,2308.4,1298.4,387.6,443.9,1229.37,Paddy soil,silty clay loam,23.9,36.6,156,5.2,173,63,162,6167,,
97,LR-SC,LRSC0097,2007,LRSC03,WS0875,24.87 ,30.25 ,21.22 ,2611.3,1561.3,397.3,466.3,1372.54,Paddy soil,silty clay loam,55.1,23.1,123,5.1,173,63,162,5870,,
98,LR-SC,LRSC0098,2007,LRSC03,WS0875,24.24 ,29.57 ,20.71 ,2423.7,1423.7,421.6,408.7,1232.84,Paddy soil,silty clay loam,29.7,16.7,59,4.4,173,63,162,6879,,
99,LR-SC,LRSC0099,2007,LRSC03,WS0875,23.89 ,29.25 ,20.29 ,2556,1486,422.1,456.2,1332.53,Paddy soil,silty clay loam,41.2,7.8,66,4.9,173,63,162,8250,,
100,LR-SC,LRSC0100,2007,LRSC03,WS0875,24.44 ,29.84 ,20.78 ,2908.3,1718.3,457.4,534.2,1546.95,Paddy soil,silty clay loam,27,15.9,46,5.2,173,63,162,7167,,
101,LR-SC,LRSC0101,2007,LRSC03,WS0875,24.30 ,29.67 ,20.62 ,2842.8,1672.8,422.3,535.4,1528.97,Paddy soil,silty clay loam,47.1,12.5,135,5.1,173,63,162,7385,,
102,LR-SC,LRSC0102,2007,LRSC03,WS0875,24.39 ,29.75 ,20.75 ,2805.2,1655.2,422.3,518.3,1497.59,Paddy soil,silty clay loam,55,6.6,201,5,173,63,162,6933,,116.9702
103,LR-SC,LRSC0103,2007,LRSC03,WS0875,24.62 ,29.99 ,21.01 ,2807,1667,457.4,499.8,1474.3,Paddy soil,silty clay loam,52.8,25,150,5.3,173,63,162,7334,,
104,LR-SC,LRSC0104,2008,LRSC03,WS0874,26.32 ,32.18 ,22.26 ,2684.6,1664.6,482.5,625.2,1646,Paddy soil,sandy loam,26.8,43.2,89,4.4,180,83,108,7139,,
