Sort,Crop,NO,Year,Province,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
77,M-SWC,MSWC0077,2007,MSWC01,19.0 ,24.6 ,15.3 ,3299.2 ,1582.9 ,761.8 ,656.1 ,2279.0 ,late_maturity,Purplish soils,,20.5 ,18.0 ,165.0 ,5.9 ,225 ,150 ,240 ,6482 ,8386 
78,M-SWC,MSWC0078,2007,MSWC01,18.9 ,24.6 ,15.2 ,3372.3 ,1611.4 ,766.8 ,707.2 ,2375.0 ,late_maturity,Purplish soils,,20.0 ,14.0 ,137.0 ,5.7 ,180 ,120 ,180 ,2831 ,5333 
79,M-SWC,MSWC0079,2007,MSWC01,19.0 ,24.6 ,15.3 ,3299.2 ,1582.9 ,761.8 ,656.1 ,2279.0 ,late_maturity,Purplish soils,,21.3 ,16.0 ,145.0 ,5.9 ,210 ,135 ,210 ,4700 ,6850 
80,M-SWC,MSWC0080,2008,MSWC01,19.2 ,24.9 ,15.5 ,3321.6 ,1592.3 ,822.9 ,702.9 ,2334.9 ,late_maturity,Yellow earths,,21.2 ,38.7 ,316.0 ,4.6 ,180 ,120 ,180 ,3297 ,8568 
81,M-SWC,MSWC0081,2008,MSWC01,22.1 ,26.9 ,18.7 ,3423.1 ,1873.1 ,683.2 ,480.8 ,1875.9 ,medium_maturity,Yellow earths,,23.4 ,18.1 ,142.0 ,7.2 ,210 ,135 ,210 ,7001 ,9000 
82,M-SWC,MSWC0082,2008,MSWC01,22.0 ,26.9 ,18.7 ,3394.7 ,1854.7 ,645.9 ,480.1 ,1868.4 ,medium_maturity,Yellow earths,,22.0 ,11.4 ,87.0 ,5.4 ,210 ,135 ,210 ,5676 ,9501 
83,M-SWC,MSWC0083,2008,MSWC01,22.0 ,26.9 ,18.7 ,3478.7 ,1898.7 ,683.3 ,492.6 ,1913.5 ,medium_maturity,Yellow earths,,29.6 ,24.1 ,159.0 ,6.4 ,225 ,150 ,240 ,7651 ,10051 
84,M-SWC,MSWC0084,2008,MSWC01,22.2 ,27.1 ,18.9 ,3380.9 ,1860.9 ,682.5 ,480.1 ,1855.6 ,medium_maturity,Yellow earths,,21.4 ,15.6 ,206.0 ,5.2 ,180 ,120 ,180 ,5801 ,7100 
85,M-SWC,MSWC0085,2008,MSWC01,22.3 ,27.2 ,18.9 ,3365.9 ,1855.9 ,682.3 ,477.8 ,1845.4 ,medium_maturity,Yellow earths,,21.0 ,14.5 ,62.0 ,6.8 ,180 ,120 ,180 ,6351 ,7451 
86,M-SWC,MSWC0086,2009,MSWC01,22.4 ,26.8 ,19.2 ,3577.9 ,1980.9 ,529.9 ,565.0 ,2040.5 ,medium_maturity,Yellow earths,,29.6 ,15.5 ,162.0 ,7.6 ,225 ,150 ,240 ,7700 ,9901 
87,M-SWC,MSWC0087,2009,MSWC01,22.4 ,26.9 ,19.3 ,3411.8 ,1891.8 ,519.8 ,519.1 ,1917.4 ,medium_maturity,Yellow earths,,24.5 ,41.5 ,345.0 ,5.9 ,180 ,120 ,180 ,5651 ,6950 
88,M-SWC,MSWC0088,2009,MSWC01,22.3 ,26.7 ,19.1 ,3494.8 ,1927.8 ,529.9 ,535.2 ,1974.7 ,medium_maturity,Yellow earths,,24.9 ,7.3 ,68.0 ,5.5 ,210 ,135 ,210 ,5976 ,7800 
89,M-SWC,MSWC0089,2008,MSWC01,22.2 ,27.0 ,18.8 ,3456.6 ,1896.6 ,683.1 ,492.6 ,1900.7 ,medium_maturity,Yellow earths,,15.6 ,22.2 ,97.0 ,6.0 ,210 ,135 ,210 ,6825 ,9776 
90,M-SWC,MSWC0090,2008,MSWC01,22.3 ,27.2 ,18.9 ,3544.0 ,1954.0 ,682.5 ,513.9 ,1952.6 ,medium_maturity,Yellow earths,,30.3 ,29.3 ,129.0 ,6.5 ,225 ,150 ,240 ,7451 ,10475 
91,M-SWC,MSWC0091,2008,MSWC01,22.2 ,27.0 ,18.8 ,3413.1 ,1873.1 ,683.1 ,480.8 ,1869.5 ,medium_maturity,Yellow earths,,25.8 ,26.3 ,152.0 ,5.3 ,210 ,135 ,210 ,6121 ,7961 
92,M-SWC,MSWC0092,2008,MSWC01,22.2 ,27.1 ,18.9 ,3380.9 ,1860.9 ,682.5 ,480.1 ,1855.6 ,medium_maturity,Yellow earths,,20.0 ,38.3 ,176.0 ,6.6 ,180 ,120 ,180 ,5476 ,8201 
93,M-SWC,MSWC0093,2009,MSWC01,22.2 ,26.6 ,19.1 ,3440.3 ,1893.3 ,529.9 ,519.1 ,1936.6 ,medium_maturity,Yellow earths,,61.9 ,34.0 ,96.0 ,7.2 ,180 ,120 ,180 ,6201 ,7301 
94,M-SWC,MSWC0094,2009,MSWC01,22.7 ,27.3 ,19.5 ,3592.3 ,2012.3 ,517.3 ,576.8 ,2045.8 ,medium_maturity,Yellow earths,,19.7 ,13.4 ,83.0 ,6.5 ,225 ,150 ,240 ,7301 ,9926 
95,M-SWC,MSWC0095,2009,MSWC01,22.4 ,26.8 ,19.2 ,3450.1 ,1910.1 ,521.5 ,526.7 ,1942.2 ,medium_maturity,Yellow earths,,16.3 ,19.8 ,104.0 ,6.8 ,210 ,135 ,210 ,6675 ,9626 
96,M-SWC,MSWC0096,2006,MSWC01,20.9 ,26.1 ,17.4 ,3308.2 ,1728.2 ,718.5 ,711.2 ,2255.9 ,medium_maturity,Limestone soils,,33.5 ,33.4 ,161.0 ,7.2 ,225 ,150 ,240 ,3750 ,7560 
97,M-SWC,MSWC0097,2008,MSWC01,20.0 ,25.1 ,16.6 ,2997.8 ,1497.8 ,1290.4 ,615.6 ,2060.6 ,late_maturity,Yellow-brown earths,,44.0 ,9.2 ,144.0 ,8.0 ,210 ,135 ,210 ,5876 ,10068 
98,M-SWC,MSWC0098,2008,MSWC01,19.3 ,24.5 ,15.9 ,3281.4 ,1585.3 ,1303.4 ,689.1 ,2308.6 ,late_maturity,Limestone soils,,39.3 ,2.6 ,145.0 ,5.5 ,210 ,135 ,210 ,4136 ,7544 
99,M-SWC,MSWC0099,2006,MSWC01,21.1 ,26.1 ,17.6 ,3159.9 ,1659.9 ,718.5 ,654.3 ,2118.7 ,late_maturity,Yellow earths,,58.0 ,14.6 ,227.0 ,7.0 ,225 ,150 ,240 ,4440 ,7620 
