Sort,Crop,NO,Year,Province,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
35,M-SWC,MSWC0035,2008,MSWC01,21.2 ,25.7 ,18.2 ,2983.4 ,1573.4 ,1196.7 ,467.5 ,1754.6 ,medium_maturity,Yellow earths,,31.8 ,3.5 ,169.0 ,5.5 ,180 ,120 ,180 ,2460 ,8141 
36,M-SWC,MSWC0036,2008,MSWC01,21.1 ,25.7 ,18.1 ,3184.4 ,1674.4 ,1228.6 ,518.5 ,1903.4 ,medium_maturity,Limestone soils,,29.4 ,8.4 ,48.0 ,5.8 ,210 ,135 ,210 ,2783 ,9066 
37,M-SWC,MSWC0037,2008,MSWC01,21.1 ,25.7 ,18.1 ,3103.2 ,1633.2 ,1212.1 ,497.9 ,1845.2 ,medium_maturity,Limestone soils,,28.0 ,10.0 ,53.0 ,5.9 ,225 ,150 ,225 ,3351 ,8794 
38,M-SWC,MSWC0038,2008,MSWC01,21.6 ,26.3 ,18.6 ,3218.7 ,1728.7 ,1171.3 ,554.2 ,1931.5 ,medium_maturity,Yellow earths,,35.3 ,22.0 ,223.0 ,5.8 ,210 ,135 ,210 ,6661 ,10632 
39,M-SWC,MSWC0039,2008,MSWC01,21.6 ,26.2 ,18.6 ,3305.4 ,1775.4 ,1215.6 ,551.8 ,1949.3 ,medium_maturity,Yellow earths,,30.2 ,12.6 ,259.0 ,6.3 ,210 ,135 ,210 ,6750 ,10565 
40,M-SWC,MSWC0040,2008,MSWC01,21.7 ,26.3 ,18.7 ,3187.1 ,1717.1 ,1171.3 ,543.2 ,1897.8 ,medium_maturity,Yellow earths,,35.9 ,17.4 ,204.0 ,5.7 ,210 ,135 ,210 ,6732 ,9425 
41,M-SWC,MSWC0041,2008,MSWC01,21.9 ,26.5 ,19.0 ,3020.4 ,1640.4 ,1146.5 ,483.6 ,1718.9 ,medium_maturity,Yellow earths,,36.9 ,3.3 ,152.0 ,5.7 ,225 ,150 ,240 ,4780 ,9916 
42,M-SWC,MSWC0042,2008,MSWC01,21.9 ,26.5 ,19.0 ,2978.9 ,1618.9 ,1092.1 ,481.0 ,1703.8 ,medium_maturity,Yellow earths,,40.9 ,22.0 ,248.0 ,5.4 ,210 ,135 ,210 ,4457 ,9916 
43,M-SWC,MSWC0043,2008,MSWC01,21.3 ,26.4 ,17.8 ,3555.2 ,1885.2 ,787.6 ,616.9 ,2164.9 ,late_maturity,Limestone soils,,59.9 ,9.6 ,156.0 ,5.5 ,180 ,120 ,180 ,3518 ,6390 
44,M-SWC,MSWC0044,2009,MSWC01,21.4 ,26.0 ,18.2 ,3054.2 ,1624.2 ,609.5 ,554.1 ,1918.5 ,late_maturity,Limestone soils,,39.6 ,17.4 ,70.0 ,4.7 ,225 ,150 ,225 ,3270 ,5790 
