Sort,Crop,NO,Year,Province,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
15,W-YZB,WYZB0015,2007,WYZB01,10.2 ,15.5 ,6.2 ,2263.7 ,738.5 ,412.8 ,1318.4 ,2845.8 ,small_spike,Paddy soils,clay,9.7 ,6.6 ,90.0 ,7.0 ,188 ,90 ,105 ,2735 ,6213 
16,W-YZB,WYZB0016,2006,WYZB01,11.2 ,16.6 ,7.1 ,2393.6 ,773.1 ,315.5 ,1247.8 ,2692.9 ,small_spike,Paddy soils,clay,19.4 ,19.0 ,110.0 ,6.1 ,188 ,90 ,90 ,2333 ,6504 
17,W-YZB,WYZB0017,2006,WYZB01,10.9 ,16.3 ,6.9 ,2285.9 ,715.4 ,315.5 ,1199.3 ,2598.6 ,small_spike,Paddy soils,clay,12.7 ,25.8 ,103.0 ,6.0 ,165 ,90 ,120 ,1913 ,6021 
18,W-YZB,WYZB0018,2006,WYZB01,11.2 ,16.6 ,7.1 ,2372.0 ,771.5 ,315.5 ,1228.9 ,2668.4 ,small_spike,Paddy soils,clay,20.4 ,23.8 ,145.0 ,5.8 ,188 ,90 ,90 ,2186 ,6239 
19,W-YZB,WYZB0019,2009,WYZB01,8.8 ,13.2 ,5.3 ,1860.1 ,507.2 ,503.0 ,937.6 ,2263.0 ,small_spike,Yellow-cinnamon soils,loamy sand,12.7 ,10.4 ,89.0 ,5.9 ,180 ,45 ,75 ,2693 ,5736 
20,W-YZB,WYZB0020,2008,WYZB01,11.4 ,16.5 ,7.2 ,2321.7 ,807.4 ,404.1 ,1030.8 ,2449.4 ,small_spike,Paddy soils,clay loam,17.8 ,16.8 ,133.0 ,6.0 ,209 ,104 ,68 ,2913 ,5339 
21,W-YZB,WYZB0021,2008,WYZB01,11.9 ,16.4 ,8.2 ,2656.8 ,890.2 ,278.3 ,1192.9 ,2648.1 ,small_spike,Paddy soils,clay,18.4 ,56.4 ,86.0 ,7.7 ,210 ,90 ,135 ,2750 ,5750 
22,W-YZB,WYZB0022,2008,WYZB01,11.7 ,16.3 ,8.0 ,2591.2 ,854.6 ,266.2 ,1190.4 ,2631.6 ,small_spike,Paddy soils,clay,17.4 ,2.1 ,94.0 ,6.2 ,210 ,90 ,135 ,1950 ,5801 
23,W-YZB,WYZB0023,2008,WYZB01,11.9 ,16.4 ,8.2 ,2656.8 ,890.2 ,278.3 ,1192.9 ,2648.1 ,small_spike,Paddy soils,clay,24.0 ,15.6 ,157.0 ,5.8 ,210 ,90 ,135 ,3251 ,7050 
24,W-YZB,WYZB0024,2008,WYZB01,11.7 ,16.3 ,8.0 ,2591.2 ,854.6 ,266.2 ,1190.4 ,2631.6 ,small_spike,Paddy soils,clay,22.5 ,17.0 ,120.0 ,6.4 ,210 ,90 ,135 ,2700 ,6800 
25,W-YZB,WYZB0025,2008,WYZB01,11.8 ,16.3 ,8.2 ,2634.3 ,877.7 ,278.3 ,1192.9 ,2643.6 ,small_spike,Paddy soils,clay,19.4 ,35.0 ,98.0 ,7.2 ,210 ,90 ,135 ,2700 ,6050 
26,W-YZB,WYZB0026,2008,WYZB01,11.7 ,16.2 ,8.0 ,2574.0 ,847.4 ,263.0 ,1181.0 ,2615.6 ,small_spike,Paddy soils,clay,17.4 ,16.6 ,87.0 ,6.4 ,210 ,90 ,135 ,1850 ,5550 
