Sort,Crop,NO,Year,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
110,SR-YZB,SRYZB0110,2008,late_maturity,26.1,32.1,22.6,3501.3,2161.3,924.6,702.7,2039.5,Paddy soils,clay loam,29.6,19.3,78,6,143,60,90,7353
111,SR-YZB,SRYZB0111,2008,medium_maturity,26.1,32.1,22.6,3501.3,2161.3,924.6,702.7,2039.5,Paddy soils,loamy sand,22.5,26.9,42,5.7,180,72,150,7740
112,SR-YZB,SRYZB0112,2009,medium_maturity,25.7,32.1,21.7,3192.6,1952.6,720.4,672.4,1974.5,Paddy soils,sandy loam,19.1,12.9,78,5.6,150,60,105,7454
113,SR-YZB,SRYZB0113,2009,medium_maturity,25.7,32.1,21.7,3192.6,1952.6,720.4,672.4,1974.5,Paddy soils,sandy loam,17.2,13.6,79,5.6,150,60,105,7454
114,SR-YZB,SRYZB0114,2008,medium_maturity,26.1,32.1,22.6,3501.3,2161.3,924.6,702.7,2039.5,Paddy soils,sandy loam,25,10.8,35,6.4,165,60,105,7905
115,SR-YZB,SRYZB0115,2008,medium_maturity,26.1,32.1,22.6,3501.3,2161.3,924.6,702.7,2039.5,Paddy soils,silty clay loam,45.7,15.7,93,5.6,165,68,143,7362
116,SR-YZB,SRYZB0116,2009,medium_maturity,25.7,32.1,21.7,3192.6,1952.6,720.4,672.4,1974.5,Paddy soils,silty clay loam,20.1,32.9,81,5.4,150,90,120,8073
117,SR-YZB,SRYZB0117,2008,medium_maturity,26.1,32.1,22.6,3501.3,2161.3,924.6,702.7,2039.5,Paddy soils,loam,20.2,24.6,63,6.1,143,62,128,7551
118,SR-YZB,SRYZB0118,2009,medium_maturity,25.7,32.1,21.7,3192.6,1952.6,720.4,672.4,1974.5,Paddy soils,clay loam,21.2,20.7,115,6.8,150,60,90,7737
119,SR-YZB,SRYZB0119,2008,medium_maturity,26.1,32.1,22.6,3501.3,2161.3,924.6,702.7,2039.5,Paddy soils,silty clay loam,33.9,19.2,96,5.9,165,68,143,6705
120,SR-YZB,SRYZB0120,2009,medium_maturity,27.1,32.8,23.8,2524.6,1594.6,541.9,466.1,1366.8,Paddy soils,silty clay loam,32.2,5,72,5.8,150,75,90,7017
121,SR-YZB,SRYZB0121,2009,medium_maturity,25.7,32.1,21.7,3192.6,1952.6,720.4,672.4,1974.5,Paddy soils,silty clay loam,21.3,11.3,79,6.1,143,75,120,7804
122,SR-YZB,SRYZB0122,2008,medium_maturity,26.3,32.2,22.9,3134.3,1944.3,833.5,612.4,1809.5,Paddy soils,silty clay loam,20.4,37.4,76,4.9,143,62,128,7290
123,SR-YZB,SRYZB0123,2009,medium_maturity,25.7,32.1,21.7,3192.6,1952.6,720.4,672.4,1974.5,Paddy soils,silty clay loam,8.7,7.3,139,5.1,165,75,98,7304
124,SR-YZB,SRYZB0124,2009,medium_maturity,25.7,32.1,21.7,3192.6,1952.6,720.4,672.4,1974.5,Paddy soils,loam,17.3,5.1,73,5.7,165,75,90,7704
125,SR-YZB,SRYZB0125,2008,medium_maturity,26.1,32.1,22.6,3501.3,2161.3,924.6,702.7,2039.5,Paddy soils,loamy sand,33.8,42.7,237,5.9,143,62,128,7443
126,SR-YZB,SRYZB0126,2008,medium_maturity,26,31.7,22.4,3089.6,1899.6,793.4,592.1,1752.4,Paddy soils,sandy loam,38.3,11.4,74,5.4,165,63,114,8739
127,SR-YZB,SRYZB0127,2007,late_maturity,25.5,29.8,22.3,3004.4,1824.4,934,599.8,1702.2,Paddy soils,sandy loam,35.7,2.7,80,6,210,98,150,8400
128,SR-YZB,SRYZB0128,2008,medium_maturity,27.4,31.8,24.2,2901.4,1841.4,358.9,579.5,1639.7,Paddy soils,sandy loam,37.1,4.3,42,6.3,210,98,150,9638
129,SR-YZB,SRYZB0129,2007,late_maturity,27.3,31.6,24,3025.8,1915.8,389.5,617.1,1708.3,Paddy soils,silty clay loam,33.9,10.4,59,5.2,210,98,150,7850
130,SR-YZB,SRYZB0130,2007,late_maturity,27.2,31.6,24,2995.5,1895.5,389.5,607.8,1698.5,Paddy soils,silty clay loam,37.5,4.8,66,5.2,210,98,150,8400
131,SR-YZB,SRYZB0131,2008,late_maturity,27.2,31.7,24.1,2942.6,1862.6,353.9,584.4,1655.2,Paddy soils,sandy loam,29.7,6.9,60,5,210,98,150,9050
132,SR-YZB,SRYZB0132,2007,late_maturity,27.3,31.7,24.1,2896.2,1836.2,390,590.8,1656.6,Paddy soils,silty clay loam,26.3,20.3,129,5.7,210,98,150,8000
133,SR-YZB,SRYZB0133,2007,late_maturity,27.3,31.7,24.1,2896.2,1836.2,390,590.8,1656.6,Paddy soils,sandy loam,26.7,25.1,61,5.9,210,98,150,8150
134,SR-YZB,SRYZB0134,2008,medium_maturity,27.4,31.9,24.3,2880.7,1830.7,358.9,575.4,1628.3,Paddy soils,sandy loam,27.4,15.6,60,5.2,210,98,150,9354
135,SR-YZB,SRYZB0135,2009,late_maturity,27.4,31.7,24.3,2964.2,1884.2,490.6,686.1,1815.5,Paddy soils,silty clay loam,26.7,5.2,70,4.8,210,98,150,8651
136,SR-YZB,SRYZB0136,2007,late_maturity,27.3,31.6,24.1,2894.7,1834.7,389.5,581.9,1640,Paddy soils,silty clay loam,37.4,11.3,122,5.2,210,98,150,9200
137,SR-YZB,SRYZB0137,2007,late_maturity,27.3,31.6,24.1,2892.5,1832.5,389.5,578.6,1627.6,Paddy soils,clay,31.5,13.1,73,5.7,210,98,150,8600
138,SR-YZB,SRYZB0138,2008,medium_maturity,27.2,31.6,24,2963,1873,353.9,585.1,1658.6,Paddy soils,sandy loam,29.3,9,72,4.9,210,98,150,9549
139,SR-YZB,SRYZB0139,2007,late_maturity,27.3,31.7,24,2946,1866,386.5,616.7,1685.4,Paddy soils,silty clay loam,23,17.4,150,6,210,98,150,8300
140,SR-YZB,SRYZB0140,2007,late_maturity,27.3,31.6,24,3025.8,1915.8,389.5,617.1,1708.3,Paddy soils,silty clay loam,25.5,13.9,45,5.1,210,98,150,7650
141,SR-YZB,SRYZB0141,2007,late_maturity,27.3,31.6,24,3025.8,1915.8,389.5,617.1,1708.3,Paddy soils,silty clay loam,21.8,6.6,73,5.7,210,98,150,7650
142,SR-YZB,SRYZB0142,2008,late_maturity,27.5,31.9,24.4,2860.7,1820.7,358.9,575.4,1622.7,Paddy soils,sandy loam,20.9,28.5,82,5.3,210,98,150,9110
143,SR-YZB,SRYZB0143,2009,late_maturity,27.4,31.6,24.1,3038.2,1928.2,490.6,708.1,1865.3,Paddy soils,silty clay loam,12.1,5.5,36,5.1,210,98,150,8351
144,SR-YZB,SRYZB0144,2009,late_maturity,27.6,31.8,24.4,2922.6,1862.6,490.6,678,1799.8,Paddy soils,clay loam,29,3.2,53,5.3,210,98,150,8108
145,SR-YZB,SRYZB0145,2007,medium_maturity,24.3,30,20.7,2942.2,1732.2,464.2,611,1771.7,Paddy soils,sandy loam,15.4,13.4,22,4.9,195,60,180,8790
146,SR-YZB,SRYZB0146,2008,medium_maturity,23.7,29,20.3,3033.2,1753.2,989.1,617.5,1850.8,Paddy soils,sandy loam,24.5,6.4,34,4.7,186,51,126,9150
147,SR-YZB,SRYZB0147,2007,medium_maturity,24.5,30,21.1,2528.6,1498.6,463.5,521.6,1534.5,Paddy soils,loam,22.3,12,45,5.1,195,60,180,6375
148,SR-YZB,SRYZB0148,2008,medium_maturity,23.7,29.1,20.3,3062.5,1772.5,991.4,623.2,1870.8,Paddy soils,sandy loam,31.9,34.4,41,5.4,186,51,126,7150
149,SR-YZB,SRYZB0149,2008,early_maturity,26.9,31.6,23.7,2991.1,1881.1,498.6,569.4,1571.8,Paddy soils,silty clay loam,26.4,24,50,4.8,180,75,120,9504
150,SR-YZB,SRYZB0150,2008,medium_maturity,27,31.8,23.8,2947.9,1857.9,486.9,569.4,1562.4,Paddy soils,loam,23.9,8.8,105,5.6,180,75,120,9549
151,SR-YZB,SRYZB0151,2008,early_maturity,28.1,33,24.6,3485.8,2245.8,624.4,703,1989.2,Paddy soils,sandy loam,30.5,36.5,120,5.3,180,75,120,9216
152,SR-YZB,SRYZB0152,2008,early_maturity,28.5,33.3,25,3220.4,2090.4,517.4,672.6,1847.8,Paddy soils,silty clay loam,17.7,37.7,26,5.4,180,75,120,10365
153,SR-YZB,SRYZB0153,2008,early_maturity,27.4,32.2,24,3344.8,2124.8,505.8,691.5,1863.6,Paddy soils,silty clay loam,21.8,70,69,5.2,180,75,120,7700
154,SR-YZB,SRYZB0154,2008,early_maturity,27.6,32.3,24.2,3306.9,2106.9,505.9,676.1,1838.6,Paddy soils,silty clay loam,34.6,55.3,59,5,180,75,120,7899
155,SR-YZB,SRYZB0155,2008,medium_maturity,28.4,32.8,25.1,3093.5,2003.5,800.1,595.1,1710.9,Paddy soils,loam,27.1,21.2,25,5.1,150,60,90,6849
156,SR-YZB,SRYZB0156,2008,medium_maturity,28.3,32.8,25,3116.6,2016.6,1043.6,648.5,1793.2,Paddy soils,silty clay loam,43.1,54.9,29,4.9,150,60,90,7781
157,SR-YZB,SRYZB0157,2008,medium_maturity,28.3,32.8,24.9,3082.3,1992.3,976.3,647.4,1776.8,Paddy soils,silty clay loam,54.6,21.4,22,4.8,150,60,90,7386
158,SR-YZB,SRYZB0158,2008,medium_maturity,28.4,32.8,25.1,3093.5,2003.5,800.1,595.1,1710.9,Paddy soils,sandy loam,37.8,16.8,40,5.3,150,60,90,7371
159,SR-YZB,SRYZB0159,2008,medium_maturity,28.4,32.9,25,3039.9,1969.9,1028.4,638.3,1756.2,Paddy soils,sandy loam,43.3,21.3,53,5.1,150,60,90,7151
160,SR-YZB,SRYZB0160,2008,early_maturity,28.4,32.9,25,3041.7,1971.7,1028.4,639,1760.5,Paddy soils,sandy loam,27,25.4,27,5.1,150,60,90,7614
161,SR-YZB,SRYZB0161,2008,medium_maturity,28.4,32.9,25,3041.7,1971.7,1028.4,639,1760.5,Paddy soils,silty clay loam,43.5,5.8,56,5.3,150,60,90,6849
162,SR-YZB,SRYZB0162,2008,medium_maturity,28.4,32.9,25,3092.8,2002.8,1043.6,648.5,1787.6,Paddy soils,silty clay loam,56.4,30,63,5,150,60,90,7347
163,SR-YZB,SRYZB0163,2008,medium_maturity,28.3,32.8,25,3115.6,2015.6,1064.6,648.5,1794.9,Paddy soils,sandy loam,48.7,8.2,268,5.5,150,60,90,6420
164,SR-YZB,SRYZB0164,2008,medium_maturity,28.3,32.7,24.9,3164,2044,1089.6,648.5,1809.5,Paddy soils,sandy loam,57.9,17.1,106,5.2,150,60,90,7350
165,SR-YZB,SRYZB0165,2008,medium_maturity,28.3,32.8,25,3087.2,1997.2,1028.4,638.5,1767.8,Paddy soils,silty clay loam,25.1,30.4,60,5,150,60,90,7427
166,SR-YZB,SRYZB0166,2007,early_maturity,27.9,33.4,24.1,3599.9,2309.9,636.4,646.2,1932.6,Paddy soils,silty clay loam,20.2,44.7,51,5.2,165,75,120,8880
167,SR-YZB,SRYZB0167,2008,early_maturity,28.4,33.9,24.5,3348.6,2168.6,541.8,710,1948.4,Paddy soils,silty clay loam,21.9,36.1,85,5.6,165,75,120,8085
168,SR-YZB,SRYZB0168,2007,early_maturity,28,33.5,24.1,3384.6,2174.6,592.5,617.6,1827.3,Paddy soils,silty clay loam,26.4,17.5,80,4.7,165,75,120,6360
