Sort,Crop,NO,Year,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
1292,W-NCP,WNCP1292,2008,8.9,14.9,3.8,2255.1,751.4,314.1,1514.4,2971.4,small_spike,Fluvo-aquic soils,loam,14.8,26.7,95,8.2,225,120,90,6960
1293,W-NCP,WNCP1293,2008,8.9,14.9,3.8,2255.1,751.4,314.1,1514.4,2971.4,small_spike,Fluvo-aquic soils,loam,12.8,34.1,126,7.8,225,120,90,8940
1294,W-NCP,WNCP1294,2009,8.5,13.9,4,2292.7,868,154.4,1550.3,3158.5,small_spike,Fluvo-aquic soils,loam,13.4,14.1,90,8.4,255,120,96,9311
1295,W-NCP,WNCP1295,2008,8.9,14.9,3.8,2255.1,751.4,314.1,1514.4,2971.4,small_spike,Fluvo-aquic soils,loamy sand,12.5,32.9,144,7.9,225,120,90,7965
1296,W-NCP,WNCP1296,2008,9,15,4,2281,777.3,326.7,1498.7,2969,small_spike,Fluvo-aquic soils,loam,20.9,52.5,167,6.9,180,105,90,8774
1297,W-NCP,WNCP1297,2009,7.6,13,3.2,1979.8,695.1,121.4,1452.9,2925.9,small_spike,Fluvo-aquic soils,loam,16.6,21.6,183,7.5,180,105,90,6773
1298,W-NCP,WNCP1298,2009,7.6,13,3.2,1979.8,695.1,121.4,1452.9,2925.9,small_spike,Fluvo-aquic soils,loam,17.9,24.2,172,7.8,180,105,90,6828
1299,W-NCP,WNCP1299,2009,7.6,13,3.2,1979.8,695.1,121.4,1452.9,2925.9,small_spike,Fluvo-aquic soils,loam,16.9,19.4,192,7.2,180,105,90,7515
1300,W-NCP,WNCP1300,2006,9.5,15.4,4.8,2400.9,863.3,125.3,1503.3,3024.9,small_spike,Fluvo-aquic soils,loam,12.4,23.1,116,8.3,180,150,90,6528
1301,W-NCP,WNCP1301,2006,9.5,15.4,4.8,2400.9,863.3,125.3,1503.3,3024.9,small_spike,Fluvo-aquic soils,loam,11.4,24.1,126,8,180,150,90,6542
1302,W-NCP,WNCP1302,2006,9.5,15.4,4.8,2400.9,863.3,125.3,1503.3,3024.9,small_spike,Fluvo-aquic soils,loam,13.4,25.7,129,8.1,180,150,90,6528
1303,W-NCP,WNCP1303,2007,8.4,14.1,3.8,2213.5,710.5,140.4,1562.1,3104.5,small_spike,Fluvo-aquic soils,loam,12.4,27.4,110,7.9,195,150,90,7176
1304,W-NCP,WNCP1304,2008,8.9,15,3.9,2304.1,800.4,214,1792.6,3353.4,medium_spike,Fluvo-aquic soils,loam,12.4,28.9,110,8.1,195,150,90,7605
1305,W-NCP,WNCP1305,2006,9.5,15.4,4.8,2400.9,863.3,125.3,1503.3,3024.9,small_spike,Fluvo-aquic soils,loam,13.6,31.5,128,8.2,180,150,90,6104
1306,W-NCP,WNCP1306,2006,9.5,15.4,4.8,2400.9,863.3,125.3,1503.3,3024.9,small_spike,Fluvo-aquic soils,loam,10.4,27.7,110,7.9,180,150,90,5880
1307,W-NCP,WNCP1307,2006,9.5,15.4,4.8,2400.9,863.3,125.3,1503.3,3024.9,small_spike,Fluvo-aquic soils,loam,11.5,32,110,8.1,180,150,90,5967
1308,W-NCP,WNCP1308,2006,9.5,15.4,4.8,2400.9,863.3,125.3,1503.3,3024.9,small_spike,Solonchaks,sand,12.1,31.1,125,8.1,180,150,90,7845
1309,W-NCP,WNCP1309,2006,9.5,15.4,4.8,2400.9,863.3,125.3,1503.3,3024.9,small_spike,Fluvo-aquic soils,loam,11.7,31,125,8.2,180,150,90,6528
1310,W-NCP,WNCP1310,2006,9.5,15.4,4.8,2400.9,863.3,125.3,1503.3,3024.9,small_spike,Fluvo-aquic soils,loam,13.4,30.4,126,8.3,180,150,90,7485
1311,W-NCP,WNCP1311,2006,9.5,15.4,4.8,2400.9,863.3,125.3,1503.3,3024.9,small_spike,Fluvo-aquic soils,loam,11.4,27.9,116,8.2,180,150,90,7695
1312,W-NCP,WNCP1312,2006,9.5,15.4,4.8,2400.9,863.3,125.3,1503.3,3024.9,small_spike,Fluvo-aquic soils,loam,10.4,27.9,103,8.2,180,150,90,6542
1313,W-NCP,WNCP1313,2008,8.7,14.9,3.3,2286.9,836.2,230.1,1694,3290.5,large_spike,Fluvo-aquic soils,loam,12.3,23.5,112,8.4,225,120,90,6965
1314,W-NCP,WNCP1314,2007,8.3,14.2,3.3,2235.7,748.5,162.3,1684.3,3274.2,large_spike,Fluvo-aquic soils,loam,10.5,20.1,113,8,233,113,90,5783
1315,W-NCP,WNCP1315,2008,8.7,14.9,3.3,2286.9,836.2,230.1,1694,3290.5,large_spike,Fluvo-aquic soils,sandy loam,11.5,24.1,102,8.2,225,120,90,6026
1316,W-NCP,WNCP1316,2008,8.7,14.9,3.3,2286.9,836.2,230.1,1694,3290.5,large_spike,Fluvo-aquic soils,loam,13.3,22.7,95,7.9,225,120,90,6858
1317,W-NCP,WNCP1317,2007,8.3,14.2,3.3,2235.7,748.5,162.3,1684.3,3274.2,large_spike,Fluvo-aquic soils,clay,12.9,30.1,93,8.1,233,113,90,7230
1318,W-NCP,WNCP1318,2007,8.3,14.2,3.3,2235.7,748.5,162.3,1684.3,3274.2,large_spike,Fluvo-aquic soils,loam,13.2,31.7,88,8.2,233,113,90,7109
1319,W-NCP,WNCP1319,2006,7.8,13.7,3.1,2017.5,673.7,150,1502.4,2950.8,large_spike,Fluvo-aquic soils,loam,14.4,13.9,122,8.4,240,150,75,5319
1320,W-NCP,WNCP1320,2006,7.8,13.7,3,1980.1,665.7,149.7,1484.2,2918.1,large_spike,Fluvo-aquic soils,loam,17,15.2,218,8.1,240,150,75,5937
1321,W-NCP,WNCP1321,2007,8.6,14.5,4,2122.9,737.3,138.7,1513.6,2984.2,large_spike,Fluvo-aquic soils,loam,17,15.3,218,8.1,240,150,75,5937
1322,W-NCP,WNCP1322,2008,7.8,13.2,3.2,1985.5,642.7,152.6,1462.1,2924.6,large_spike,Fluvo-aquic soils,loam,18,30.2,198,8,240,150,75,6140
1323,W-NCP,WNCP1323,2006,8,13.9,3.2,2092.7,698.9,150,1540.9,3016.8,large_spike,Fluvo-aquic soils,loam,16.2,14.7,172,7.8,240,150,75,5631
1324,W-NCP,WNCP1324,2007,8.6,14.5,4,2122.9,737.3,138.7,1513.6,2984.2,large_spike,Fluvo-aquic soils,loam,16.2,14.7,172,7.8,240,150,75,5631
1325,W-NCP,WNCP1325,2008,7.8,13.2,3.2,1985.5,642.7,152.6,1462.1,2924.6,large_spike,Fluvo-aquic soils,loam,14,23.2,226,7.9,240,150,75,5796
1326,W-NCP,WNCP1326,2008,7.8,13.2,3.2,1985.5,642.7,152.6,1462.1,2924.6,large_spike,Fluvo-aquic soils,loam,13.1,25.2,212,8.3,240,150,75,7299
1327,W-NCP,WNCP1327,2006,8.1,14.1,3.4,2173.8,730,150.5,1568.8,3072.4,large_spike,Fluvo-aquic soils,loam,14,13.8,116,8.3,240,150,75,6230
1328,W-NCP,WNCP1328,2007,8,14.3,3,2047.1,636.2,162.5,1239.3,2691.4,small_spike,Fluvo-aquic soils,loam,10.6,20,120,8.2,225,120,90,6990
1329,W-NCP,WNCP1329,2005,8.1,14.3,3.2,2059.3,651,88.4,1303.2,2747.7,small_spike,Fluvo-aquic soils,loamy sand,10.9,17.6,120,8.4,225,120,90,7320
1330,W-NCP,WNCP1330,2005,8.1,14.3,3.2,2059.3,651,88.4,1303.2,2747.7,small_spike,Fluvo-aquic soils,loam,12.9,18.3,100,8.3,225,120,90,6975
1331,W-NCP,WNCP1331,2007,8,14.3,3,2047.1,636.2,162.5,1239.3,2691.4,small_spike,Fluvo-aquic soils,loamy sand,10.9,17.6,120,8.3,225,120,90,7320
1332,W-NCP,WNCP1332,2007,8,14.3,3,2047.1,636.2,162.5,1239.3,2691.4,small_spike,Fluvo-aquic soils,loam,16.6,26.2,190,8.1,225,120,90,7320
1333,W-NCP,WNCP1333,2005,8.1,14.3,3.2,2059.3,651,88.4,1303.2,2747.7,small_spike,Fluvo-aquic soils,loamy sand,14.8,20.7,155,8.2,225,120,90,6990
1334,W-NCP,WNCP1334,2005,8.1,14.3,3.2,2059.3,651,88.4,1303.2,2747.7,small_spike,Fluvo-aquic soils,loam,14.2,30.2,160,8.3,225,120,90,7065
1335,W-NCP,WNCP1335,2007,8,14.3,3,2047.1,636.2,162.5,1239.3,2691.4,small_spike,Fluvo-aquic soils,loamy sand,14.8,20.7,155,8.1,225,120,90,6990
1336,W-NCP,WNCP1336,2006,9,15.3,4,2221.6,761.4,141.2,1288.9,2743.3,small_spike,Fluvo-aquic soils,loam,15.7,17,140,8.5,225,120,90,7827
1337,W-NCP,WNCP1337,2009,9.5,14.7,5.4,2693.9,1090.3,165.3,1560.4,3318.6,medium_spike,Fluvo-aquic soils,loamy sand,13,12,124,8,240,75,120,8550
1338,W-NCP,WNCP1338,2007,9.3,14.7,5,2393,812.4,144.6,1456,3045.4,small_spike,Fluvo-aquic soils,loam,15.9,52.5,118,7.4,225,120,120,8220
1339,W-NCP,WNCP1339,2007,9.3,14.6,5,2367.9,797.3,144.6,1456,3037.9,small_spike,Fluvo-aquic soils,loamy sand,13.5,54.6,96,8.2,225,120,120,7500
1340,W-NCP,WNCP1340,2007,9.3,14.7,5,2393,812.4,144.6,1456,3045.4,small_spike,Fluvo-aquic soils,loam,15.6,32,67,7.8,225,120,120,7980
1341,W-NCP,WNCP1341,2008,9.7,15.5,5.1,2443.3,842.4,248.7,1527.7,3064,small_spike,Fluvo-aquic soils,loam,25,14.7,93,7.9,225,120,120,8745
1342,W-NCP,WNCP1342,2008,9.7,15.5,5.1,2443.3,842.4,248.7,1527.7,3064,medium_spike,Fluvo-aquic soils,loam,17.3,27.4,120,8.1,225,120,120,8130
1343,W-NCP,WNCP1343,2008,9.7,15.5,5.1,2443.3,842.4,248.7,1527.7,3064,medium_spike,Fluvo-aquic soils,loam,14.2,12.2,96,8.2,225,120,120,8100
1344,W-NCP,WNCP1344,2007,9.3,14.7,5,2393,812.4,144.6,1456,3045.4,small_spike,Fluvo-aquic soils,loam,13.6,34,69,8.1,225,120,120,7815
1345,W-NCP,WNCP1345,2008,9.7,15.5,5.1,2443.3,842.4,248.7,1527.7,3064,medium_spike,Fluvo-aquic soils,loam,13.5,17.4,146,8.2,225,120,120,8535
1346,W-NCP,WNCP1346,2008,9.7,15.5,5.1,2443.3,842.4,248.7,1527.7,3064,medium_spike,Fluvo-aquic soils,clay,10.9,16.5,84,8.1,225,120,120,8130
1347,W-NCP,WNCP1347,2009,8.8,13.9,4.7,2392.6,899,161.2,1493.6,3130.3,medium_spike,Fluvo-aquic soils,sandy loam,11,17.2,110,7.9,240,75,120,7532
1348,W-NCP,WNCP1348,2007,9.3,14.7,5,2393,812.4,144.6,1456,3045.4,small_spike,Fluvo-aquic soils,loam,16.2,11.2,143,7.6,240,75,120,7125
1349,W-NCP,WNCP1349,2008,9.7,15.5,5.1,2443.3,842.4,248.7,1527.7,3064,medium_spike,Fluvo-aquic soils,loam,12.7,13.2,108,7.9,225,120,120,7590
1350,W-NCP,WNCP1350,2009,8.8,13.9,4.7,2392.6,899,161.2,1493.6,3130.3,medium_spike,Fluvo-aquic soils,loam,11,20,95,7.8,240,75,120,8256
1351,W-NCP,WNCP1351,2008,8.7,14.8,3.1,2217.6,720.6,180.2,1308.5,2757,small_spike,Fluvo-aquic soils,loam,17.5,4.1,194,7.8,150,108,60,7143
1352,W-NCP,WNCP1352,2007,8.4,13.8,3.8,2122.3,637.8,174.3,1173.3,2601.1,medium_spike,Fluvo-aquic soils,silt loam,21.2,42.5,120,8.3,150,108,60,5997
1353,W-NCP,WNCP1353,2007,8.8,14.3,4.2,2297.6,733.1,191,1216,2728.6,small_spike,Fluvo-aquic soils,loam,15,56,180,8.1,150,108,60,6942
1354,W-NCP,WNCP1354,2007,8.6,14.1,3.9,2155.6,691.1,185.4,1168.6,2627.3,medium_spike,Fluvo-aquic soils,loam,16.4,35,120,8.4,150,108,60,6591
1355,W-NCP,WNCP1355,2008,9.2,15.6,4.1,2292.2,766.7,238.5,1519.9,3011.8,medium_spike,Fluvo-aquic soils,loam,10.7,17.2,55,8.4,225,120,75,7241
1356,W-NCP,WNCP1356,2008,9.3,15.7,4.2,2353.6,808.1,242,1534.3,3062.1,small_spike,Fluvo-aquic soils,loam,13.6,48.5,110,7.8,225,120,75,7772
1357,W-NCP,WNCP1357,2008,9.3,15.7,4.2,2334.8,799.3,242,1525,3046.4,small_spike,Fluvo-aquic soils,loam,12.4,38.9,90,7.9,225,120,75,7440
1358,W-NCP,WNCP1358,2008,9.4,15.7,4.3,2362.8,817.3,242,1535.8,3071,small_spike,Fluvo-aquic soils,loam,13.7,14.7,100,8.5,225,120,75,7725
1359,W-NCP,WNCP1359,2008,9.1,15.5,4,2285.5,760,232.3,1525.7,3015.8,small_spike,Fluvo-aquic soils,loam,11.6,13.4,60,8.5,225,120,75,6938
1360,W-NCP,WNCP1360,2008,8.9,15.1,4,2204.7,749,217.8,1533.3,3015,small_spike,Fluvo-aquic soils,sandy loam,12.4,28.1,136,7.5,225,120,90,6930
1361,W-NCP,WNCP1361,2009,7.9,12.9,3.9,2147.7,825.3,82.6,1538.3,3100.3,small_spike,Fluvo-aquic soils,loam,12.6,27.3,180,7.6,210,105,90,7394
1362,W-NCP,WNCP1362,2009,7.9,12.9,3.9,2147.7,825.3,82.6,1538.3,3100.3,small_spike,Fluvo-aquic soils,loam,13.5,42.1,126,7.2,210,105,90,8379
1363,W-NCP,WNCP1363,2009,7.9,12.9,3.9,2147.7,825.3,82.6,1538.3,3100.3,small_spike,Fluvo-aquic soils,loamy sand,17.9,34.9,200,7.8,210,105,90,7475
1364,W-NCP,WNCP1364,2009,7.9,12.9,3.9,2147.7,825.3,82.6,1538.3,3100.3,small_spike,Fluvo-aquic soils,loam,14,28.2,210,7.5,210,105,90,7857
