Sort,Crop,NO,Year,Province,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
375,M-NCP,MNCP0375,2008,MNCP01,medium_maturity,24.3,29.2,19.9,2820.4,1660.4,239.9,685.2,1805.3,Cinnamon soils,sandy clay loam,22.3,25,103,7.3,135,45,90,5820
376,M-NCP,MNCP0376,2008,MNCP01,medium_maturity,24.4,29.1,20.1,2363.5,1393.5,237,584.9,1520.7,Cinnamon soils,sandy loam,24.1,13.8,163,7.3,180,45,120,6225
377,M-NCP,MNCP0377,2008,MNCP01,medium_maturity,24.4,29.4,19.6,3126.2,1846.2,327.8,848.3,2226.8,Cinnamon soils,sandy loam,13.6,13.3,111,7.3,135,45,90,5951
378,M-NCP,MNCP0378,2008,MNCP01,early_maturity,24.8,29.6,20.4,2654,1584,220.7,643.2,1700.7,Cinnamon soils,loamy sand,15.1,16.3,121,7.4,135,45,90,6420
379,M-NCP,MNCP0379,2009,MNCP01,medium_maturity,25.1,30.2,20.7,2815.3,1695.3,309.8,667.5,1764.1,Cinnamon soils,loam,22.8,18,152,7.5,180,105,120,7680
380,M-NCP,MNCP0380,2009,MNCP01,medium_maturity,24.9,30.1,20.4,3067.2,1837.2,315.4,764,1972.4,Cinnamon soils,sandy loam,12,11.5,105,7.5,180,45,120,7290
381,M-NCP,MNCP0381,2009,MNCP01,early_maturity,25.3,30.3,20.8,2705,1635,309.3,637.9,1699.5,Cinnamon soils,loamy sand,14.5,18.2,123,7.5,135,45,90,6795
382,M-NCP,MNCP0382,2009,MNCP01,medium_maturity,24.8,29.6,20.5,2401.4,1431.4,286.4,548.7,1468.1,Cinnamon soils,sandy loam,18.5,12.5,156,7.5,180,75,90,6120
383,M-NCP,MNCP0383,2009,MNCP01,medium_maturity,23.6,30,18.5,2670.3,1540.3,224.3,728.2,1836.5,Cinnamon soils,loam,13.7,12.1,122,7.8,150,90,60,7005
384,M-NCP,MNCP0384,2009,MNCP01,medium_maturity,23.6,30,18.5,2670.3,1540.3,224.3,728.2,1836.5,Cinnamon soils,loam,19.6,12.9,152,7.6,150,90,60,7647
385,M-NCP,MNCP0385,2009,MNCP01,medium_maturity,23.7,30,18.6,2653.8,1533.8,224.3,717.3,1817.8,Cinnamon soils,loam,21.1,18.9,122,7.5,180,120,90,8055
386,M-NCP,MNCP0386,2009,MNCP01,medium_maturity,23.7,30,18.6,2653.8,1533.8,224.3,717.3,1817.8,Cinnamon soils,sandy loam,20.6,10.5,102,8.3,150,90,60,8691
387,M-NCP,MNCP0387,2007,MNCP01,medium_maturity,24.8,30.2,20.1,2574.6,1534.6,227.7,660.3,1710.8,Cinnamon soils,loamy sand,12.9,21.3,332,8.2,225,150,150,6162
388,M-NCP,MNCP0388,2008,MNCP01,medium_maturity,24.6,29.5,20,2702.6,1602.6,469.8,563.9,1606.5,Cinnamon soils,loamy sand,9.3,17.4,154,8,180,60,120,10628
389,M-NCP,MNCP0389,2008,MNCP01,medium_maturity,23.7,28.8,19.2,2848.9,1648.9,471.8,619.8,1724.9,Cinnamon soils,loamy sand,14.8,16.3,302,8,180,60,120,10055
390,M-NCP,MNCP0390,2009,MNCP01,medium_maturity,24.1,29.6,19.5,2719.4,1589.4,291.8,707.9,1824.6,Cinnamon soils,loamy sand,12,7.8,300,8.1,225,60,150,11186
391,M-NCP,MNCP0391,2009,MNCP01,medium_maturity,24.3,29.8,19.9,2598.8,1528.8,328.6,621.2,1640,Fluvo-aquic soils,loam,11.2,15,127,7.1,225,60,150,10730
392,M-NCP,MNCP0392,2008,MNCP01,medium_maturity,24.4,29.2,20.4,2782.7,1642.7,448.1,591.2,1656.3,Fluvo-aquic soils,clay,12.6,15.9,165,7.2,180,60,120,5664
393,M-NCP,MNCP0393,2008,MNCP01,medium_maturity,24.4,29.2,20.4,2782.7,1642.7,448.1,591.2,1656.3,Fluvo-aquic soils,clay,10.5,10.9,164,7.2,180,60,120,6423
394,M-NCP,MNCP0394,2008,MNCP01,medium_maturity,24.4,29.2,20.4,2782.7,1642.7,448.1,591.2,1656.3,Fluvo-aquic soils,clay,11.6,11.7,132,7.3,180,60,120,5922
395,M-NCP,MNCP0395,2009,MNCP01,medium_maturity,24.3,29.8,19.9,2598.8,1528.8,328.6,621.2,1640,Fluvo-aquic soils,loam,12.2,15.5,158,7.3,180,60,120,5381
396,M-NCP,MNCP0396,2009,MNCP01,medium_maturity,24.3,29.8,19.9,2598.8,1528.8,328.6,621.2,1640,Fluvo-aquic soils,loam,10.2,10.6,157,7.7,180,60,120,6102
397,M-NCP,MNCP0397,2009,MNCP01,medium_maturity,24.3,29.8,19.9,2598.8,1528.8,328.6,621.2,1640,Fluvo-aquic soils,loam,11.3,11.4,127,7.2,180,60,120,5627
398,M-NCP,MNCP0398,2009,MNCP01,medium_maturity,25,30.3,20.1,2696.8,1616.8,353.6,660.3,1728.2,Cinnamon soils,loam,12,30.7,149,7.6,240,60,90,9870
399,M-NCP,MNCP0399,2009,MNCP01,medium_maturity,25,30.3,20.1,2696.8,1616.8,353.6,660.3,1728.2,Fluvo-aquic soils,loam,13,29.2,135,7.1,240,60,90,9255
400,M-NCP,MNCP0400,2009,MNCP01,medium_maturity,25,30.3,20.1,2696.8,1616.8,353.6,660.3,1728.2,Cinnamon soils,loamy sand,12,27.6,139,7.6,240,60,90,9540
401,M-NCP,MNCP0401,2009,MNCP01,medium_maturity,24.9,30.3,20,2691.9,1611.9,353.5,654.5,1715.4,Cinnamon soils,loam,12,25.5,115,7.4,240,60,90,8250
402,M-NCP,MNCP0402,2009,MNCP01,medium_maturity,24.9,30.3,20,2691.9,1611.9,353.5,654.5,1715.4,Cinnamon soils,loam,11,25.1,109,7.3,240,60,90,8565
403,M-NCP,MNCP0403,2009,MNCP01,medium_maturity,24.9,30.3,20,2691.9,1611.9,353.5,654.5,1715.4,Fluvo-aquic soils,loam,11,24.7,123,7.4,240,60,90,8385
404,M-NCP,MNCP0404,2009,MNCP01,medium_maturity,24.9,30.3,20,2691.9,1611.9,353.5,654.5,1715.4,Cinnamon soils,loam,11,25.3,108,7.5,240,60,90,8820
405,M-NCP,MNCP0405,2009,MNCP01,medium_maturity,24.9,30.2,20,2687.4,1607.4,353.5,654.4,1710.3,Cinnamon soils,loam,9,20.7,95,7.6,240,60,90,7170
406,M-NCP,MNCP0406,2009,MNCP01,medium_maturity,24.9,30.2,20,2687.4,1607.4,353.5,654.4,1710.3,Cinnamon soils,sandy loam,9,22.2,99,7.2,240,60,90,7380
407,M-NCP,MNCP0407,2009,MNCP01,medium_maturity,24.9,30.2,20,2687.4,1607.4,353.5,654.4,1710.3,Cinnamon soils,loam,8,21.3,80,7.4,240,60,90,7425
408,M-NCP,MNCP0408,2010,MNCP01,medium_maturity,25.8,30.9,21.3,2785.5,1705.5,398.1,637.9,1697.4,Cinnamon soils,loam,16.2,30.2,150,7.4,240,60,90,6885
409,M-NCP,MNCP0409,2010,MNCP01,medium_maturity,25.8,30.9,21.3,2785.5,1705.5,398.1,637.9,1697.4,Fluvo-aquic soils,loam,15.8,29.4,137,7,240,60,90,6885
410,M-NCP,MNCP0410,2010,MNCP01,medium_maturity,25.7,30.8,21.2,2773.2,1693.2,398.1,639.5,1694.9,Cinnamon soils,loam,15.1,26.4,114,7.4,240,60,90,6345
411,M-NCP,MNCP0411,2010,MNCP01,medium_maturity,25.7,30.8,21.2,2773.2,1693.2,398.1,639.5,1694.9,Cinnamon soils,loam,14.3,26.1,110,7.6,240,60,90,6360
412,M-NCP,MNCP0412,2010,MNCP01,medium_maturity,25.7,30.8,21.2,2773.2,1693.2,398.1,639.5,1694.9,Fluvo-aquic soils,loam,8.5,25.3,125,7.2,240,60,90,6300
413,M-NCP,MNCP0413,2010,MNCP01,medium_maturity,25.7,30.8,21.2,2773.2,1693.2,398.1,639.5,1694.9,Cinnamon soils,loam,10.4,26.8,110,7.1,240,60,90,6225
414,M-NCP,MNCP0414,2010,MNCP01,medium_maturity,25.6,30.7,21.1,2762.4,1682.4,398.1,636.6,1685.8,Cinnamon soils,loam,12.8,21.2,100,7.7,240,60,90,5370
415,M-NCP,MNCP0415,2010,MNCP01,medium_maturity,25.6,30.7,21.1,2762.4,1682.4,398.1,636.6,1685.8,Cinnamon soils,sandy loam,11.6,23.2,98,7,240,60,90,5610
416,M-NCP,MNCP0416,2010,MNCP01,medium_maturity,25.6,30.7,21.1,2762.4,1682.4,398.1,636.6,1685.8,Cinnamon soils,loam,12.6,22.6,90,7.3,240,60,90,5670
417,M-NCP,MNCP0417,2008,MNCP01,medium_maturity,24.7,29.4,20.8,2567.4,1527.4,428,578,1573.6,Fluvo-aquic soils,sandy loam,12.2,70,107,7.9,180,150,150,9185
418,M-NCP,MNCP0418,2008,MNCP01,medium_maturity,24.8,29.5,20.8,2577.6,1537.6,411.3,581.6,1581.8,Fluvo-aquic soils,loam,11,80,110,7.9,225,150,150,10286
419,M-NCP,MNCP0419,2008,MNCP01,medium_maturity,24.6,29.2,20.7,2602.8,1542.8,429.5,581.6,1591.9,Fluvo-aquic soils,sandy loam,5.4,20.5,70,8.3,225,150,150,9525
420,M-NCP,MNCP0420,2009,MNCP01,medium_maturity,24.7,29.8,20.2,2642.6,1572.6,410.9,648.1,1712.7,Fluvo-aquic soils,loam,16.3,17.9,67,7.8,225,150,150,10125
421,M-NCP,MNCP0421,2009,MNCP01,medium_maturity,24.6,29.6,20.2,2561.1,1521.1,409.7,622.5,1647.2,Fluvo-aquic soils,clay,7,21.6,173,8.1,180,150,150,9825
422,M-NCP,MNCP0422,2009,MNCP01,medium_maturity,24.6,29.6,20.2,2605.7,1545.7,410.9,624.1,1662.3,Fluvo-aquic soils,loam,14,40,76,7.9,225,150,150,8520
423,M-NCP,MNCP0423,2007,MNCP01,medium_maturity,25.8,30.6,21.7,2630,1610,259.3,717.7,1781.1,Fluvo-aquic soils,loam,10.7,9.5,120,8.1,180,60,120,7460
424,M-NCP,MNCP0424,2007,MNCP01,medium_maturity,25.8,30.6,21.7,2630,1610,259.3,717.7,1781.1,Fluvo-aquic soils,loam,13.3,16.5,165,8.1,225,60,150,8156
425,M-NCP,MNCP0425,2007,MNCP01,medium_maturity,25.8,30.6,21.7,2630,1610,259.3,717.7,1781.1,Fluvo-aquic soils,loam,14.6,16.7,172,8.1,225,60,150,8325
426,M-NCP,MNCP0426,2007,MNCP01,medium_maturity,25.8,30.6,21.7,2630,1610,259.3,717.7,1781.1,Fluvo-aquic soils,sandy loam,8.7,6.5,90,8.3,135,60,90,6740
427,M-NCP,MNCP0427,2007,MNCP01,medium_maturity,25.8,30.6,21.7,2630,1610,259.3,717.7,1781.1,Fluvo-aquic soils,loam,11.3,12.5,110,8.1,180,60,120,7353
428,M-NCP,MNCP0428,2007,MNCP01,medium_maturity,25.8,30.6,21.7,2630,1610,259.3,717.7,1781.1,Fluvo-aquic soils,loam,9.3,13.1,132,8.1,180,60,120,7509
429,M-NCP,MNCP0429,2007,MNCP01,medium_maturity,25.8,30.6,21.7,2630,1610,259.3,717.7,1781.1,Fluvo-aquic soils,loam,9,6.5,100,8.2,135,60,90,6224
430,M-NCP,MNCP0430,2007,MNCP01,medium_maturity,25.8,30.6,21.7,2630,1610,259.3,717.7,1781.1,Fluvo-aquic soils,loam,8.7,8.5,110,8.3,135,60,90,6674
431,M-NCP,MNCP0431,2007,MNCP01,medium_maturity,25.8,30.6,21.7,2630,1610,259.3,717.7,1781.1,Fluvo-aquic soils,loam,9.7,12.7,112,8.1,180,60,120,7130
432,M-NCP,MNCP0432,2008,MNCP01,medium_maturity,25.6,30.3,21.7,2736.2,1666.2,433.1,654.1,1714.9,Fluvo-aquic soils,loam,13.3,17.1,168,8.2,225,60,150,8474
433,M-NCP,MNCP0433,2008,MNCP01,medium_maturity,25.6,30.3,21.7,2736.2,1666.2,433.1,654.1,1714.9,Fluvo-aquic soils,loam,12.6,16.9,175,8.2,180,60,120,8511
434,M-NCP,MNCP0434,2008,MNCP01,medium_maturity,25.6,30.3,21.7,2736.2,1666.2,433.1,654.1,1714.9,Fluvo-aquic soils,clay,14.2,16.7,162,8.2,225,60,150,8193
435,M-NCP,MNCP0435,2008,MNCP01,medium_maturity,25.6,30.3,21.7,2736.2,1666.2,433.1,654.1,1714.9,Fluvo-aquic soils,loam,12.3,14.5,135,8.3,180,60,120,7836
436,M-NCP,MNCP0436,2008,MNCP01,medium_maturity,25.6,30.3,21.7,2736.2,1666.2,433.1,654.1,1714.9,Fluvo-aquic soils,loam,11.5,13.5,110,8.2,180,60,120,7760
437,M-NCP,MNCP0437,2008,MNCP01,medium_maturity,25.6,30.3,21.7,2736.2,1666.2,433.1,654.1,1714.9,Fluvo-aquic soils,loam,13.5,14.7,148,8.1,180,60,120,7685
438,M-NCP,MNCP0438,2008,MNCP01,medium_maturity,25.6,30.3,21.7,2736.2,1666.2,433.1,654.1,1714.9,Fluvo-aquic soils,loam,9.3,8.5,90,8.2,135,60,90,6908
439,M-NCP,MNCP0439,2008,MNCP01,medium_maturity,25.4,30.1,21.6,2746.6,1666.6,450,641,1686.3,Fluvo-aquic soils,loam,10.6,10.6,110,8.2,180,60,120,7653
440,M-NCP,MNCP0440,2009,MNCP01,medium_maturity,25.3,30.1,21,2656.8,1606.8,453.3,796.5,1929.8,Fluvo-aquic soils,loam,12.1,16.7,172,8.2,225,60,150,7571
441,M-NCP,MNCP0441,2009,MNCP01,medium_maturity,25.2,30,20.9,2693.8,1623.8,453.3,818.2,1969.2,Fluvo-aquic soils,loam,12.1,16.7,172,8.2,225,60,150,8397
442,M-NCP,MNCP0442,2009,MNCP01,medium_maturity,25.2,30,20.9,2693.8,1623.8,453.3,818.2,1969.2,Fluvo-aquic soils,loam,14.2,15.7,153,8.1,225,60,150,8247
443,M-NCP,MNCP0443,2009,MNCP01,medium_maturity,25.3,30.1,21,2679.3,1619.3,453.3,807.3,1954.2,Fluvo-aquic soils,sandy loam,10.3,12.7,122,8.2,180,60,120,6870
444,M-NCP,MNCP0444,2009,MNCP01,medium_maturity,25.2,30,20.9,2674.3,1614.3,453.3,807.4,1949.6,Fluvo-aquic soils,loam,11.5,13.5,110,8,180,60,120,7731
445,M-NCP,MNCP0445,2009,MNCP01,medium_maturity,25.3,30.1,21,2656.8,1606.8,453.3,796.5,1929.8,Fluvo-aquic soils,loam,11.6,12.8,129,8,180,60,120,7680
446,M-NCP,MNCP0446,2009,MNCP01,medium_maturity,25.3,30.1,20.9,2652.5,1602.5,448.6,807.4,1942.1,Fluvo-aquic soils,loam,12.3,14.5,132,8,180,60,120,7341
447,M-NCP,MNCP0447,2009,MNCP01,medium_maturity,25.3,30.1,21,2679.3,1619.3,453.3,807.3,1954.2,Fluvo-aquic soils,loam,10.8,10,105,8.1,135,60,90,6407
448,M-NCP,MNCP0448,2010,MNCP01,medium_maturity,25.2,29.7,21.4,2842.7,1712.7,558.2,739,1864.6,Fluvo-aquic soils,loam,10.6,12.7,135,8.1,225,60,150,7806
449,M-NCP,MNCP0449,2010,MNCP01,medium_maturity,25.3,29.8,21.6,2704.1,1634.1,547.7,692.4,1746.5,Fluvo-aquic soils,loam,12.4,15.6,174,8,225,60,150,8535
450,M-NCP,MNCP0450,2010,MNCP01,medium_maturity,25.3,29.8,21.5,2781.5,1681.5,548.7,719.8,1817.2,Fluvo-aquic soils,loam,11.6,15.2,164,8.2,225,60,150,8382
451,M-NCP,MNCP0451,2010,MNCP01,medium_maturity,25.4,29.9,21.6,2713.7,1643.7,547.7,694.1,1754.3,Fluvo-aquic soils,loam,11.9,15.4,138,8,180,60,120,7695
452,M-NCP,MNCP0452,2010,MNCP01,medium_maturity,25.4,29.9,21.6,2713.7,1643.7,547.7,694.1,1754.3,Fluvo-aquic soils,loam,10.9,9.9,139,8.1,180,60,90,7463
453,M-NCP,MNCP0453,2010,MNCP01,medium_maturity,25.4,29.9,21.6,2713.7,1643.7,547.7,694.1,1754.3,Fluvo-aquic soils,loam,11.3,13.2,132,8.1,180,75,120,7859
454,M-NCP,MNCP0454,2010,MNCP01,medium_maturity,25.4,29.7,21.8,2360.3,1430.3,499.1,568.1,1451.6,Fluvo-aquic soils,clay,10.9,12.9,139,8.1,225,60,150,8714
455,M-NCP,MNCP0455,2010,MNCP01,medium_maturity,25.4,29.9,21.6,2713.7,1643.7,547.7,694.1,1754.3,Fluvo-aquic soils,loam,11.9,7.8,141,8.1,135,60,90,6513
456,M-NCP,MNCP0456,2009,MNCP01,medium_maturity,24.8,30.4,20.3,2675.4,1595.4,577,814.5,1944.7,Fluvo-aquic soils,sandy loam,14.5,25.2,110,7.9,180,60,120,7767
457,M-NCP,MNCP0457,2009,MNCP01,medium_maturity,24.8,30.4,20.2,2773.3,1653.3,577.6,856.5,2036.1,Fluvo-aquic soils,loam,12.7,22.8,58,8,180,60,120,8588
458,M-NCP,MNCP0458,2009,MNCP01,medium_maturity,24.7,30.4,20.1,2865.9,1705.9,577.6,903.7,2128.8,Fluvo-aquic soils,loam,17.3,24,205,7.9,135,60,90,6425
459,M-NCP,MNCP0459,2009,MNCP01,medium_maturity,24.7,30.3,20.1,2736.3,1626.3,577,841.8,1993.9,Fluvo-aquic soils,sandy loam,14.8,48.2,165,7.8,225,60,150,8514
460,M-NCP,MNCP0460,2009,MNCP01,medium_maturity,24.8,30.4,20.3,2675.4,1595.4,577,814.5,1944.7,Fluvo-aquic soils,sandy loam,11.2,26.3,165,7.7,225,60,150,8288
461,M-NCP,MNCP0461,2009,MNCP01,medium_maturity,24.7,30.4,20.1,2865.9,1705.9,577.6,903.7,2128.8,Fluvo-aquic soils,loam,11.7,25.7,104,7.9,135,60,90,6929
462,M-NCP,MNCP0462,2010,MNCP01,medium_maturity,25.1,30.2,21.1,2689.5,1619.5,344,782.4,1870.4,Fluvo-aquic soils,loam,11.9,20.3,65,7.9,180,60,120,7392
463,M-NCP,MNCP0463,2010,MNCP01,medium_maturity,25.3,30.3,21.3,2653.5,1603.5,343.2,764,1837.5,Fluvo-aquic soils,loam,18.2,44.4,187,7.6,180,60,120,6813
464,M-NCP,MNCP0464,2010,MNCP01,medium_maturity,25.3,30.3,21.2,2753.4,1663.4,349.3,792.8,1908,Fluvo-aquic soils,loam,12.1,20,150,7.9,135,60,90,6761
465,M-NCP,MNCP0465,2010,MNCP01,medium_maturity,25.1,30.2,21.1,2689.5,1619.5,344,782.4,1870.4,Fluvo-aquic soils,sandy loam,14,24.3,118,7.9,180,60,120,7773
466,M-NCP,MNCP0466,2010,MNCP01,medium_maturity,25.3,30.3,21.3,2655.8,1605.8,348.5,765.2,1843.1,Fluvo-aquic soils,loam,23.2,45.8,200,7.5,225,60,150,7551
467,M-NCP,MNCP0467,2010,MNCP01,medium_maturity,25.2,30.2,21.2,2695.3,1625.3,349.3,775.9,1866.4,Fluvo-aquic soils,sandy loam,12.2,25.6,128,7.7,225,60,150,7818
468,M-NCP,MNCP0468,2010,MNCP01,medium_maturity,25.4,30.4,21.3,2713.9,1643.9,348.5,782.1,1884.7,Fluvo-aquic soils,loam,11.3,23.1,110,7.9,135,60,90,7185
469,M-NCP,MNCP0469,2010,MNCP01,medium_maturity,25.2,30.2,21.2,2673.2,1613.2,344,771.2,1851.5,Fluvo-aquic soils,loam,12.8,25,114,7.8,180,60,120,7551
470,M-NCP,MNCP0470,2010,MNCP01,medium_maturity,25.1,30.1,21.2,2664.8,1604.8,344,772.9,1847.9,Fluvo-aquic soils,loam,10.8,40.2,112,8,135,60,90,6387
471,M-NCP,MNCP0471,2007,MNCP01,medium_maturity,25.7,30.9,21.3,2596,1586,251.1,532.8,1475.3,Fluvo-aquic soils,loam,14.5,29.2,120,8.3,180,60,120,8807
472,M-NCP,MNCP0472,2007,MNCP01,medium_maturity,25.5,30.7,21.1,2675.7,1625.7,274.6,539.3,1504.1,Fluvo-aquic soils,loam,17.2,50.5,160,8.1,225,60,150,8532
473,M-NCP,MNCP0473,2007,MNCP01,medium_maturity,25.7,30.9,21.3,2596,1586,251.1,532.8,1475.3,Fluvo-aquic soils,loam,18.6,26.3,140,8.1,180,60,120,7797
474,M-NCP,MNCP0474,2008,MNCP01,medium_maturity,25.4,30.3,21.5,2593.3,1573.3,437.6,739.5,1796.2,Fluvo-aquic soils,loam,17.6,50.8,170,8.1,225,60,150,10058
475,M-NCP,MNCP0475,2008,MNCP01,medium_maturity,25.4,30.3,21.5,2570.1,1560.1,436.4,739.5,1788.7,Fluvo-aquic soils,loam,18.7,26.5,130,8.1,180,60,120,9006
476,M-NCP,MNCP0476,2009,MNCP01,medium_maturity,24.7,29.9,20.3,2840.9,1690.9,554.7,941.8,2162,Fluvo-aquic soils,loam,14.6,29.4,120,8.1,180,60,120,8429
477,M-NCP,MNCP0477,2009,MNCP01,medium_maturity,24.6,29.8,20.1,2876.7,1706.7,554.7,962.4,2197,Fluvo-aquic soils,loam,17.9,50.9,170,8.1,225,60,150,8991
478,M-NCP,MNCP0478,2009,MNCP01,medium_maturity,24.6,29.8,20.1,2876.7,1706.7,554.7,962.4,2197,Fluvo-aquic soils,loam,18.7,26.7,140,8.1,180,60,120,8148
479,M-NCP,MNCP0479,2008,MNCP01,medium_maturity,24.5,29.5,20.3,2600.6,1540.6,398.7,719,1780,Fluvo-aquic soils,loam,17.3,40.4,170,7.5,225,60,150,8144
480,M-NCP,MNCP0480,2008,MNCP01,medium_maturity,24.4,29.4,20.3,2638.4,1558.4,398.7,726.7,1802.3,Fluvo-aquic soils,sandy loam,14.5,26.5,120,7.6,225,60,150,8064
481,M-NCP,MNCP0481,2008,MNCP01,medium_maturity,24.5,29.5,20.4,2623.9,1553.9,398.7,719,1787.5,Fluvo-aquic soils,loam,13.5,27.8,100,7.8,225,60,150,8198
482,M-NCP,MNCP0482,2008,MNCP01,medium_maturity,24.6,29.7,20.4,2587.6,1537.6,398.7,719,1775.1,Fluvo-aquic soils,loam,15.2,15.8,120,7.6,180,60,120,7745
483,M-NCP,MNCP0483,2008,MNCP01,medium_maturity,24.7,29.8,20.5,2573.5,1533.5,398.7,719,1770.1,Fluvo-aquic soils,loam,13.3,19.3,110,7.7,180,60,120,7535
484,M-NCP,MNCP0484,2008,MNCP01,medium_maturity,24.5,29.5,20.4,2623.9,1553.9,398.7,719,1787.5,Fluvo-aquic soils,loam,15.1,11.9,110,7.5,180,60,120,7518
485,M-NCP,MNCP0485,2008,MNCP01,medium_maturity,24.6,29.7,20.4,2587.6,1537.6,398.7,719,1775.1,Fluvo-aquic soils,loam,13.2,14,130,7.4,180,60,120,7542
486,M-NCP,MNCP0486,2008,MNCP01,medium_maturity,24.7,29.8,20.5,2573.5,1533.5,398.7,719,1770.1,Fluvo-aquic soils,loam,8.2,9.3,120,7.9,135,60,90,7227
487,M-NCP,MNCP0487,2008,MNCP01,medium_maturity,24.4,29.4,20.2,2615.1,1545.1,398.7,726.7,1794.7,Fluvo-aquic soils,loam,9.8,7.3,120,7.9,135,60,90,7017
488,M-NCP,MNCP0488,2009,MNCP01,medium_maturity,24.8,30.3,19.9,2626.8,1566.8,456.4,841.3,1971,Fluvo-aquic soils,loam,17.3,40.4,170,7.5,225,60,150,8144
489,M-NCP,MNCP0489,2009,MNCP01,medium_maturity,24.8,30.3,19.9,2674,1594,456.4,853.8,2003,Fluvo-aquic soils,sandy loam,14.5,26.5,120,7.6,225,60,150,8064
490,M-NCP,MNCP0490,2009,MNCP01,medium_maturity,24.8,30.3,19.9,2653.1,1583.1,456.4,853.8,1998.1,Fluvo-aquic soils,loam,13.5,27.8,100,7.8,225,60,150,8198
491,M-NCP,MNCP0491,2009,MNCP01,medium_maturity,24.8,30.3,20,2606.6,1556.6,456.4,833.8,1956.3,Fluvo-aquic soils,loam,15.2,15.8,120,7.6,180,60,120,8016
492,M-NCP,MNCP0492,2009,MNCP01,medium_maturity,24.9,30.4,20,2585.7,1545.7,456.4,832.2,1949.2,Fluvo-aquic soils,loam,13.3,19.3,110,7.7,180,60,120,7535
493,M-NCP,MNCP0493,2009,MNCP01,medium_maturity,24.8,30.3,19.9,2653.1,1583.1,456.4,853.8,1998.1,Fluvo-aquic soils,loam,15.1,11.9,110,7.5,180,60,120,7518
494,M-NCP,MNCP0494,2009,MNCP01,medium_maturity,24.8,30.3,20,2606.6,1556.6,456.4,833.8,1956.3,Fluvo-aquic soils,loam,13.2,14,130,7.4,180,60,120,7542
495,M-NCP,MNCP0495,2009,MNCP01,medium_maturity,24.9,30.4,19.9,2638,1578,456.4,857.5,2004,Fluvo-aquic soils,loamy sand,12,10,100,7.8,135,60,90,7113
496,M-NCP,MNCP0496,2009,MNCP01,medium_maturity,24.9,30.4,20,2585.7,1545.7,456.4,832.2,1949.2,Fluvo-aquic soils,loam,8.2,9.3,120,7.9,135,60,90,7227
497,M-NCP,MNCP0497,2010,MNCP01,medium_maturity,25.3,30.4,21,2679.9,1619.9,367.6,748.8,1831.1,Fluvo-aquic soils,loam,17.3,40.4,170,7.5,225,60,150,8144
498,M-NCP,MNCP0498,2010,MNCP01,medium_maturity,25.2,30.4,20.9,2721,1641,367.6,766.2,1868.7,Fluvo-aquic soils,sandy loam,14.5,26.5,120,7.8,225,60,150,8064
499,M-NCP,MNCP0499,2010,MNCP01,medium_maturity,25.3,30.5,21,2706.4,1636.4,367.6,758.8,1854.3,Fluvo-aquic soils,loam,13.5,27.8,100,7.8,225,60,150,8198
500,M-NCP,MNCP0500,2010,MNCP01,medium_maturity,25.4,30.5,21.2,2665.4,1615.4,367.6,738.3,1812.5,Fluvo-aquic soils,loam,15.2,15.8,120,7.6,180,60,120,7745
501,M-NCP,MNCP0501,2010,MNCP01,medium_maturity,25.5,30.6,21.2,2648.9,1608.9,367.6,730.6,1797.5,Fluvo-aquic soils,loam,13.3,19.3,110,7.7,180,60,120,7535
502,M-NCP,MNCP0502,2010,MNCP01,medium_maturity,25.3,30.5,21,2706.4,1636.4,367.6,758.8,1854.3,Fluvo-aquic soils,loam,15.1,11.9,110,7.5,180,60,120,7518
503,M-NCP,MNCP0503,2010,MNCP01,medium_maturity,25.4,30.5,21.2,2665.4,1615.4,367.6,738.3,1812.5,Fluvo-aquic soils,loam,13.2,14,130,7.4,180,60,120,7542
504,M-NCP,MNCP0504,2010,MNCP01,medium_maturity,25.5,30.6,21.2,2648.9,1608.9,367.6,730.6,1797.5,Fluvo-aquic soils,loam,8.2,9.3,120,7.9,135,60,90,7227
505,M-NCP,MNCP0505,2010,MNCP01,medium_maturity,25.2,30.4,20.9,2694.5,1624.5,367.6,756.2,1845.5,Fluvo-aquic soils,loam,9.8,7.3,120,7.9,135,60,90,7017
506,M-NCP,MNCP0506,2007,MNCP01,medium_maturity,24.6,29.6,20.5,2848.4,1688.4,311.2,735.8,1853.7,Fluvo-aquic soils,loam,14.7,15.6,130,7.9,225,60,150,7635
507,M-NCP,MNCP0507,2007,MNCP01,medium_maturity,24.7,29.8,20.6,2791,1661,303.5,721.7,1815.7,Fluvo-aquic soils,loam,13.7,12.7,135,8,225,60,150,6300
508,M-NCP,MNCP0508,2007,MNCP01,medium_maturity,24.4,29.5,20.4,2835.7,1675.7,311.2,729.7,1839.1,Fluvo-aquic soils,loam,13.7,12.7,135,7.9,225,60,150,7395
509,M-NCP,MNCP0509,2007,MNCP01,medium_maturity,24.6,29.7,20.5,2807.6,1667.6,310.5,721.7,1820.3,Fluvo-aquic soils,loam,10.7,14.6,110,7.8,180,60,120,7538
510,M-NCP,MNCP0510,2007,MNCP01,medium_maturity,24.7,29.8,20.6,2791,1661,303.5,721.7,1815.7,Fluvo-aquic soils,loam,11.9,15.6,113,8.2,180,60,120,7695
