Sort,Crop,NO,Year,Province,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
1455,M-NCP,MNCP1455,2006,MNCP03,medium_maturity,24.9,30,20.8,2491,1491,411,634.5,1641.4,Brown earths,loam,13.6,17.7,108,6.8,195,60,90,7725
1456,M-NCP,MNCP1456,2007,MNCP03,medium_maturity,24.4,29.5,20.3,2585.4,1525.4,514.8,557.8,1575.1,Brown earths,loam,14,47.1,168,6.9,210,75,120,8230
1457,M-NCP,MNCP1457,2008,MNCP03,early_maturity,24.7,29.8,20.8,2272.9,1352.9,427.2,574.6,1517.5,Cinnamon soils,loam,24.7,18.5,123,7,210,75,150,6851
1458,M-NCP,MNCP1458,2006,MNCP03,medium_maturity,25.2,30.3,20.9,2667,1607,439.5,694.4,1807.9,Cinnamon soils,loamy sand,14.3,16.9,113,7.1,195,75,120,7015
1459,M-NCP,MNCP1459,2007,MNCP03,medium_maturity,24.5,29.5,20.5,2543.1,1503.1,514.8,545.5,1547.5,Brown earths,clay loam,13.6,15.1,40,7,210,75,120,7600
1460,M-NCP,MNCP1460,2007,MNCP03,medium_maturity,24.5,29.5,20.5,2523.6,1493.6,514.8,535.8,1528.8,Cinnamon soils,loam,22.2,25.3,99,6.9,240,90,150,9610
1461,M-NCP,MNCP1461,2008,MNCP03,medium_maturity,24.5,29.5,20.5,2445.2,1445.2,449.1,609,1598.4,Brown earths,loam,16,15.1,98,7.1,240,90,225,7205
1462,M-NCP,MNCP1462,2007,MNCP03,medium_maturity,24.4,29.5,20.3,2654.6,1564.6,514.8,557.8,1590.8,Brown earths,clay,10.7,11.5,72,7,195,60,90,6395
1463,M-NCP,MNCP1463,2006,MNCP03,medium_maturity,25.2,30.3,20.9,2667,1607,439.5,694.4,1807.9,Brown earths,loam,10,10.7,69,7.1,195,75,90,9380
1464,M-NCP,MNCP1464,2007,MNCP03,medium_maturity,24.4,29.5,20.3,2585.4,1525.4,514.8,557.8,1575.1,Brown earths,loam,24.5,35.7,40,6.8,195,60,90,6990
1465,M-NCP,MNCP1465,2008,MNCP03,medium_maturity,24.5,29.7,20.4,2599.4,1539.4,428.2,676.2,1769,Cinnamon soils,loam,10.2,30.2,22,7.2,195,60,90,7280
1466,M-NCP,MNCP1466,2008,MNCP03,medium_maturity,24.5,29.6,20.5,2519.4,1489.4,458.3,640.4,1673,Brown earths,loam,10.7,31.1,215,6.8,240,90,225,9725
1467,M-NCP,MNCP1467,2007,MNCP03,medium_maturity,24.4,29.5,20.3,2654.6,1564.6,514.8,557.8,1590.8,Brown earths,loam,22.3,21.1,91,7,210,75,120,8500
1468,M-NCP,MNCP1468,2008,MNCP03,medium_maturity,24.5,29.7,20.4,2599.4,1539.4,428.2,676.2,1769,Brown earths,sandy clay loam,19.4,13.6,51,7.1,210,75,150,8551
1469,M-NCP,MNCP1469,2006,MNCP03,medium_maturity,24.9,30.1,20.8,2569.5,1539.5,438.9,654.9,1700.5,Cinnamon soils,loam,15,14.4,79,6.8,195,60,90,9820
