Sort,Crop,NO,Year,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
17,W-YZB,WYZB0017,2006,10.9,16.3,6.9,2285.9,715.4,315.5,1199.3,2598.6,small_spike,Paddy soils,clay,12.7,25.8,103,6,165,90,120,6021
18,W-YZB,WYZB0018,2006,11.2,16.6,7.1,2372,771.5,315.5,1228.9,2668.4,small_spike,Paddy soils,clay,20.4,23.8,145,5.8,188,90,90,6239
19,W-YZB,WYZB0019,2009,8.8,13.2,5.3,1860.1,507.2,503,937.6,2263,small_spike,Yellow-cinnamon soils,loamy sand,12.7,10.4,89,5.9,180,45,75,5736
20,W-YZB,WYZB0020,2008,11.4,16.5,7.2,2321.7,807.4,404.1,1030.8,2449.4,small_spike,Paddy soils,clay loam,17.8,16.8,133,6,209,104,68,5339
21,W-YZB,WYZB0021,2008,11.9,16.4,8.2,2656.8,890.2,278.3,1192.9,2648.1,small_spike,Paddy soils,clay,18.4,56.4,86,7.7,210,90,135,5750
22,W-YZB,WYZB0022,2008,11.7,16.3,8,2591.2,854.6,266.2,1190.4,2631.6,small_spike,Paddy soils,clay,17.4,2.1,94,6.2,210,90,135,5801
23,W-YZB,WYZB0023,2008,11.9,16.4,8.2,2656.8,890.2,278.3,1192.9,2648.1,small_spike,Paddy soils,clay,24,15.6,157,5.8,210,90,135,7050
24,W-YZB,WYZB0024,2008,11.7,16.3,8,2591.2,854.6,266.2,1190.4,2631.6,small_spike,Paddy soils,clay,22.5,17,120,6.4,210,90,135,6800
25,W-YZB,WYZB0025,2008,11.8,16.3,8.2,2634.3,877.7,278.3,1192.9,2643.6,small_spike,Paddy soils,clay,19.4,35,98,7.2,210,90,135,6050
26,W-YZB,WYZB0026,2008,11.7,16.2,8,2574,847.4,263,1181,2615.6,small_spike,Paddy soils,clay,17.4,16.6,87,6.4,210,90,135,5550
27,W-YZB,WYZB0027,2008,11.7,16.2,8,2574,847.4,263,1181,2615.6,small_spike,Paddy soils,clay,20.8,28.5,90,7.3,210,90,135,6230
28,W-YZB,WYZB0028,2008,11.9,16.4,8.2,2656.8,890.2,278.3,1192.9,2648.1,small_spike,Paddy soils,clay,20.8,20.1,90,7.3,210,90,135,6551
29,W-YZB,WYZB0029,2008,11.9,16.4,8.2,2656.8,890.2,278.3,1192.9,2648.1,small_spike,Paddy soils,clay,15.4,34,76,7.6,210,90,135,7250
30,W-YZB,WYZB0030,2009,9.6,13.8,6.3,2074,614.3,473.5,1033.9,2378.6,small_spike,Paddy soils,clay,19,5.8,94,6,210,90,135,7305
31,W-YZB,WYZB0031,2009,9.6,13.8,6.3,2074,614.3,473.5,1033.9,2378.6,small_spike,Paddy soils,clay,26.7,14.7,110,6.3,210,90,135,7380
32,W-YZB,WYZB0032,2009,10,14.3,6.5,1582.4,486.3,330.9,819.5,1938.3,small_spike,Paddy soils,clay,16.9,14.5,102,6.7,210,90,135,7155
33,W-YZB,WYZB0033,2009,9.9,14.1,6.5,2165.3,665.6,473.5,1070.5,2449.4,small_spike,Paddy soils,clay,19.7,16.5,112,5.6,210,90,135,7665
34,W-YZB,WYZB0034,2009,9.9,14.1,6.5,2165.3,665.6,473.5,1070.5,2449.4,small_spike,Paddy soils,clay,19.2,17.7,114,7.1,210,90,135,7170
35,W-YZB,WYZB0035,2009,9.9,14.1,6.5,2165.3,665.6,473.5,1070.5,2449.4,small_spike,Paddy soils,clay,18.4,12.5,63,6.6,210,90,135,7125
36,W-YZB,WYZB0036,2009,9.9,14.1,6.6,2190,680.3,473.5,1078.9,2470.3,small_spike,Paddy soils,clay,18.2,22,96,7.1,210,90,135,7005
37,W-YZB,WYZB0037,2009,9,13.2,5.7,1825.8,486.1,444.7,977.5,2200.7,small_spike,Paddy soils,clay,17.4,21,94,6.2,210,90,135,6330
38,W-YZB,WYZB0038,2009,9.2,13.4,5.9,1907.1,527.4,444.7,1003.7,2245.9,medium_spike,Paddy soils,clay,19.9,17.2,113,7.3,210,90,135,6630
