Sort,Crop,NO,Year,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
17,ER-SC,ERSC0017,2008,late_maturity,25.6 ,31.5 ,21.4 ,2504.1 ,1524.1 ,564.1 ,522.6 ,1564.35,Paddy soils,,26.0 ,22.2 ,77.0 ,5.4 ,150 ,60 ,90 ,5925 
18,ER-SC,ERSC0018,2008,late_maturity,25.6 ,31.5 ,21.4 ,2504.1 ,1524.1 ,564.1 ,522.6 ,1564.35,Paddy soils,,40.1 ,8.1 ,60.0 ,5.2 ,150 ,60 ,90 ,8211 
19,ER-SC,ERSC0019,2008,late_maturity,25.6 ,30.6 ,22.1 ,2637.7 ,1607.7 ,988.4 ,532.9 ,1616.91,Paddy soils,,19.7 ,26.0 ,54.0 ,5.4 ,165 ,66 ,99 ,7620 
20,ER-SC,ERSC0020,2008,late_maturity,25.6 ,30.6 ,22.1 ,2637.7 ,1607.7 ,988.4 ,532.9 ,1616.91,Paddy soils,,18.9 ,12.0 ,23.0 ,5.5 ,165 ,66 ,99 ,7545 
21,ER-SC,ERSC0021,2008,late_maturity,25.7 ,30.7 ,22.1 ,2616.6 ,1596.6 ,967.3 ,532.9 ,1610.05,Paddy soils,,20.9 ,58.0 ,27.0 ,5.2 ,165 ,66 ,99 ,7650 
22,ER-SC,ERSC0022,2008,late_maturity,25.6 ,30.6 ,22.0 ,2658.1 ,1618.1 ,988.6 ,532.9 ,1623.75,Paddy soils,,27.8 ,29.0 ,98.0 ,5.6 ,165 ,66 ,99 ,9045 
23,ER-SC,ERSC0023,2006,late_maturity,24.6 ,28.4 ,21.8 ,2409.7 ,1429.7 ,1407.2 ,360.6 ,1291.8,Paddy soils,,27.3 ,36.8 ,34.0 ,5.3 ,150 ,60 ,105 ,7091 
24,ER-SC,ERSC0024,2006,late_maturity,24.6 ,28.4 ,21.8 ,2436.9 ,1446.9 ,1483.9 ,360.6 ,1298.98,Paddy soils,,17.9 ,55.8 ,43.0 ,5.9 ,150 ,60 ,105 ,8380 
25,ER-SC,ERSC0025,2006,late_maturity,24.4 ,28.2 ,21.6 ,2365.6 ,1395.6 ,1223.9 ,361.9 ,1285.5,Paddy soils,,17.5 ,64.0 ,45.0 ,5.2 ,150 ,60 ,105 ,8353 
26,ER-SC,ERSC0026,2006,late_maturity,24.8 ,28.6 ,22.0 ,2431.3 ,1451.3 ,1470.5 ,362.9 ,1298.11,Paddy soils,,19.7 ,70.3 ,48.0 ,5.9 ,150 ,60 ,105 ,8010 
27,ER-SC,ERSC0027,2006,late_maturity,24.9 ,28.7 ,22.1 ,2519.3 ,1509.3 ,1470.5 ,397.3 ,1376.16,Paddy soils,,21.3 ,56.0 ,33.0 ,5.6 ,150 ,60 ,105 ,7634 
28,ER-SC,ERSC0028,2009,late_maturity,23.9 ,29.7 ,19.8 ,2507.4 ,1457.4 ,539.4 ,519.2 ,1598.95,Paddy soils,,27.5 ,75.1 ,38.0 ,5.8 ,150 ,60 ,105 ,9600 
29,ER-SC,ERSC0029,2009,late_maturity,25.9 ,31.6 ,21.8 ,2281.3 ,1401.3 ,412.8 ,501.8 ,1461.13,Paddy soils,,38.9 ,16.5 ,49.0 ,4.9 ,150 ,60 ,105 ,9093 
30,ER-SC,ERSC0030,2009,late_maturity,24.7 ,30.5 ,20.6 ,2447.2 ,1457.2 ,527.6 ,523.5 ,1570.35,Paddy soils,,34.7 ,27.4 ,41.0 ,4.8 ,150 ,60 ,105 ,7257 
31,ER-SC,ERSC0031,2009,late_maturity,24.7 ,30.5 ,20.5 ,2793.4 ,1663.4 ,538.8 ,604.9 ,1801.26,Paddy soils,,40.1 ,57.4 ,190.0 ,6.0 ,150 ,60 ,105 ,8175 
32,ER-SC,ERSC0032,2009,late_maturity,24.4 ,30.2 ,20.3 ,1853.3 ,1093.3 ,386.9 ,372.3 ,1159.64,Paddy soils,,32.9 ,46.6 ,41.0 ,5.4 ,150 ,60 ,105 ,6326 
33,ER-SC,ERSC0033,2009,late_maturity,24.8 ,30.6 ,20.6 ,2454.4 ,1464.4 ,527.5 ,532.4 ,1585.45,Paddy soils,,39.0 ,23.0 ,76.0 ,5.1 ,150 ,60 ,105 ,7950 
34,ER-SC,ERSC0034,2009,late_maturity,24.6 ,30.4 ,20.4 ,2479.6 ,1469.6 ,525.9 ,530.1 ,1593.88,Paddy soils,,37.4 ,43.4 ,48.0 ,4.9 ,150 ,60 ,105 ,9624 
35,ER-SC,ERSC0035,2009,late_maturity,24.0 ,29.8 ,19.9 ,2690.4 ,1570.4 ,550.1 ,567.6 ,1728.04,Paddy soils,,6.6 ,3.5 ,64.0 ,5.2 ,150 ,60 ,105 ,9567 
36,ER-SC,ERSC0036,2008,late_maturity,24.5 ,30.1 ,20.9 ,2699.4 ,1599.4 ,814.1 ,487.1 ,1586.83,Paddy soils,,46.7 ,56.0 ,48.0 ,5.7 ,150 ,60 ,105 ,7629 
37,ER-SC,ERSC0037,2007,late_maturity,23.8 ,29.0 ,20.3 ,2614.3 ,1514.3 ,1011.5 ,415.6 ,1459.63,Paddy soils,,31.7 ,10.8 ,45.0 ,5.1 ,165 ,60 ,105 ,8592 
38,ER-SC,ERSC0038,2007,late_maturity,25.0 ,30.5 ,21.3 ,2649.6 ,1589.6 ,977.7 ,472.6 ,1534.33,Paddy soils,,38.6 ,24.0 ,103.0 ,5.0 ,165 ,60 ,105 ,8144 
39,ER-SC,ERSC0039,2007,late_maturity,24.9 ,30.3 ,21.2 ,2559.7 ,1529.7 ,977.7 ,449.1 ,1474.24,Paddy soils,,34.0 ,25.5 ,118.0 ,5.1 ,165 ,60 ,105 ,8012 
40,ER-SC,ERSC0040,2007,late_maturity,24.2 ,29.5 ,20.7 ,2640.8 ,1550.8 ,998.7 ,449.1 ,1513.53,Paddy soils,,30.7 ,24.3 ,62.0 ,5.3 ,165 ,60 ,105 ,7403 
41,ER-SC,ERSC0041,2007,late_maturity,24.0 ,29.3 ,20.6 ,2618.6 ,1528.6 ,1013.8 ,428.3 ,1476.97,Paddy soils,,26.6 ,51.1 ,47.0 ,4.7 ,165 ,60 ,105 ,8077 
