Sort,Crop,N0,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
52,M-NCP,MNCP0052,2009,MNCP01,WS0029,24.79 ,30.45 ,20.22 ,2776.4,1656.4,420.9,740.7,1846.35,Cinnamon soils,loam,20.5,27.4,82,8.3,180,60,120,8871
53,M-NCP,MNCP0053,2009,MNCP01,WS0029,24.63 ,30.37 ,19.97 ,2857.6,1697.6,420.9,784.2,1925.78,Cinnamon soils,loam,13.7,34.6,108,7.7,180,60,120,9117
54,M-NCP,MNCP0054,2009,MNCP01,WS0029,24.68 ,30.44 ,19.97 ,2887.2,1717.2,420.9,797.5,1954.14,Cinnamon soils,loamy sand,21.4,49.5,136,8,225,60,150,9744
55,M-NCP,MNCP0055,2010,MNCP01,WS0029,24.97 ,30.10 ,20.76 ,2721.4,1631.4,396.2,636.5,1656.41,Cinnamon soils,loamy sand,18.6,30.1,146,8.4,225,60,150,9881
56,M-NCP,MNCP0056,2010,MNCP01,WS0029,24.90 ,29.92 ,20.78 ,2539.5,1519.5,382.7,567.7,1502.12,Cinnamon soils,loamy sand,16.8,20.1,72,7.9,225,60,150,9663
57,M-NCP,MNCP0057,2010,MNCP01,WS0029,25.11 ,30.24 ,20.90 ,2636.6,1586.6,381.3,599,1579.01,Cinnamon soils,loamy sand,19.5,14.6,92,8.3,180,60,120,7683
58,M-NCP,MNCP0058,2010,MNCP01,WS0029,24.93 ,30.09 ,20.68 ,2691.9,1611.9,382.7,628.8,1630.63,Cinnamon soils,loamy sand,11.2,22.1,75,8.1,180,60,120,7436
59,M-NCP,MNCP0059,2010,MNCP01,WS0029,24.86 ,29.99 ,20.68 ,2635.4,1575.4,382.7,604.3,1577.17,Cinnamon soils,loamy sand,16.7,27.7,93,7.9,180,60,120,7323
60,M-NCP,MNCP0060,2010,MNCP01,WS0029,24.97 ,30.11 ,20.76 ,2697.2,1617.2,393.9,627.3,1634.46,Cinnamon soils,loamy sand,13.9,35.1,109,7.7,225,60,150,9198
61,M-NCP,MNCP0061,2010,MNCP01,WS0029,24.90 ,29.92 ,20.78 ,2539.5,1519.5,382.7,567.7,1502.12,Cinnamon soils,loamy sand,20.3,32.4,94,8.3,225,60,150,9411
62,M-NCP,MNCP0062,2010,MNCP01,WS0029,24.80 ,29.89 ,20.64 ,2604.4,1554.4,382.7,595.3,1555.54,Cinnamon soils,loamy sand,13.5,42.6,98,8.3,225,150,150,8061
63,M-NCP,MNCP0063,2010,MNCP01,WS0029,24.97 ,30.10 ,20.76 ,2721.4,1631.4,396.2,636.5,1656.41,Cinnamon soils,loamy sand,13.6,63.6,149,8.4,225,60,150,8810
64,M-NCP,MNCP0064,2009,MNCP01,WS0035,25.29 ,30.68 ,20.83 ,2655.2,1605.2,454.7,684.7,1742.8,Cinnamon soils,loamy sand,15.8,21.9,158,7.8,225,60,150,8940
65,M-NCP,MNCP0065,2009,MNCP01,WS0035,25.29 ,30.69 ,20.82 ,2681,1621,454.7,694.9,1766.35,Cinnamon soils,loamy sand,14.1,7.5,216,8,180,60,120,10020
66,M-NCP,MNCP0066,2009,MNCP01,WS0035,25.27 ,30.66 ,20.82 ,2678.1,1618.1,454.7,691.5,1756.8,Cinnamon soils,loamy sand,16.3,6.7,110,8.1,180,60,120,6060
67,M-NCP,MNCP0067,2010,MNCP01,WS0035,25.66 ,30.63 ,21.62 ,2873.4,1753.4,295.7,675.9,1764.5,Cinnamon soils,loamy sand,19.5,6.3,117,7.9,225,60,150,10920
68,M-NCP,MNCP0068,2010,MNCP01,WS0035,25.74 ,30.69 ,21.72 ,2959.6,1809.6,295.7,697.1,1829.29,Cinnamon soils,loamy sand,14.2,11.2,133,8,225,60,150,8295
69,M-NCP,MNCP0069,2010,MNCP01,WS0035,25.42 ,30.30 ,21.50 ,2669.3,1619.3,292.2,595,1575.2,Cinnamon soils,loamy sand,15.8,21.9,158,7.8,225,60,150,8820
70,M-NCP,MNCP0070,2010,MNCP01,WS0035,25.54 ,30.45 ,21.60 ,2682,1632,295.3,602.4,1596.35,Cinnamon soils,loamy sand,14.1,7.5,216,8,180,60,120,8505
71,M-NCP,MNCP0071,2010,MNCP01,WS0035,25.97 ,30.90 ,21.98 ,2908.8,1788.8,295.7,674.3,1784.42,Cinnamon soils,loamy sand,14.7,6,109,8,180,60,120,8220
72,M-NCP,MNCP0072,2010,MNCP01,WS0035,25.74 ,30.69 ,21.72 ,2959.6,1809.6,295.7,697.1,1829.29,Cinnamon soils,loamy sand,21.5,6.4,133,7.6,180,60,120,6630
