Sort,Crop,N0,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
753,M-NCP,MNCP0753,2008,MNCP01,WS0132,23.22 ,28.43 ,18.91 ,2437.8,1387.8,508.8,614,1566.23,Fluvo-aquic soils,loam,18.5,28.7,116,8.2,180,138,144,8988
754,M-NCP,MNCP0754,2008,MNCP01,WS0132,23.07 ,28.31 ,18.80 ,2399.7,1359.7,448.1,612.7,1550.29,Cinnamon soils,loamy sand,22.9,14.2,108,8,180,138,144,8022
755,M-NCP,MNCP0755,2008,MNCP01,WS0134,23.19 ,28.34 ,19.05 ,2505,1425,406.9,498.4,1403.58,Cinnamon soils,loam,10.3,5.5,62,7.5,180,60,120,9266
756,M-NCP,MNCP0756,2008,MNCP01,WS0134,23.19 ,28.34 ,19.05 ,2505,1425,406.9,498.4,1403.58,Cinnamon soils,loam,18.1,50.3,124,7.8,135,60,90,7523
757,M-NCP,MNCP0757,2008,MNCP01,WS0134,23.19 ,28.34 ,19.05 ,2505,1425,406.9,498.4,1403.58,Cinnamon soils,loam,15.2,8.2,78,7.9,135,60,90,6185
758,M-NCP,MNCP0758,2008,MNCP01,WS0134,23.19 ,28.34 ,19.05 ,2505,1425,406.9,498.4,1403.58,Cinnamon soils,sandy loam,8.4,14,66,7.8,180,60,120,9338
759,M-NCP,MNCP0759,2009,MNCP01,WS0134,24.00 ,29.39 ,19.46 ,2544,1484,313.9,712.1,1750.5,Cinnamon soils,sandy loam,8.5,19,68,7.8,180,60,120,9158
760,M-NCP,MNCP0760,2009,MNCP01,WS0134,24.12 ,29.51 ,19.54 ,2484.2,1454.2,313.8,704,1726.13,Cinnamon soils,loam,18.5,48.9,128,7.8,135,60,90,7823
761,M-NCP,MNCP0761,2009,MNCP01,WS0134,23.94 ,29.37 ,19.36 ,2561.9,1491.9,313.9,722.4,1767.95,Cinnamon soils,loam,14.8,8.2,76,7.9,135,60,90,7419
762,M-NCP,MNCP0762,2009,MNCP01,WS0134,24.00 ,29.39 ,19.46 ,2544,1484,313.9,712.1,1750.5,Cinnamon soils,loam,10.8,24.1,68,7.8,180,60,120,9192
763,M-NCP,MNCP0763,2009,MNCP01,WS0134,24.02 ,29.39 ,19.48 ,2522.3,1472.3,313.8,704,1735.68,Cinnamon soils,loam,9.4,10.1,67,8,180,60,120,9158
764,M-NCP,MNCP0764,2009,MNCP01,WS0134,24.00 ,29.39 ,19.46 ,2544,1484,313.9,712.1,1750.5,Cinnamon soils,loam,11.8,15.8,79,7.9,135,60,90,7565
765,M-NCP,MNCP0765,2009,MNCP01,WS0134,24.21 ,29.60 ,19.60 ,2445.1,1435.1,313.8,692.2,1701.39,Cinnamon soils,loam,11.2,5.7,64,7.5,180,60,120,8991
766,M-NCP,MNCP0766,2009,MNCP01,WS0134,24.00 ,29.39 ,19.46 ,2544,1484,313.9,712.1,1750.5,Cinnamon soils,loam,10.3,14.1,91,7.9,225,60,90,9530
767,M-NCP,MNCP0767,2007,MNCP01,WS0135,24.18 ,29.08 ,20.05 ,2683.8,1573.8,494.4,625.5,1625.95,Cinnamon soils,sandy loam,14,18.7,60,8.2,225,60,150,8744
768,M-NCP,MNCP0768,2008,MNCP01,WS0135,23.86 ,28.74 ,19.67 ,2600.2,1510.2,401.9,597.7,1573.92,Cinnamon soils,sandy loam,16.3,3.4,103,8.2,68,135,203,7967
769,M-NCP,MNCP0769,2008,MNCP01,WS0135,23.68 ,28.60 ,19.47 ,2628.7,1518.7,402.2,612.5,1600.4,Cinnamon soils,loam,18.7,11,118,7.9,225,60,150,8168
770,M-NCP,MNCP0770,2008,MNCP01,WS0135,23.86 ,28.74 ,19.67 ,2600.2,1510.2,401.9,597.7,1573.92,Cinnamon soils,sandy loam,15.9,14.4,148,7.3,180,60,120,7800
771,M-NCP,MNCP0771,2007,MNCP02,WS0212,25.07 ,30.23 ,21.00 ,2782.4,1672.4,568,463.1,1448.76,Cinnamon soils,loamy sand,20.3,19.3,147,8.2,195,60,90,8092
772,M-NCP,MNCP0772,2007,MNCP02,WS0212,24.80 ,29.89 ,20.81 ,2728.4,1628.4,603,458.8,1429.49,Cinnamon soils,loamy sand,16.7,32.2,139,7.8,195,60,90,9200
773,M-NCP,MNCP0773,2006,MNCP02,WS0212,25.35 ,30.54 ,21.28 ,2788,1688,410,574.2,1607.99,Cinnamon soils,loamy sand,20,19.5,175,7.7,188,108,60,7931
774,M-NCP,MNCP0774,2006,MNCP02,WS0212,25.44 ,30.63 ,21.33 ,2849.7,1729.7,410,605.5,1675.39,Fluvo-aquic soils,loam,16.9,34.3,153,7.8,188,108,60,7907
775,M-NCP,MNCP0775,2007,MNCP02,WS0212,24.80 ,29.89 ,20.81 ,2728.4,1628.4,603,458.8,1429.49,Cinnamon soils,loamy sand,16.2,36.4,105,8.3,195,60,90,7386
776,M-NCP,MNCP0776,2007,MNCP02,WS0212,24.87 ,29.97 ,20.85 ,2810.4,1680.4,603,463.1,1458.78,Fluvo-aquic soils,loam,22.6,12.9,122,8.1,195,60,90,8193
777,M-NCP,MNCP0777,2006,MNCP02,WS0212,25.51 ,30.68 ,21.40 ,2805.8,1705.8,410,593.7,1649.67,Cinnamon soils,loam,17,60.4,137,7.9,188,108,60,6419
778,M-NCP,MNCP0778,2007,MNCP02,WS0212,25.10 ,30.28 ,21.05 ,2711.3,1631.3,567.4,458.8,1421.89,Cinnamon soils,loam,17.7,49.8,140,7.9,195,60,90,7564
779,M-NCP,MNCP0779,2009,MNCP02,WS0212,25.05 ,30.02 ,20.90 ,2955.8,1775.8,393.6,684.4,1828.99,Fluvo-aquic soils,sandy loam,11.6,49.2,90,7.8,315,90,120,7568
780,M-NCP,MNCP0780,2006,MNCP02,WS0185,25.72 ,30.55 ,21.24 ,2726.3,1666.3,298.4,636.6,1712.71,Cinnamon soils,loamy sand,15.9,13.8,81,7.6,165,48,60,7977
781,M-NCP,MNCP0781,2007,MNCP02,WS0185,25.36 ,30.06 ,21.08 ,2713.6,1643.6,492.7,557.4,1592.72,Cinnamon soils,loamy sand,22.9,22.5,86,7.6,165,48,60,7851
782,M-NCP,MNCP0782,2007,MNCP02,WS0185,25.36 ,30.06 ,21.08 ,2713.6,1643.6,492.7,557.4,1592.72,Cinnamon soils,loamy sand,21.1,20.3,99,7.7,165,48,60,7961
783,M-NCP,MNCP0783,2008,MNCP02,WS0185,25.34 ,29.93 ,21.14 ,2660.4,1610.4,505.9,471.2,1433.26,Cinnamon soils,loamy sand,15.8,25.3,93,7.8,165,45,60,7394
784,M-NCP,MNCP0784,2006,MNCP02,WS0185,25.72 ,30.55 ,21.24 ,2726.3,1666.3,298.4,636.6,1712.71,Cinnamon soils,loamy sand,19.2,21,114,7.7,165,48,60,7808
785,M-NCP,MNCP0785,2009,MNCP02,WS0185,24.48 ,29.27 ,20.12 ,2668.3,1578.3,449.3,572.9,1586.66,Cinnamon soils,loam,10.2,22.1,90,7.8,180,45,60,6170
786,M-NCP,MNCP0786,2008,MNCP02,WS0185,25.31 ,29.87 ,21.20 ,2480.6,1500.6,499.4,448.1,1338.39,Cinnamon soils,sandy loam,8.5,30.2,81,7.5,188,45,60,5963
787,M-NCP,MNCP0787,2006,MNCP02,WS0185,25.72 ,30.55 ,21.24 ,2726.3,1666.3,298.4,636.6,1712.71,Fluvo-aquic soils,loam,8.1,13.3,70,7.4,165,60,72,6497
788,M-NCP,MNCP0788,2006,MNCP02,WS0185,25.72 ,30.55 ,21.24 ,2726.3,1666.3,298.4,636.6,1712.71,Cinnamon soils,loam,14.6,12.9,199,7.7,165,48,60,7580
789,M-NCP,MNCP0789,2007,MNCP02,WS0185,25.36 ,30.06 ,21.08 ,2713.6,1643.6,492.7,557.4,1592.72,Cinnamon soils,loam,13.6,11.3,95,7.6,165,48,60,7586
790,M-NCP,MNCP0790,2007,MNCP02,WS0185,25.36 ,30.06 ,21.08 ,2713.6,1643.6,492.7,557.4,1592.72,Cinnamon soils,silt loam,14,11.8,71,7.5,165,60,72,7211
791,M-NCP,MNCP0791,2006,MNCP02,WS0185,25.72 ,30.55 ,21.24 ,2726.3,1666.3,298.4,636.6,1712.71,Lime concretion fluvo-aquic soils,clay,20.4,6.7,73,7.7,165,60,72,6158
792,M-NCP,MNCP0792,2007,MNCP02,WS0185,25.36 ,30.06 ,21.08 ,2713.6,1643.6,492.7,557.4,1592.72,Cinnamon soils,loamy sand,21.4,28.1,84,7.4,165,60,72,6896
793,M-NCP,MNCP0793,2008,MNCP02,WS0185,25.34 ,29.92 ,21.20 ,2458.1,1488.1,495.3,448.1,1333.11,Cinnamon soils,loam,12.6,22.4,98,7.3,165,45,60,6813
794,M-NCP,MNCP0794,2006,MNCP02,WS0210,25.88 ,30.82 ,21.90 ,2924.2,1794.2,328.1,660.7,1784.54,Fluvo-aquic soils,loam,8,4.7,107,7.5,195,75,75,9194
795,M-NCP,MNCP0795,2009,MNCP02,WS0210,24.95 ,29.75 ,20.67 ,2844,1704,519.3,710.249,1860.67,Cinnamon soils,loamy sand,13.1,16.8,130,7.5,180,45,60,8007
796,M-NCP,MNCP0796,2009,MNCP02,WS0210,24.95 ,29.75 ,20.67 ,2844,1704,519.3,710.249,1860.67,Cinnamon soils,loam,11.5,21.3,90,7.5,180,45,60,9113
797,M-NCP,MNCP0797,2007,MNCP02,WS0210,25.51 ,30.34 ,21.65 ,2958.8,1798.8,378.4,646.5,1775.38,Cinnamon soils,loam,9.9,15.6,109,7.5,180,90,60,9359
798,M-NCP,MNCP0798,2008,MNCP02,WS0207,24.34 ,29.60 ,20.21 ,2725.6,1605.6,397.6,641.2,1704.33,Fluvo-aquic soils,loam,10.1,13.9,118,8.2,195,60,90,7571
799,M-NCP,MNCP0799,2008,MNCP02,WS0207,24.36 ,29.67 ,20.17 ,2849.6,1679.6,397.6,680.3,1803.67,Fluvo-aquic soils,loam,10.2,26.4,114,8.2,195,60,90,6800
800,M-NCP,MNCP0800,2008,MNCP02,WS0207,24.36 ,29.67 ,20.17 ,2849.6,1679.6,397.6,680.3,1803.67,Fluvo-aquic soils,loamy sand,12.5,32.9,144,8,195,60,90,8141
801,M-NCP,MNCP0801,2009,MNCP02,WS0207,24.51 ,29.75 ,20.28 ,2475.1,1465.1,558.7,605.7,1609.13,Fluvo-aquic soils,loam,16.7,15.8,129,8.3,270,120,195,8037
802,M-NCP,MNCP0802,2009,MNCP02,WS0207,24.51 ,29.75 ,20.28 ,2475.1,1465.1,558.7,605.7,1609.13,Fluvo-aquic soils,loam,15.2,30.3,95,8.2,270,120,195,8079
803,M-NCP,MNCP0803,2008,MNCP02,WS0207,24.36 ,29.67 ,20.17 ,2849.6,1679.6,397.6,680.3,1803.67,Fluvo-aquic soils,loamy sand,14.8,26.7,95,7.8,195,60,90,8223
804,M-NCP,MNCP0804,2008,MNCP02,WS0207,24.36 ,29.67 ,20.17 ,2849.6,1679.6,397.6,680.3,1803.67,Fluvo-aquic soils,loam,12.8,34.1,126,7.9,195,60,90,7961
805,M-NCP,MNCP0805,2009,MNCP02,WS0207,24.29 ,29.60 ,20.06 ,2647.2,1557.2,558.7,644,1700.52,Fluvo-aquic soils,loamy sand,12.6,20.6,140,8.6,270,120,195,7761
806,M-NCP,MNCP0806,2008,MNCP02,WS0206,25.51 ,30.54 ,21.30 ,2576.9,1566.9,318.8,609.273,1595.82,Fluvo-aquic soils,loam,20.2,24.8,172,7,195,60,90,11676
807,M-NCP,MNCP0807,2008,MNCP02,WS0206,24.49 ,29.60 ,20.29 ,2742.5,1622.5,317.2,670.573,1717.95,Fluvo-aquic soils,clay,15.9,47.2,217,7,195,60,90,10769
808,M-NCP,MNCP0808,2008,MNCP02,WS0206,25.61 ,30.66 ,21.36 ,2560.6,1560.6,318.8,609.273,1590.64,Fluvo-aquic soils,loam,22.1,22.4,167,7,195,60,90,7802
809,M-NCP,MNCP0809,2008,MNCP02,WS0206,25.52 ,30.54 ,21.32 ,2501,1521,309.5,598.073,1553.14,Fluvo-aquic soils,loam,17.9,24.2,117,7,195,60,90,7712
810,M-NCP,MNCP0810,2008,MNCP02,WS0206,25.62 ,30.69 ,21.30 ,2715.6,1655.6,318.8,635.673,1677.4,Fluvo-aquic soils,loam,16.9,19.4,192,7,195,60,90,8753
811,M-NCP,MNCP0811,2009,MNCP02,WS0206,24.98 ,30.30 ,20.54 ,2648.4,1588.4,561.9,744.3,1860.79,Fluvo-aquic soils,loam,20.2,24.8,167,7.6,195,60,23,6192
812,M-NCP,MNCP0812,2009,MNCP02,WS0206,24.86 ,30.07 ,20.62 ,2511.3,1501.3,561.9,680.4,1719.93,Fluvo-aquic soils,clay,15.9,47.2,117,7.8,195,60,23,4262
813,M-NCP,MNCP0813,2009,MNCP02,WS0206,24.23 ,29.63 ,19.93 ,2714.2,1594.2,492.7,768.5,1875.97,Fluvo-aquic soils,loam,16.6,21.6,183,7.5,195,60,23,5876
814,M-NCP,MNCP0814,2009,MNCP02,WS0206,24.90 ,30.12 ,20.64 ,2489.7,1489.7,561.9,680.2,1714.44,Fluvo-aquic soils,loam,17.9,24.2,172,7.8,195,60,23,5538
815,M-NCP,MNCP0815,2009,MNCP02,WS0206,24.76 ,30.00 ,20.50 ,2426.3,1446.3,472.1,674.7,1683.6,Fluvo-aquic soils,loam,16.9,19.4,192,7.2,195,60,23,5693
816,M-NCP,MNCP0816,2006,MNCP02,WS0176,25.40 ,30.95 ,21.06 ,2717.5,1647.5,333.1,524.9,1536.08,Fluvo-aquic soils,loam,11.2,22.6,120,8.1,195,60,90,6480
817,M-NCP,MNCP0817,2007,MNCP02,WS0176,25.54 ,30.58 ,20.81 ,2733.2,1663.2,259.6,639.705,1700.94,Fluvo-aquic soils,loam,12.4,23.8,110,7.9,195,75,90,8270
818,M-NCP,MNCP0818,2008,MNCP02,WS0176,25.62 ,30.93 ,21.22 ,2741.7,1671.7,244.6,713.2,1813.82,Fluvo-aquic soils,loam,12.4,25.4,110,8.2,195,75,90,8510
819,M-NCP,MNCP0819,2009,MNCP02,WS0176,24.63 ,29.71 ,20.06 ,2635.4,1565.4,541.3,748.48,1872.08,Fluvo-aquic soils,loam,13.1,26.7,118,8,195,75,90,8205
820,M-NCP,MNCP0820,2006,MNCP02,WS0176,25.40 ,30.95 ,21.06 ,2717.5,1647.5,333.1,524.9,1536.08,Fluvo-aquic soils,loam,12.6,34.6,113,7.9,195,60,90,7146
821,M-NCP,MNCP0821,2006,MNCP02,WS0176,25.40 ,30.95 ,21.06 ,2717.5,1647.5,333.1,524.9,1536.08,Fluvo-aquic soils,loam,11,27.4,103,8.1,195,60,90,7136
822,M-NCP,MNCP0822,2006,MNCP02,WS0176,25.40 ,30.95 ,21.06 ,2717.5,1647.5,333.1,524.9,1536.08,Fluvo-aquic soils,loam,12.4,32.9,116,8.2,195,60,90,6390
823,M-NCP,MNCP0823,2006,MNCP02,WS0176,25.40 ,30.95 ,21.06 ,2717.5,1647.5,333.1,524.9,1536.08,Fluvo-aquic soils,loam,13.4,30.2,124,7.9,195,60,90,6890
824,M-NCP,MNCP0824,2006,MNCP02,WS0176,25.40 ,30.95 ,21.06 ,2717.5,1647.5,333.1,524.9,1536.08,Fluvo-aquic soils,loam,12.4,32.9,116,8.1,195,60,90,6815
825,M-NCP,MNCP0825,2006,MNCP02,WS0176,25.42 ,30.99 ,21.07 ,2770.8,1680.8,333.1,534.6,1566.32,Fluvo-aquic soils,loam,12.4,32.8,124,8.1,195,60,90,7136
826,M-NCP,MNCP0826,2006,MNCP02,WS0176,25.40 ,30.95 ,21.06 ,2717.5,1647.5,333.1,524.9,1536.08,Fluvo-aquic soils,loam,11.9,28.3,117,8.2,195,60,90,8364
827,M-NCP,MNCP0827,2006,MNCP02,WS0176,25.40 ,30.95 ,21.06 ,2717.5,1647.5,333.1,524.9,1536.08,Fluvo-aquic soils,loam,12.3,33.7,123,7.9,195,60,90,6620
828,M-NCP,MNCP0828,2007,MNCP02,WS0183,24.30 ,29.19 ,20.05 ,2722.1,1602.1,286.5,732.5,1839.79,Fluvo-aquic soils,loam,12.6,26.4,114,7.8,195,75,90,8271
829,M-NCP,MNCP0829,2008,MNCP02,WS0183,24.57 ,29.56 ,20.49 ,2653.5,1573.5,364.6,626.6,1648.7,Fluvo-aquic soils,loam,12.1,22.4,112,8.4,195,60,90,7179
830,M-NCP,MNCP0830,2008,MNCP02,WS0183,24.57 ,29.56 ,20.49 ,2653.5,1573.5,364.6,626.6,1648.7,Fluvo-aquic soils,loam,11.2,20.5,110,8.4,195,60,90,6827
831,M-NCP,MNCP0831,2008,MNCP02,WS0183,24.57 ,29.56 ,20.49 ,2653.5,1573.5,364.6,626.6,1648.7,Fluvo-aquic soils,loam,13.6,29.1,95,8.2,195,60,90,7809
832,M-NCP,MNCP0832,2009,MNCP02,WS0183,24.40 ,29.64 ,19.91 ,2635,1555,325,762,1861.93,Fluvo-aquic soils,loam,11.3,21.3,97,8.3,195,60,60,8060
833,M-NCP,MNCP0833,2009,MNCP02,WS0183,24.35 ,29.61 ,19.85 ,2654.6,1564.6,325,771,1878.26,Fluvo-aquic soils,loam,13.2,23.2,102,8.1,195,60,60,7509
834,M-NCP,MNCP0834,2007,MNCP02,WS0183,24.30 ,29.19 ,20.05 ,2722.1,1602.1,286.5,732.5,1839.79,Fluvo-aquic soils,loam,13,30.6,97,7.9,195,75,90,8444
835,M-NCP,MNCP0835,2008,MNCP02,WS0183,24.57 ,29.56 ,20.49 ,2653.5,1573.5,364.6,626.6,1648.7,Fluvo-aquic soils,loam,13.1,25.9,106,8.2,195,60,90,7874
836,M-NCP,MNCP0836,2007,MNCP02,WS0183,24.30 ,29.19 ,20.05 ,2722.1,1602.1,286.5,732.5,1839.79,Fluvo-aquic soils,loam,11.8,19.8,109,8.1,195,75,90,7098
837,M-NCP,MNCP0837,2007,MNCP02,WS0183,24.30 ,29.19 ,20.05 ,2722.1,1602.1,286.5,732.5,1839.79,Fluvo-aquic soils,sandy loam,12.2,23.3,91,8.2,195,75,90,8117
838,M-NCP,MNCP0838,2007,MNCP02,WS0183,24.30 ,29.19 ,20.05 ,2722.1,1602.1,286.5,732.5,1839.79,Fluvo-aquic soils,loam,13.8,27.7,108,7.9,195,75,90,8943
839,M-NCP,MNCP0839,2007,MNCP02,WS0183,24.30 ,29.19 ,20.05 ,2722.1,1602.1,286.5,732.5,1839.79,Fluvo-aquic soils,loam,12.1,21.1,112,8.3,195,75,90,7583
840,M-NCP,MNCP0840,2008,MNCP02,WS0183,24.57 ,29.56 ,20.49 ,2653.5,1573.5,364.6,626.6,1648.7,Fluvo-aquic soils,loam,12.5,23.6,98,8.1,195,60,90,7283
841,M-NCP,MNCP0841,2008,MNCP02,WS0183,24.57 ,29.56 ,20.49 ,2653.5,1573.5,364.6,626.6,1648.7,Fluvo-aquic soils,loam,13.1,27.4,98,8,195,60,90,8118
842,M-NCP,MNCP0842,2009,MNCP02,WS0183,24.43 ,29.64 ,19.94 ,2589.7,1529.7,320.9,748.7,1829.71,Fluvo-aquic soils,loam,13.4,26.6,95,8.2,195,60,60,7778
843,M-NCP,MNCP0843,2006,MNCP02,WS0182,24.56 ,29.84 ,20.33 ,3021.4,1791.4,442.2,763.7,1928.03,Fluvo-aquic soils,loam,12.9,15,179,8.2,195,60,60,6765
844,M-NCP,MNCP0844,2008,MNCP02,WS0182,24.83 ,29.54 ,20.95 ,2334,1394,289.1,492.9,1357.61,Fluvo-aquic soils,clay,15.1,19.5,130,8.1,195,60,60,5636
845,M-NCP,MNCP0845,2006,MNCP02,WS0182,24.56 ,29.84 ,20.33 ,3021.4,1791.4,442.2,763.7,1928.03,Fluvo-aquic soils,loam,16.4,16.1,206,8,195,60,60,6693
846,M-NCP,MNCP0846,2008,MNCP02,WS0182,24.73 ,29.44 ,20.83 ,2497.7,1487.7,293,527.1,1457.3,Fluvo-aquic soils,loam,18,30.2,198,8,195,60,60,6047
847,M-NCP,MNCP0847,2006,MNCP02,WS0182,24.56 ,29.84 ,20.33 ,3021.4,1791.4,442.2,763.7,1928.03,Fluvo-aquic soils,loam,14.4,28.1,175,8.2,195,60,60,5571
848,M-NCP,MNCP0848,2008,MNCP02,WS0182,24.73 ,29.43 ,20.86 ,2349.1,1399.1,289.4,495,1365.33,Fluvo-aquic soils,loam,14,23.2,226,7.9,195,60,60,6233
849,M-NCP,MNCP0849,2006,MNCP02,WS0182,24.75 ,29.95 ,20.56 ,2920.2,1740.2,442.2,730.7,1864.52,Fluvo-aquic soils,loam,11.1,15,193,8.1,195,60,60,5243
850,M-NCP,MNCP0850,2008,MNCP02,WS0182,24.60 ,29.27 ,20.76 ,2337.1,1387.1,289.4,490,1353.86,Fluvo-aquic soils,loam,13.1,25.2,212,8.3,210,150,75,6347
851,M-NCP,MNCP0851,2006,MNCP02,WS0182,24.56 ,29.84 ,20.33 ,3021.4,1791.4,442.2,763.7,1928.03,Fluvo-aquic soils,loam,12.3,8.2,130,7.9,195,60,60,5781
852,M-NCP,MNCP0852,2006,MNCP02,WS0182,24.56 ,29.84 ,20.33 ,3021.4,1791.4,442.2,763.7,1928.03,Fluvo-aquic soils,sandy loam,9.3,12.6,185,8.2,195,60,60,6567
853,M-NCP,MNCP0853,2008,MNCP02,WS0182,24.94 ,29.67 ,21.03 ,2369.5,1419.5,292.7,501.5,1382.57,Fluvo-aquic soils,loam,14.1,21.2,96,8.3,195,60,60,5520
854,M-NCP,MNCP0854,2006,MNCP02,WS0201,24.80 ,30.22 ,20.80 ,2604,1554,197.5,527.5,1508.06,Fluvo-aquic soils,loam,13.3,56.8,200,8.3,210,75,120,9923
855,M-NCP,MNCP0855,2007,MNCP02,WS0201,24.48 ,29.98 ,20.55 ,2570.4,1520.4,333.4,469.7,1416.7,Fluvo-aquic soils,loamy sand,10,20.3,120,8.3,210,75,120,9917
856,M-NCP,MNCP0856,2007,MNCP02,WS0201,24.48 ,29.98 ,20.55 ,2570.4,1520.4,333.4,469.7,1416.7,Fluvo-aquic soils,loam,15.5,20.6,140,8.4,210,75,120,9666
857,M-NCP,MNCP0857,2008,MNCP02,WS0201,24.05 ,29.42 ,20.34 ,2524.9,1474.9,311.6,533.9,1512.73,Fluvo-aquic soils,loamy sand,13.5,27.6,120,8.5,210,75,120,9675
858,M-NCP,MNCP0858,2007,MNCP02,WS0201,24.48 ,29.98 ,20.55 ,2570.4,1520.4,333.4,469.7,1416.7,Fluvo-aquic soils,loam,14.7,17.3,120,8.5,210,75,120,10376
859,M-NCP,MNCP0859,2008,MNCP02,WS0201,24.05 ,29.42 ,20.34 ,2524.9,1474.9,311.6,533.9,1512.73,Fluvo-aquic soils,loam,11.5,30.4,117,8.2,210,75,120,9015
860,M-NCP,MNCP0860,2006,MNCP02,WS0201,24.80 ,30.22 ,20.80 ,2604,1554,197.5,527.5,1508.06,Fluvo-aquic soils,loam,15.5,29,130,8.1,210,75,120,5672
861,M-NCP,MNCP0861,2007,MNCP02,WS0201,24.48 ,29.98 ,20.55 ,2570.4,1520.4,333.4,469.7,1416.7,Fluvo-aquic soils,loam,12.5,24.6,115,8.3,210,75,120,10815
862,M-NCP,MNCP0862,2006,MNCP02,WS0201,24.80 ,30.22 ,20.80 ,2604,1554,197.5,527.5,1508.06,Fluvo-aquic soils,loam,16.2,21.8,140,8.5,210,75,120,9228
863,M-NCP,MNCP0863,2007,MNCP02,WS0208,25.17 ,30.31 ,21.49 ,2542.6,1532.6,328.4,526.3,1501.34,Fluvo-aquic soils,loam,14.2,9.4,101,7.4,210,75,120,7856
864,M-NCP,MNCP0864,2007,MNCP02,WS0208,24.97 ,30.19 ,21.23 ,2622.3,1572.3,328.4,566.7,1571.51,Fluvo-aquic soils,loam,15.9,28,150,7.4,210,75,120,8930
865,M-NCP,MNCP0865,2007,MNCP02,WS0208,25.17 ,30.31 ,21.49 ,2542.6,1532.6,328.4,526.3,1501.34,Fluvo-aquic soils,loam,16.4,26.6,108,8.2,210,75,120,5105
866,M-NCP,MNCP0866,2008,MNCP02,WS0208,24.96 ,30.06 ,21.25 ,2695.2,1615.2,328.8,544.3,1557.15,Fluvo-aquic soils,loam,13.5,10.5,96,8.1,195,120,120,7706
867,M-NCP,MNCP0867,2008,MNCP02,WS0208,24.96 ,30.06 ,21.25 ,2695.2,1615.2,328.8,544.3,1557.15,Fluvo-aquic soils,loam,10.5,13,105,8.2,195,120,120,6710
868,M-NCP,MNCP0868,2009,MNCP02,WS0208,24.78 ,30.28 ,20.59 ,2675.9,1595.9,369.1,574.8,1615.7,Fluvo-aquic soils,loam,12.5,15,93,7.9,195,120,120,7290
869,M-NCP,MNCP0869,2008,MNCP02,WS0208,24.96 ,30.06 ,21.25 ,2695.2,1615.2,328.8,544.3,1557.15,Fluvo-aquic soils,clay,11.7,15.4,60,8.1,195,120,120,8310
870,M-NCP,MNCP0870,2009,MNCP02,WS0208,24.78 ,30.28 ,20.59 ,2675.9,1595.9,369.1,574.8,1615.7,Fluvo-aquic soils,clay,11,16,80,8,210,75,120,9120
871,M-NCP,MNCP0871,2007,MNCP02,WS0208,24.97 ,30.19 ,21.23 ,2622.3,1572.3,328.4,566.7,1571.51,Fluvo-aquic soils,loam,10.2,27.5,150,8,210,75,120,9426
872,M-NCP,MNCP0872,2007,MNCP02,WS0208,25.17 ,30.31 ,21.49 ,2542.6,1532.6,328.4,526.3,1501.34,Fluvo-aquic soils,loam,16.2,82,138,8.3,210,75,120,5388
873,M-NCP,MNCP0873,2007,MNCP02,WS0208,25.17 ,30.31 ,21.49 ,2542.6,1532.6,328.4,526.3,1501.34,Fluvo-aquic soils,loam,18.2,27.5,156,7.9,210,75,120,8766
874,M-NCP,MNCP0874,2008,MNCP02,WS0208,24.96 ,30.06 ,21.25 ,2695.2,1615.2,328.8,544.3,1557.15,Fluvo-aquic soils,loam,15,29.4,132,8,210,75,120,6291
875,M-NCP,MNCP0875,2009,MNCP02,WS0208,24.78 ,30.28 ,20.59 ,2675.9,1595.9,369.1,574.8,1615.7,Fluvo-aquic soils,clay,14,20,90,8,210,75,120,6305
876,M-NCP,MNCP0876,2007,MNCP02,WS0209,25.82 ,30.48 ,22.01 ,2736.9,1676.9,325,542.2,1574.21,Fluvo-aquic soils,loam,12.7,46.5,160,8.4,210,60,75,8066
877,M-NCP,MNCP0877,2007,MNCP02,WS0209,25.88 ,30.51 ,22.07 ,2665.3,1635.3,324.4,533.3,1544.81,Fluvo-aquic soils,silt loam,21.2,31.2,180,8.4,210,60,75,7890
878,M-NCP,MNCP0878,2006,MNCP02,WS0209,26.06 ,30.86 ,22.24 ,2606.2,1606.2,245.7,563.4,1557.73,Fluvo-aquic soils,loamy sand,16,22,100,8.5,195,75,90,6992
879,M-NCP,MNCP0879,2008,MNCP02,WS0209,25.43 ,30.11 ,21.69 ,2619.1,1589.1,325.1,528.4,1497.75,Fluvo-aquic soils,loam,24.3,34.2,89,7.8,195,45,75,8282
880,M-NCP,MNCP0880,2007,MNCP02,WS0209,25.56 ,30.24 ,21.78 ,2913.8,1773.8,337.4,579.2,1679.55,Fluvo-aquic soils,loam,10.4,15,110,8.7,210,60,75,8903
881,M-NCP,MNCP0881,2008,MNCP02,WS0209,25.59 ,30.30 ,21.72 ,2994,1824,349.9,614.3,1776.1,Fluvo-aquic soils,loam,21.5,19,103,8,195,45,75,8622
882,M-NCP,MNCP0882,2008,MNCP02,WS0209,25.72 ,30.44 ,21.83 ,2932,1792,337.3,601.4,1730.18,Fluvo-aquic soils,loam,14.8,48.3,155,8,195,45,75,7637
