Sort,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
70,ER-SC,ERSC0070,2008,ERSC01,WS0864,24.19 ,30.22 ,20.21 ,2321.9,1361.9,662.8,422.5,1380.18,Paddy soils,,61.2,11.4,95,4.6,150,60,135,6881
71,ER-SC,ERSC0071,2007,ERSC01,WS0864,25.40 ,31.95 ,21.05 ,2768.3,1678.3,577.8,556.1,1691.54,Paddy soils,,34.2,37.5,73,5,165,60,105,8324
72,ER-SC,ERSC0072,2008,ERSC01,WS0864,24.30 ,30.35 ,20.29 ,2381.2,1401.2,662.8,440.6,1424.29,Paddy soils,,38.8,6,21,4.9,150,60,135,6824
73,ER-SC,ERSC0073,2008,ERSC01,WS0864,24.54 ,30.62 ,20.49 ,2576.5,1526.5,759.9,484.6,1545.1,Paddy soils,,42.9,4,27,5,150,60,135,8004
74,ER-SC,ERSC0074,2008,ERSC01,WS0864,24.66 ,30.79 ,20.57 ,2687.9,1597.9,759.9,515.2,1623.15,Paddy soils,,18.8,16.1,111,4.7,150,60,135,8723
75,ER-SC,ERSC0075,2008,ERSC01,WS0864,24.71 ,30.86 ,20.60 ,2718.2,1618.2,759.9,526.5,1648.81,Paddy soils,,41,11.3,89,4.9,150,60,135,8709
76,ER-SC,ERSC0076,2008,ERSC01,WS0864,24.72 ,30.85 ,20.63 ,2694.7,1604.7,759.9,522.1,1635.19,Paddy soils,,26.6,22.7,90,5,165,60,105,8040
77,ER-SC,ERSC0077,2007,ERSC01,WS0864,24.83 ,31.33 ,20.62 ,2582.6,1542.6,580,494.3,1553.07,Paddy soils,,37.7,52.9,89,5.1,165,60,105,8643
78,ER-SC,ERSC0078,2007,ERSC01,WS0864,24.89 ,31.39 ,20.66 ,2613.7,1563.7,580,505.8,1579.11,Paddy soils,,47.9,34.6,56,5,165,60,105,9213
79,ER-SC,ERSC0079,2007,ERSC01,WS0864,25.87 ,32.12 ,21.83 ,2250.9,1380.9,544.6,412.6,1305.43,Paddy soils,,56.6,39.6,67,4.9,165,60,105,9389
80,ER-SC,ERSC0080,2007,ERSC01,WS0875,23.51 ,28.82 ,19.78 ,2280.5,1310.5,653,375.1,1307.11,Paddy soils,,28.3,42.4,184,5.3,180,72,135,7134
81,ER-SC,ERSC0081,2007,ERSC01,WS0875,23.62 ,28.95 ,19.88 ,2267.3,1307.3,652.4,375.1,1300.57,Paddy soils,,28.3,36.8,167,5.1,180,72,135,6984
82,ER-SC,ERSC0082,2007,ERSC01,WS0875,24.10 ,29.50 ,20.35 ,2337.8,1367.8,683.6,388.4,1331.55,Paddy soils,,28.8,22.1,173,5.7,180,72,135,7050
83,ER-SC,ERSC0083,2007,ERSC01,WS0875,24.81 ,30.13 ,21.07 ,2406.4,1436.4,670.7,411.5,1372.86,Paddy soils,,49.3,41.2,220,4.6,180,72,135,7625
84,ER-SC,ERSC0084,2007,ERSC01,WS0875,24.94 ,30.31 ,21.14 ,2568.8,1538.8,681.5,448.1,1474.94,Paddy soils,,44.4,16.4,118,4.6,180,72,135,4958
85,ER-SC,ERSC0085,2007,ERSC01,WS0875,24.79 ,30.07 ,21.09 ,2354.9,1404.9,670.7,397.1,1335.33,Paddy soils,,47.5,34,88,5,180,72,135,6915
86,ER-SC,ERSC0086,2007,ERSC01,WS0875,24.30 ,29.74 ,20.53 ,2381.2,1401.2,681.5,402.8,1362.97,Paddy soils,,50.4,25.7,195,5.4,180,72,135,6666
87,ER-SC,ERSC0087,2007,ERSC01,WS0875,24.49 ,29.88 ,20.72 ,2424.4,1434.4,681.5,413.2,1387.89,Paddy soils,,50.4,33.8,175,6,180,72,135,6584
88,ER-SC,ERSC0088,2007,ERSC01,WS0875,24.60 ,29.99 ,20.81 ,2484.2,1474.2,681.5,430.4,1430.48,Paddy soils,,47.9,13.4,96,4.8,180,72,135,5850
89,ER-SC,ERSC0089,2007,ERSC01,WS0875,24.60 ,29.99 ,20.81 ,2484.2,1474.2,681.5,430.4,1430.48,Paddy soils,,45.7,9.4,125,5.4,180,72,135,6584
90,ER-SC,ERSC0090,2010,ERSC02,WS0898,25.92 ,30.30 ,23.04 ,2229,1369,812.2,301.7,1115.65,Paddy soils,,23,30.5,149,5.3,173,45,63,5817
91,ER-SC,ERSC0091,2010,ERSC02,WS0898,25.78 ,30.11 ,22.94 ,2165.7,1325.7,815.1,277,1060.88,Paddy soils,,48,3.1,42,6,173,45,63,3555
