Crop,NO,Year,Province,Province1,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil type1,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
SR-YZB,SRYZB0094,2008,安徽,Anhui,8658236,26.49326923,30.40384615,23.66153846,2755.3,1715.3,782.9,387.8,1321.25,水稻土,Paddy soils,clay,25.2,7.9,84,5.8,180,72,180,9016.5
SR-YZB,SRYZB0095,2007,安徽,Anhui,8658234,26.79574468,30.84042553,23.75,2518.8,1578.8,617.7,517.1,1496.13,水稻土,Paddy soils,clay loam,24.4,21.5,146,4.9,180,72,150,7909.5
SR-YZB,SRYZB0096,2007,安徽,Anhui,8658230,26.47563025,30.90756303,23.33445378,3150.6,1960.6,639.3,594.2,1724.09,水稻土,Paddy soils,clay loam,17.8,16.3,118,5.8,210,72,180,8641.5
SR-YZB,SRYZB0097,2007,安徽,Anhui,8658230,26.47563025,30.90756303,23.33445378,3150.6,1960.6,639.3,594.2,1724.09,水稻土,Paddy soils,silty clay loam,16.5,13.6,115,5.8,210,72,180,8521.5
SR-YZB,SRYZB0098,2007,安徽,Anhui,8658230,26.47563025,30.90756303,23.33445378,3150.6,1960.6,639.3,594.2,1724.09,水稻土,Paddy soils,silty clay loam,30.8,18,116,4.83,210,72,180,8028
SR-YZB,SRYZB0099,2007,安徽,Anhui,8658230,26.47563025,30.90756303,23.33445378,3150.6,1960.6,639.3,594.2,1724.09,水稻土,Paddy soils,silty clay loam,12.5,27.5,135,5.3,210,72,180,8628
SR-YZB,SRYZB0100,2007,安徽,Anhui,8658230,26.47563025,30.90756303,23.33445378,3150.6,1960.6,639.3,594.2,1724.09,水稻土,Paddy soils,silty clay loam,21.3,10.8,125,6.53,210,72,180,8862
SR-YZB,SRYZB0101,2007,安徽,Anhui,8658230,26.47563025,30.90756303,23.33445378,3150.6,1960.6,639.3,594.2,1724.09,水稻土,Paddy soils,silty clay loam,19.2,15.7,133,6.2,210,72,180,8166
SR-YZB,SRYZB0102,2007,安徽,Anhui,8658230,26.47563025,30.90756303,23.33445378,3150.6,1960.6,639.3,594.2,1724.09,水稻土,Paddy soils,clay loam,16.1,18.3,147,6.2,210,72,180,8352
SR-YZB,SRYZB0103,2007,安徽,Anhui,8658230,26.47563025,30.90756303,23.33445378,3150.6,1960.6,639.3,594.2,1724.09,水稻土,Paddy soils,clay loam,17.5,9.7,109,6.5,210,72,180,9000
