Sort,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
45,M-SWC,MSWC0045,2008,MSWC01,WS0561,21.99 ,27.14 ,18.48 ,3100,1690,729.3,537.5,1858.72,Limestone soils,,31.9,11.4,80,7.7,225,150,240,9926
46,M-SWC,MSWC0046,2009,MSWC01,WS0561,21.05 ,25.70 ,17.91 ,2947.6,1547.6,608.9,518.7,1841.38,Limestone soils,,16.6,4.8,40,8.1,180,120,180,6575
47,M-SWC,MSWC0047,2009,MSWC01,WS0561,20.63 ,25.20 ,17.54 ,2867.3,1479.6,616.5,481.9,1774.35,Limestone soils,,33.2,14.3,115,7.6,210,135,210,7050
48,M-SWC,MSWC0048,2008,MSWC01,WS0561,22.13 ,27.32 ,18.59 ,3098.6,1698.6,712.7,554.8,1875.09,Limestone soils,,27.5,20.3,330,6.8,210,135,210,9720
49,M-SWC,MSWC0049,2007,MSWC01,WS0597,20.53 ,25.39 ,16.97 ,3305.7,1696.6,947.3,651.2,2191.09,Yellow earths,,28.8,9.7,184,6.5,210,135,210,7338
50,M-SWC,MSWC0050,2007,MSWC01,WS0597,20.44 ,25.38 ,16.81 ,3147.2,1612.4,927.3,639.2,2129.25,Yellow earths,,28.5,8,179,6.2,210,135,210,8079
51,M-SWC,MSWC0051,2008,MSWC01,WS0597,19.77 ,24.89 ,16.16 ,3419.5,1694.5,771.5,658.5,2275.18,Yellow earths,,23.6,16.9,293,5.9,210,135,210,9228
52,M-SWC,MSWC0052,2008,MSWC01,WS0597,20.75 ,25.82 ,17.14 ,3195.3,1655.3,763.1,599.2,2057.34,Yellow earths,,21.8,5,103,7.8,210,135,210,9750
53,M-SWC,MSWC0053,2008,MSWC01,WS0597,19.89 ,25.00 ,16.31 ,3361.4,1676.4,770.5,638.2,2218.94,Yellow earths,,8,46,142,6.2,225,150,240,10467
54,M-SWC,MSWC0054,2008,MSWC01,WS0597,19.94 ,25.06 ,16.37 ,3469.7,1734.7,778.3,657.7,2280.33,Yellow earths,,25.9,27.6,100,4.8,180,120,180,6317
