Crop,NO,Year,Province,Province1,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil type1,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk,
W-NCP,WNCP0074,2009,河北省,Hebei,8653695,7.538132296,13.06692607,3.041634241,2215.5,889.8,134.9,1567.8,3180.81,褐土,Cinnamon soils,loamy sand,20.3,32.4,94,8.3,225,150,150,6868.5,
W-NCP,WNCP0075,2009,河北省,Hebei,8653695,7.356692913,12.88267717,2.856692913,2146.8,851.1,134.9,1552.9,3138,褐土,Cinnamon soils,loamy sand,13.5,42.6,98,8.3,225,150,150,6219,
W-NCP,WNCP0076,2009,河北省,Hebei,8653695,7.280933852,12.78560311,2.786770428,2149.4,823.7,121.4,1552.5,3119.55,褐土,Cinnamon soils,loamy sand,13.6,63.6,149,8.4,225,150,150,6354,
W-NCP,WNCP0077,2008,河北省,Hebei,8653789,9.53744856,15.57201646,4.458436214,2409,894.3,94.4,1635,3131.14,褐土,Cinnamon soils,loamy sand,17.6,12.8,144,8,225,150,150,8325,
W-NCP,WNCP0078,2008,河北省,Hebei,8653789,9.8504,15.8824,4.7604,2554,969.3,94.4,1691.3,3251.34,褐土,Cinnamon soils,loamy sand,21.5,6.4,133,7.6,180,150,120,6675,
W-NCP,WNCP0079,2009,河北省,Hebei,8653789,7.691566265,12.95461847,3.389959839,2143.7,848.3,119.3,1575.6,3164.93,褐土,Cinnamon soils,loamy sand,19.5,6.3,117,7.9,225,150,150,7530,
W-NCP,WNCP0080,2009,河北省,Hebei,8653789,8.160852713,13.43100775,3.863953488,2334,948.6,121.1,1635.4,3297.3,褐土,Cinnamon soils,loamy sand,14.2,11.2,133,8,225,150,150,4995,
W-NCP,WNCP0081,2009,河北省,Hebei,8653789,7.83201581,13.08695652,3.540711462,2210,874.6,119.8,1594.6,3205.28,褐土,Cinnamon soils,loamy sand,14.8,10.5,106,8.1,225,150,150,4395,
W-NCP,WNCP0082,2009,河北省,Hebei,8653789,7.788142292,13.02727273,3.515810277,2198.9,863.5,119.8,1587.8,3189.69,褐土,Cinnamon soils,loamy sand,15.8,21.9,158,7.8,225,150,150,6885,
W-NCP,WNCP0083,2009,河北省,Hebei,8653789,7.824015748,13.05984252,3.55,2215.8,870.4,119.8,1593.2,3200.88,褐土,Cinnamon soils,loamy sand,14.7,6,109,8,180,150,120,5190,
W-NCP,WNCP0084,2009,河北省,Hebei,8653789,7.758893281,12.99762846,3.486561265,2191.5,856.1,116.5,1584.1,3179.05,褐土,Cinnamon soils,loamy sand,21.5,6.4,133,7.6,180,150,120,7350,
W-NCP,WNCP0085,2009,河北省,Hebei,8653789,7.824015748,13.05984252,3.55,2215.8,870.4,119.8,1593.2,3200.88,褐土,Cinnamon soils,loamy sand,18.2,7.2,163,8,180,150,120,6990,
W-NCP,WNCP0086,2005,河北省,Hebei,8653697,8.417460317,14.88531746,2.938492063,2322.9,792.3,123.3,1652.8,3218.59,褐土,Cinnamon soils,loam,18.2,26.4,130,8.3,180,150,120,6090,
W-NCP,WNCP0087,2005,河北省,Hebei,8653697,8.43968254,14.90753968,2.949603175,2328.5,797.9,123.3,1654.9,3227.93,褐土,Cinnamon soils,loam,16.2,17.3,110,8.2,180,150,120,8175,
W-NCP,WNCP0088,2006,河北省,Hebei,8653697,9.508300395,15.75849802,4.028458498,2501,980,139.1,1491.3,3068.51,褐土,Cinnamon soils,loam,14.7,15.2,70,8.1,180,150,120,7488,
W-NCP,WNCP0089,2006,河北省,Hebei,8653697,9.352,15.596,3.8836,2433.4,942.4,139.1,1468.5,3019.76,褐土,Cinnamon soils,loamy sand,17.8,40.9,200,8.2,180,150,120,7356,
W-NCP,WNCP0090,2006,河北省,Hebei,8653697,9.421115538,15.66533865,3.937450199,2460.1,959.1,139.1,1479.9,3045.19,褐土,Cinnamon soils,loam,15.4,31.9,80,8.1,180,150,120,7354.5,
W-NCP,WNCP0091,2007,河北省,Hebei,8653697,8.32173913,14.44940711,3.229249012,2270.3,761.4,234.5,1513.4,3098.7,褐土,Cinnamon soils,loam,18.2,26.4,130,8.3,180,150,120,6537,
W-NCP,WNCP0092,2007,河北省,Hebei,8653697,8.336111111,14.5015873,3.225793651,2265.6,766.7,228.6,1518.3,3107.6,褐土,Cinnamon soils,loamy sand,22.5,23,110,7.9,180,150,120,7072.5,
W-NCP,WNCP0093,2007,河北省,Hebei,8653697,8.32173913,14.44940711,3.229249012,2270.3,761.4,234.5,1513.4,3098.7,褐土,Cinnamon soils,loamy sand,19.1,31.9,79,8,225,60,150,5592,
W-NCP,WNCP0094,2008,河北省,Hebei,8653697,8.9576,15.7792,3.376,2390.5,899.3,94.9,1718.5,3278.47,褐土,Cinnamon soils,loamy sand,20.8,41,90,7.9,180,150,120,6646.5,
W-NCP,WNCP0095,2008,河北省,Hebei,8653697,9.029083665,15.84780876,3.44501992,2417.4,916.2,94.9,1725.8,3297.46,褐土,Cinnamon soils,sandy clay loam,16.8,41,110,8.2,180,150,120,5688,
W-NCP,WNCP0096,2009,河北省,Hebei,8653697,6.709163347,12.61832669,1.856573705,1986.1,730.2,113.3,1435,2961.76,褐土,Cinnamon soils,loam,17.9,22,120,8,180,150,120,7323,
W-NCP,WNCP0097,2009,河北省,Hebei,8653697,6.7128,12.6296,1.8492,1980.3,734.4,113.3,1436,2964.41,褐土,Cinnamon soils,loamy sand,20.8,41,90,7.9,180,150,120,7239,
W-NCP,WNCP0098,2009,河北省,Hebei,8653697,6.6704,12.5788,1.8228,1969.7,723.8,113.3,1426.6,2946.7,褐土,Cinnamon soils,loamy sand,10.7,31.9,79,8.2,180,150,120,5679,
W-NCP,WNCP0099,2009,河北省,Hebei,8653697,6.7128,12.6296,1.8492,1980.3,734.4,113.3,1436,2964.41,褐土,Cinnamon soils,loam,15.1,21.8,100,8.2,180,150,120,5415,
W-NCP,WNCP0100,2009,河北省,Hebei,8653697,6.549193548,12.46693548,1.7,1926.3,700.4,113.3,1417.8,2920.79,褐土,Cinnamon soils,loam,16.2,17.9,82,8,180,150,120,5884.5,
W-NCP,WNCP0101,2009,河北省,Hebei,8653697,6.549193548,12.46693548,1.7,1926.3,700.4,113.3,1417.8,2920.79,褐土,Cinnamon soils,loam,14.7,14.7,70,8.1,180,150,120,7324.5,
W-NCP,WNCP0102,2009,河北省,Hebei,8653697,6.750793651,12.68174603,1.886111111,2003.3,737.4,113.3,1444.3,2978.04,褐土,Cinnamon soils,loam,21.6,21.2,100,8,225,60,150,8124,
W-NCP,WNCP0103,2007,河北省,Hebei,8653689,8.968163265,14.45877551,4.605714286,2308.8,817.2,169,1374.34,2877.13,潮土,Fluvo-aquic soils,loamy sand,14.8,20,80,8.2,180,150,120,4909.5,
W-NCP,WNCP0104,2008,河北省,Hebei,8653689,9.308230453,15.42098765,4.286419753,2366.9,889.6,97.2,1618.5,3127.39,潮土,Fluvo-aquic soils,loamy sand,17.3,70,82,7.9,180,150,120,7138.5,
W-NCP,WNCP0105,2008,河北省,Hebei,8653689,9.245228216,15.33983402,4.241493776,2333.1,875.8,97.2,1602,3099.18,潮土,Fluvo-aquic soils,loamy sand,15.3,73,74,8,180,150,120,6513,
W-NCP,WNCP0106,2008,河北省,Hebei,8653689,9.392653061,15.51102041,4.367346939,2406.2,908.9,97.2,1632.7,3160.01,潮土,Fluvo-aquic soils,loam,21.1,32,70,7.9,225,150,150,6829.5,
W-NCP,WNCP0107,2008,河北省,Hebei,8653689,9.477419355,15.59637097,4.444354839,2455.4,928.1,97.2,1649.6,3193.85,潮土,Fluvo-aquic soils,loamy sand,14.8,20,80,8.2,180,150,120,6789,
W-NCP,WNCP0108,2008,河北省,Hebei,8653689,9.382520325,15.49552846,4.357317073,2413.1,905.8,97.2,1632.1,3156.98,潮土,Fluvo-aquic soils,loamy sand,15,11,80,8.3,180,150,120,7132.5,
W-NCP,WNCP0109,2008,河北省,Hebei,8653689,9.446153846,15.56315789,4.413765182,2438.2,920.9,97.2,1642.1,3180.2,潮土,Fluvo-aquic soils,loamy sand,13.7,19,40,8.3,180,150,120,7119,
W-NCP,WNCP0110,2009,河北省,Hebei,8653689,7.601185771,12.79762846,3.422924901,2156,843.6,91.6,1502.1,3064.82,潮土,Fluvo-aquic soils,loamy sand,22.1,27.4,80,8.1,180,150,120,7003.5,
W-NCP,WNCP0111,2009,河北省,Hebei,8653689,6.841975309,12.04074074,2.69218107,1895.5,683.1,90.7,1422.7,2864.98,潮土,Fluvo-aquic soils,loamy sand,17.2,26,140,8.1,180,150,120,6774,
W-NCP,WNCP0112,2009,河北省,Hebei,8653689,7.528685259,12.73386454,3.341434263,2122.6,830.2,91.1,1493,3044.65,潮土,Fluvo-aquic soils,loamy sand,24.1,34.7,90,8.1,225,150,150,7179,
W-NCP,WNCP0113,2009,河北省,Hebei,8653689,7.601185771,12.79762846,3.422924901,2156,843.6,91.6,1502.1,3064.82,潮土,Fluvo-aquic soils,loamy sand,24.6,34.3,70,8.1,225,150,150,7411.5,
W-NCP,WNCP0114,2009,河北省,Hebei,8653689,7.528685259,12.73386454,3.341434263,2122.6,830.2,91.1,1493,3044.65,潮土,Fluvo-aquic soils,loamy sand,17.8,25.7,90,8.1,180,150,120,7477.5,
W-NCP,WNCP0115,2009,河北省,Hebei,8653689,7.637007874,12.82519685,3.466535433,2172.7,850.3,91.6,1502.1,3069.39,潮土,Fluvo-aquic soils,loam,27.4,40.8,100,7.9,225,150,150,7224,
W-NCP,WNCP0116,2009,河北省,Hebei,8653689,7.674901961,12.86588235,3.5,2190,857.6,91.6,1511,3085.07,潮土,Fluvo-aquic soils,loamy sand,15.3,30,90,8.1,180,150,120,6861,
W-NCP,WNCP0117,2009,河北省,Hebei,8653689,7.674901961,12.86588235,3.5,2190,857.6,91.6,1511,3085.07,潮土,Fluvo-aquic soils,loamy sand,13.1,26.5,80,8.1,180,150,120,7009.5,
W-NCP,WNCP0118,2009,河北省,Hebei,8653689,7.674901961,12.86588235,3.5,2190,857.6,91.6,1511,3085.07,潮土,Fluvo-aquic soils,loamy sand,16.6,26.9,80,8.1,180,150,120,7215,
W-NCP,WNCP0119,2009,河北省,Hebei,8653689,6.508368201,11.72008368,2.363598326,1788.4,616,82.8,1383.2,2764.44,潮土,Fluvo-aquic soils,loamy sand,16.2,29.3,80,8.1,180,150,120,7282.5,
W-NCP,WNCP0120,2007,河北省,Hebei,8653689,9.043373494,14.54698795,4.67751004,2363.4,831.8,169,1396.44,2920.47,潮土,Fluvo-aquic soils,loam,21.1,32,70,7.9,225,150,150,6379.5,
W-NCP,WNCP0121,2007,河北省,Hebei,8653689,8.987804878,14.49065041,4.618699187,2322.6,821,169,1383.74,2892.44,潮土,Fluvo-aquic soils,loamy sand,13.7,19,40,8.3,180,150,120,7219.5,
W-NCP,WNCP0122,2007,河北省,Hebei,8654701,9.011983471,14.55247934,4.51446281,2289.7,814.5,165.4,1658.5,3208.52,潮土,Fluvo-aquic soils,loam,16.2,30.9,80,8.7,225,120,90,7080,
W-NCP,WNCP0123,2007,河北省,Hebei,8654701,8.964,14.438,4.52,2349.8,794.6,168.7,1676.3,3237.22,潮土,Fluvo-aquic soils,loamy sand,12.3,24.6,70,8.8,225,120,90,7635,
