Crop,NO,Year,Province,Province1,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil type1,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk,,
LR-SC,LRSC0063,2006,福建省,Fujian,8658918,26.02641509,32.01886792,22.08207547,2758.8,1698.8,324.8,678.1,1718.1,水稻土,Paddy soil,loamy sand,27.9,34.1,28,5.4,165,60,105,6574.5,,
LR-SC,LRSC0064,2006,福建省,Fujian,8658918,25.69035088,31.85087719,21.64649123,2928.7,1788.7,344.6,736.5,1840.19,水稻土,Paddy soil,clay,20.5,41.4,55,5.6,165,60,105,7999.5,,
LR-SC,LRSC0065,2006,福建省,Fujian,8658918,25.50619469,31.74513274,21.39734513,2882.2,1752.2,324.8,740.7,1828.89,水稻土,Paddy soil,clay,32.8,34.8,96,4.8,165,60,105,8424,,
LR-SC,LRSC0066,2006,福建省,Fujian,8658918,25.50695652,31.76347826,21.37565217,2933.3,1783.3,324.8,755.5,1862.51,水稻土,Paddy soil,clay,30.2,50.3,46,4.6,165,60,105,10140,,
LR-SC,LRSC0067,2006,福建省,Fujian,8658918,25.67962963,31.83333333,21.65,2773.4,1693.4,324.8,696.4,1741.39,水稻土,Paddy soil,clay,37.5,39.1,44,4.8,165,60,105,9594,,
LR-SC,LRSC0068,2008,福建省,Fujian,8658917,25.814583,31.628125,22.0625,2478.2,1518.2,582.2,614.8,1576.49,水稻土,Paddy soil,silty clay loam,36.7,7.6,40,5.2,165,75,120,8299.5,,
LR-SC,LRSC0069,2008,福建省,Fujian,8658917,25.560784,31.408824,21.786275,2607.2,1587.2,545.5,659.3,1664.98,水稻土,Paddy soil,silty clay loam,42.3,8.2,27,5.5,165,75,120,8283,,
LR-SC,LRSC0070,2008,福建省,Fujian,8658917,25.814583,31.628125,22.0625,2478.2,1518.2,582.2,614.8,1576.49,水稻土,Paddy soil,silty clay loam,36.3,45.9,112,5.2,165,75,120,8938.5,,
LR-SC,LRSC0071,2008,福建省,Fujian,8658917,25.814583,31.628125,22.0625,2478.2,1518.2,582.2,614.8,1576.49,水稻土,Paddy soil,sandy loam,23.1,58.8,190,5.5,165,75,120,8434.5,,
LR-SC,LRSC0072,2008,福建省,Fujian,8658917,25.814583,31.628125,22.0625,2478.2,1518.2,582.2,614.8,1576.49,水稻土,Paddy soil,sandy loam,31.1,36.6,30,5.2,165,75,120,9705,,
LR-SC,LRSC0073,2008,福建省,Fujian,8658917,25.647,31.465,21.9,2564.7,1564.7,545.5,647.1,1638.64,水稻土,Paddy soil,silty clay loam,29.6,19.9,32,5.5,165,75,120,8515.5,,
LR-SC,LRSC0074,2008,福建省,Fujian,8658917,25.704762,31.526667,21.950476,2699,1649,590.4,679.8,1728.3,水稻土,Paddy soil,silty clay loam,42.2,16.4,131,4.7,165,75,120,8235,,
LR-SC,LRSC0075,2008,福建省,Fujian,8658917,25.704762,31.526667,21.950476,2699,1649,590.4,679.8,1728.3,水稻土,Paddy soil,sandy loam,37.3,18.9,78,4.8,165,75,120,8269.5,,
LR-SC,LRSC0076,2008,福建省,Fujian,8658917,25.388119,31.208911,21.668317,2564.2,1554.2,547,630.7,1597.45,水稻土,Paddy soil,clay,21.6,52.2,120,5.3,165,75,120,6570,,
LR-SC,LRSC0077,2008,福建省,Fujian,8658917,25.388119,31.208911,21.668317,2564.2,1554.2,547,630.7,1597.45,水稻土,Paddy soil,clay,20.2,9.6,36,4.8,165,75,120,8068.5,,
LR-SC,LRSC0078,2008,福建省,Fujian,8658818,25.689524,31.753333,21.6,2697.4,1647.4,479.9,659.7,1738.66,水稻土,Paddy soil,silty clay loam,32.9,18.9,108,4.6,118.5,33,82.5,8670,,
LR-SC,LRSC0079,2007,福建省,Fujian,8658826,25.660748,31.742991,21.690654,2745.7,1675.7,306.4,531.7,1490.56,水稻土,Paddy soil,silty clay loam,43.5,22.5,108,5,165,60,105,9022.5,,
LR-SC,LRSC0080,2007,福建省,Fujian,8658826,27.121591,33.090909,23.278409,2386.7,1506.7,318.7,429.6,1264.86,水稻土,Paddy soil,silty clay loam,41,12.3,67,5,165,60,105,6900,,
LR-SC,LRSC0081,2007,福建省,Fujian,8658826,25.9,31.935922,21.968932,2667.7,1637.7,306.4,512.2,1445.17,水稻土,Paddy soil,silty clay loam,26,21.6,61,4.9,165,60,105,9532.5,,
LR-SC,LRSC0082,2008,福建省,Fujian,8658826,27.278218,33.4,23.119802,2755.1,1745.1,397.8,570.8,1546.13,水稻土,Paddy soil,silty clay loam,34.2,40.7,105,5,150,60,135,8988,,
LR-SC,LRSC0083,2008,福建省,Fujian,8658826,26.945872,33.033028,22.836697,2937.1,1847.1,400.1,601.6,1626.57,水稻土,Paddy soil,loam,36.5,6.2,49,4.5,150,60,135,8001,,
LR-SC,LRSC0084,2008,福建省,Fujian,8658826,27.697938,33.931959,23.434021,2686.7,1716.7,427.6,568.4,1538.57,水稻土,Paddy soil,silty clay loam,34.6,10.3,87,5,180,45,135,8472,,
LR-SC,LRSC0085,2008,福建省,Fujian,8658826,27.083495,33.162136,22.952427,2789.6,1759.6,384.7,567.1,1542.05,水稻土,Paddy soil,silty clay loam,47.8,16.3,133,4.8,150,60,135,8301,,
LR-SC,LRSC0086,2009,福建省,Fujian,8658826,26.214019,32.675701,21.936449,2804.9,1734.9,284.1,703.2,1747.31,水稻土,Paddy soil,silty clay loam,31.6,11.5,143,4.9,180,45,135,7600.5,,
LR-SC,LRSC0087,2009,福建省,Fujian,8658826,25.978448,32.459483,21.632759,3013.5,1853.5,293.3,774.3,1907.21,水稻土,Paddy soil,silty clay loam,36.1,17.5,67,4.9,180,45,135,9232.5,,
LR-SC,LRSC0088,2009,福建省,Fujian,8658826,27.679381,33.882474,23.548454,2684.9,1714.9,298.5,650.7,1673.27,水稻土,Paddy soil,clay loam,27.3,5.5,37,4.8,180,45,135,7389,,
LR-SC,LRSC0089,2009,福建省,Fujian,8658826,26.196552,32.661207,21.874138,3038.8,1878.8,301.5,778.7,1925.09,水稻土,Paddy soil,silty clay loam,20.9,5.7,20,4.8,180,45,135,8472,,
LR-SC,LRSC0090,2007,福建省,Fujian,8658826,25.89292,32.030088,21.89469,2925.9,1795.9,318.7,581.5,1615.62,水稻土,Paddy soil,silty clay loam,46.7,61.5,72,5,165,60,105,8436,,
LR-SC,LRSC0091,2007,福建省,Fujian,8658826,25.767273,31.883636,21.802727,2834.4,1734.4,318.7,552.6,1546.52,水稻土,Paddy soil,silty clay loam,68.5,44.3,201,5.1,165,60,105,10071,,
