Crop,NO,Year,Province,Province1,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil type1,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
W-YZB,WYZB0039,2009,安徽省,Anhui,8658224,9.93196347,14.1347032,6.573515982,2190,680.3,473.5,1078.9,2470.3,水稻土,Paddy soils,clay,18.2,22,96,7.1,210,90,135,7005
W-YZB,WYZB0040,2009,安徽省,Anhui,8658224,8.964851485,13.17128713,5.654455446,1825.8,486.1,444.7,977.5,2200.72,水稻土,Paddy soils,clay,17.35,21,94,6.2,210,90,135,6330
W-YZB,WYZB0041,2009,安徽省,Anhui,8658224,9.185436893,13.40825243,5.855339806,1907.1,527.4,444.7,1003.7,2245.9,水稻土,Paddy soils,clay,19.93,17.2,113,7.3,210,90,135,6630
W-YZB,WYZB0042,2008,安徽省,Anhui,8658224,12.15764192,16.67729258,8.490829694,2798,971.4,278.3,1229,2733.97,砂姜黑土,Lime concretion fluvo-aquic soils,clay loam,13.7,11.5,126,5.9,210,75,60,7605
W-YZB,WYZB0043,2009,安徽省,Anhui,8658224,11.05909091,15.28181818,7.658264463,2691.2,951.5,553.8,1221,2832.24,砂姜黑土,Lime concretion fluvo-aquic soils,clay loam,19.9,12.1,122,6.4,225,90,75,7530
W-YZB,WYZB0044,2009,安徽省,Anhui,8658224,11.1285124,15.36198347,7.711570248,2708,968.3,553.5,1228.8,2856.94,砂姜黑土,Lime concretion fluvo-aquic soils,clay loam,25.6,25.8,67,5.6,225,90,75,7020
W-YZB,WYZB0045,2008,安徽省,Anhui,8658224,12.20391304,16.73043478,8.52826087,2820.8,984.2,278.3,1237.9,2750.1,砂姜黑土,Lime concretion fluvo-aquic soils,clay loam,11.67,4.8,86,5.5,210,75,60,7605
W-YZB,WYZB0046,2008,安徽省,Anhui,8658224,12.23913043,16.76391304,8.57,2828.9,992.3,278.3,1236.6,2758.4,潮土,Fluvo-aquic soils,sandy loam,12.4,9.6,81,6.6,225,75,75,6750
W-YZB,WYZB0047,2009,安徽省,Anhui,8658224,12.17969349,16.40651341,8.751340996,3193.8,1264.1,554.3,1341.1,3154.73,水稻土,Paddy soils,silty clay loam,23.4,18.2,88,6.1,225,90,75,6795
W-YZB,WYZB0048,2007,安徽省,Anhui,8658224,11.67850877,15.99122807,8.227192982,2693.2,965,455.1,1233.7,2795.2,水稻土,Paddy soils,clay loam,16.9,19.9,121,5.9,225,75,97.5,6975
W-YZB,WYZB0049,2008,安徽省,Anhui,8658224,12.15764192,16.67729258,8.490829694,2798,971.4,278.3,1229,2733.97,砂姜黑土,Lime concretion fluvo-aquic soils,clay loam,18.8,20.4,131,6.4,225,75,75,6282
W-YZB,WYZB0050,2008,安徽省,Anhui,8658224,12.17554585,16.68864629,8.517467249,2802.1,975.5,278.3,1226.4,2734.54,水稻土,Paddy soils,clay loam,22.1,20.4,132,6.5,225,75,75,6900
W-YZB,WYZB0051,2009,安徽省,Anhui,8658224,10.68547009,14.92393162,7.286752137,2515.3,855.6,481.8,1183.6,2715.19,水稻土,Paddy soils,clay loam,22.5,15.8,138,6.4,225,90,75,7279.5
W-YZB,WYZB0052,2008,安徽省,Anhui,8658224,12.15764192,16.67729258,8.490829694,2798,971.4,278.3,1229,2733.97,水稻土,Paddy soils,clay loam,27.97,21.3,60,5.1,210,75,60,7300.5
