Sort,Crop,NO,Year,Province,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
65,ER-SC,ERSC0065,2006,ERSC03,medium_maturity,24.71208791,28.88021978,21.85274725,2248.8,1338.8,811.6,365.9,1245.88,Paddy soils,,23.8 ,43.6 ,109.0 ,6.3 ,135 ,68 ,104 ,3825 ,4625 
66,ER-SC,ERSC0066,2007,ERSC03,medium_maturity,24.77032967,29.38681319,21.64175824,2254.1,1344.3,802,478.2,1432.16,Paddy soils,,34.7 ,41.8 ,169.0 ,5.1 ,165 ,60 ,150 ,5370 ,5775 
67,ER-SC,ERSC0067,2006,ERSC03,late_maturity,24.71208791,28.88021978,21.85274725,2248.8,1338.8,811.6,365.9,1245.88,Paddy soils,,23.8,20.1,44,5.6,135,67.5,103.5,3801,7134
68,ER-SC,ERSC0068,2007,ERSC03,medium_maturity,24.77032967,29.38681319,21.64175824,2254.1,1344.3,802,478.2,1432.16,Paddy soils,,23.9 ,20.6 ,45.0 ,5.6 ,165 ,60 ,150 ,5655 ,6285 
69,ER-SC,ERSC0069,2006,ERSC03,late_maturity,24.71208791,28.88021978,21.85274725,2248.8,1338.8,811.6,365.9,1245.88,Paddy soils,,29.9,32.4,40,5.6,135,67.5,103.5,3426,5625
70,ER-SC,ERSC0070,2007,ERSC03,medium_maturity,24.77032967,29.38681319,21.64175824,2254.1,1344.3,802,478.2,1432.16,Paddy soils,,29.9 ,32.7 ,41.0 ,5.6 ,165 ,60 ,150 ,5535 ,7980 
71,ER-SC,ERSC0071,2010,ERSC03,medium_maturity,26.565,30.543,23.672,2656.5,1656.5,1034.2,517.3,1569.75,Paddy soils,,31.4 ,7.1 ,68.0 ,5.2 ,146 ,42 ,117 ,5050 ,6950 
72,ER-SC,ERSC0072,2008,ERSC03,late_maturity,27.43125,31.98229167,24.44479167,2633.4,1673.4,1015.7,498.6,1509.52,Paddy soils,,43.3,29.4,97,5.2,124.5,36,117,5766.5,8965
73,ER-SC,ERSC0073,2010,ERSC03,late_maturity,28.11341463,32.4097561,25.14634146,2305.3,1485.3,648.6,554,1496.39,Paddy soils,,34.7,9.1,95,5.7,165,45,117,5116.5,7867
74,ER-SC,ERSC0074,2008,ERSC03,medium_maturity,27.41734694,31.96122449,24.42857143,2686.9,1706.9,1015.7,510.6,1543.22,Paddy soils,,54.1 ,72.2 ,70.0 ,5.3 ,173 ,36 ,117 ,4765 ,7620 
75,ER-SC,ERSC0075,2006,ERSC03,medium_maturity,24.80761905,29.32952381,21.60952381,2604.8,1554.8,1167.2,332.454,1270.1,Paddy soils,,30.7 ,15.8 ,66.0 ,6.5 ,158 ,30 ,75 ,6375 ,8973 
