Sort,Crop,NO,Year,Province,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
721,SR-YZB,SRYZB0721,2007,SRYZB05,early_maturity,27.2 ,32.2 ,23.5 ,3095.7 ,1955.7 ,349.7 ,739.6 ,2019.3 ,Paddy soils,loamy sand,30.5 ,21.5 ,78.0 ,5.5 ,165 ,75 ,75 ,6045 ,7992 
722,SR-YZB,SRYZB0722,2007,SRYZB05,medium_maturity,26.0 ,30.7 ,22.6 ,2961.1 ,1821.1 ,440.3 ,649.0 ,1870.6 ,Paddy soils,clay loam,31.6 ,23.4 ,99.0 ,6.1 ,165 ,75 ,75 ,5745 ,8292 
723,SR-YZB,SRYZB0723,2007,SRYZB05,medium_maturity,26.9 ,31.8 ,23.4 ,3202.7 ,2012.7 ,406.1 ,743.3 ,2056.9 ,Paddy soils,loamy sand,39.8 ,25.7 ,94.0 ,6.0 ,165 ,75 ,75 ,6879 ,9380 
724,SR-YZB,SRYZB0724,2008,SRYZB05,late_maturity,25.4 ,31.2 ,21.8 ,3093.7 ,1873.7 ,757.8 ,637.2 ,1897.1 ,Paddy soils,loam,46.9 ,19.4 ,152.0 ,5.4 ,165 ,75 ,75 ,5865 ,6945 
725,SR-YZB,SRYZB0725,2009,SRYZB05,medium_maturity,25.7 ,31.8 ,22.0 ,3037.1 ,1857.1 ,626.9 ,729.1 ,2016.3 ,Paddy soils,loam,71.6 ,12.5 ,116.0 ,5.3 ,165 ,75 ,75 ,7200 ,8745 
726,SR-YZB,SRYZB0726,2009,SRYZB05,medium_maturity,25.8 ,31.8 ,22.1 ,2966.0 ,1816.0 ,616.4 ,702.8 ,1953.1 ,Paddy soils,clay loam,70.1 ,29.0 ,67.0 ,5.1 ,165 ,75 ,75 ,6930 ,8430 
727,SR-YZB,SRYZB0727,2010,SRYZB05,early_maturity,25.5 ,31.3 ,22.0 ,3135.4 ,1905.4 ,542.1 ,740.7 ,2032.0 ,Paddy soils,loam,39.5 ,22.0 ,164.0 ,5.0 ,165 ,60 ,72 ,3726 ,6677 
728,SR-YZB,SRYZB0728,2010,SRYZB05,early_maturity,25.3 ,30.9 ,21.9 ,3317.9 ,2007.9 ,589.8 ,737.9 ,2093.0 ,Purplish soils,sandy loam,46.6 ,18.1 ,167.0 ,5.7 ,150 ,63 ,68 ,4403 ,7059 
729,SR-YZB,SRYZB0729,2010,SRYZB05,medium_maturity,25.3 ,30.9 ,21.8 ,3335.7 ,2015.7 ,589.8 ,748.7 ,2114.4 ,Paddy soils,clay loam,47.1 ,45.4 ,103.0 ,5.3 ,135 ,72 ,68 ,4571 ,5765 
730,SR-YZB,SRYZB0730,2010,SRYZB05,early_maturity,25.3 ,31.0 ,21.8 ,3363.2 ,2033.2 ,589.8 ,759.7 ,2143.4 ,Paddy soils,clay loam,42.2 ,45.6 ,108.0 ,5.4 ,150 ,63 ,68 ,4761 ,7436 
731,SR-YZB,SRYZB0731,2010,SRYZB05,medium_maturity,25.2 ,30.9 ,21.8 ,3353.8 ,2023.8 ,589.8 ,759.5 ,2135.8 ,Paddy soils,loam,36.2 ,13.4 ,127.0 ,5.4 ,150 ,36 ,75 ,5156 ,7871 
732,SR-YZB,SRYZB0732,2008,SRYZB05,medium_maturity,25.4 ,31.2 ,21.9 ,3074.1 ,1864.1 ,744.4 ,641.5 ,1895.3 ,Paddy soils,sandy loam,46.5 ,12.8 ,124.0 ,5.0 ,165 ,75 ,75 ,6165 ,8790 
733,SR-YZB,SRYZB0733,2009,SRYZB05,medium_maturity,25.6 ,31.6 ,22.0 ,3075.1 ,1875.1 ,639.5 ,729.1 ,2030.8 ,Paddy soils,clay,67.8 ,78.4 ,121.0 ,5.1 ,165 ,75 ,75 ,6000 ,7230 
734,SR-YZB,SRYZB0734,2009,SRYZB05,early_maturity,25.6 ,31.7 ,22.0 ,3026.5 ,1846.5 ,637.7 ,721.2 ,2005.1 ,Purplish soils,loam,38.2 ,69.1 ,76.0 ,4.1 ,165 ,75 ,75 ,5970 ,7395 
735,SR-YZB,SRYZB0735,2009,SRYZB05,early_maturity,25.6 ,31.7 ,22.0 ,3026.5 ,1846.5 ,637.7 ,721.2 ,2005.1 ,Paddy soils,sandy loam,44.6 ,34.2 ,85.0 ,4.2 ,165 ,75 ,75 ,7020 ,8130 
736,SR-YZB,SRYZB0736,2009,SRYZB05,medium_maturity,25.6 ,31.6 ,21.9 ,2964.4 ,1804.4 ,639.0 ,705.7 ,1969.3 ,Paddy soils,clay loam,62.3 ,31.7 ,72.0 ,5.0 ,165 ,75 ,75 ,6345 ,8745 
737,SR-YZB,SRYZB0737,2010,SRYZB05,medium_maturity,25.1 ,30.8 ,21.6 ,3435.3 ,2065.3 ,589.8 ,785.0 ,2198.6 ,Paddy soils,sandy loam,32.6 ,10.8 ,101.0 ,5.2 ,150 ,36 ,75 ,6375 ,7785 
738,SR-YZB,SRYZB0738,2008,SRYZB05,early_maturity,26.6 ,31.4 ,23.3 ,3221.5 ,2011.5 ,388.3 ,660.0 ,1897.9 ,Paddy soils,clay,38.8 ,37.0 ,77.0 ,5.9 ,165 ,75 ,75 ,5214 ,7500 
739,SR-YZB,SRYZB0739,2010,SRYZB05,early_maturity,27.0 ,31.9 ,23.7 ,2972.4 ,1872.4 ,583.7 ,627.3 ,1803.9 ,Paddy soils,sandy loam,35.1 ,16.5 ,29.0 ,5.6 ,141 ,36 ,74 ,4670 ,7479 
740,SR-YZB,SRYZB0740,2009,SRYZB05,early_maturity,28.0 ,32.0 ,25.0 ,3163.0 ,2033.0 ,422.2 ,815.8 ,2101.1 ,Paddy soils,clay loam,44.9 ,12.9 ,131.0 ,7.9 ,165 ,75 ,75 ,6915 ,9405 
741,SR-YZB,SRYZB0741,2007,SRYZB05,early_maturity,27.0 ,31.9 ,23.6 ,2670.0 ,1680.0 ,329.4 ,662.6 ,1769.9 ,Paddy soils,sandy loam,32.5 ,19.3 ,77.0 ,5.7 ,195 ,90 ,150 ,5631 ,8459 
742,SR-YZB,SRYZB0742,2010,SRYZB05,early_maturity,26.9 ,31.7 ,23.6 ,3039.4 ,1909.4 ,613.8 ,633.0 ,1833.7 ,Paddy soils,clay loam,23.5 ,18.8 ,122.0 ,4.3 ,135 ,72 ,68 ,4535 ,7070 
743,SR-YZB,SRYZB0743,2010,SRYZB05,early_maturity,27.3 ,32.1 ,24.0 ,3085.9 ,1955.9 ,485.9 ,655.8 ,1855.3 ,Paddy soils,clay loam,31.0 ,19.1 ,98.0 ,5.4 ,135 ,72 ,68 ,4469 ,6537 
744,SR-YZB,SRYZB0744,2007,SRYZB05,late_maturity,27.1 ,32.0 ,23.7 ,2599.9 ,1639.9 ,329.3 ,653.6 ,1737.5 ,Paddy soils,sandy loam,31.4 ,14.8 ,83.0 ,5.7 ,165 ,75 ,75 ,6009 ,9188 
745,SR-YZB,SRYZB0745,2006,SRYZB05,early_maturity,26.9 ,31.7 ,23.5 ,2584.8 ,1624.8 ,453.0 ,570.7 ,1600.9 ,Paddy soils,sandy loam,29.8 ,14.9 ,79.0 ,5.6 ,165 ,75 ,75 ,5577 ,9023 
746,SR-YZB,SRYZB0746,2006,SRYZB05,late_maturity,27.1 ,32.0 ,23.7 ,2599.9 ,1639.9 ,329.3 ,653.6 ,1737.5 ,Paddy soils,sandy loam,28.6 ,18.1 ,81.0 ,5.8 ,195 ,90 ,225 ,5417 ,9375 
747,SR-YZB,SRYZB0747,2009,SRYZB05,medium_maturity,26.5 ,32.2 ,22.5 ,3079.3 ,1919.3 ,434.2 ,822.0 ,2086.7 ,Paddy soils,silty clay loam,24.6 ,12.6 ,108.0 ,5.8 ,165 ,75 ,75 ,4923 ,8229 
748,SR-YZB,SRYZB0748,2010,SRYZB05,early_maturity,26.3 ,31.4 ,22.6 ,3235.9 ,2005.9 ,476.8 ,744.6 ,2051.9 ,Paddy soils,silt loam,31.0 ,7.0 ,103.0 ,5.0 ,150 ,63 ,68 ,4002 ,6524 
749,SR-YZB,SRYZB0749,2010,SRYZB05,early_maturity,26.3 ,31.4 ,22.7 ,3209.5 ,1989.5 ,502.9 ,736.7 ,2030.0 ,Paddy soils,silt loam,26.8 ,5.8 ,86.0 ,6.2 ,150 ,63 ,68 ,3594 ,6744 
750,SR-YZB,SRYZB0750,2007,SRYZB05,medium_maturity,26.8 ,31.6 ,22.8 ,3190.9 ,2000.9 ,455.9 ,647.2 ,1894.2 ,Paddy soils,sandy loam,34.0 ,15.2 ,76.0 ,6.1 ,165 ,75 ,75 ,6815 ,8826 
751,SR-YZB,SRYZB0751,2008,SRYZB05,early_maturity,26.6 ,31.3 ,22.7 ,2819.0 ,1759.0 ,509.9 ,651.2 ,1815.9 ,Paddy soils,sandy loam,22.7 ,4.5 ,60.0 ,5.0 ,165 ,75 ,75 ,6129 ,8273 
752,SR-YZB,SRYZB0752,2009,SRYZB05,late_maturity,26.8 ,32.5 ,22.7 ,3055.7 ,1915.7 ,434.6 ,825.6 ,2091.6 ,Paddy soils,silty clay loam,36.8 ,12.6 ,153.0 ,6.5 ,165 ,75 ,75 ,4887 ,8292 
753,SR-YZB,SRYZB0753,2009,SRYZB05,early_maturity,26.1 ,31.5 ,22.3 ,3081.9 ,1901.9 ,600.3 ,790.2 ,2116.2 ,Paddy soils,clay,46.3 ,17.3 ,124.0 ,6.5 ,165 ,75 ,75 ,6107 ,8157 
754,SR-YZB,SRYZB0754,2009,SRYZB05,medium_maturity,26.5 ,32.1 ,22.5 ,3230.3 ,2010.3 ,549.7 ,845.2 ,2207.8 ,Paddy soils,silty clay loam,58.9 ,8.6 ,201.0 ,6.9 ,165 ,75 ,75 ,4928 ,8048 
755,SR-YZB,SRYZB0755,2008,SRYZB05,late_maturity,26.5 ,31.5 ,22.6 ,3157.2 ,1967.2 ,433.9 ,743.1 ,2019.9 ,Paddy soils,sandy loam,19.1 ,12.3 ,120.0 ,6.3 ,165 ,75 ,75 ,6642 ,8517 
756,SR-YZB,SRYZB0756,2008,SRYZB05,early_maturity,27.7 ,32.5 ,24.2 ,3045.6 ,1945.6 ,524.7 ,634.5 ,1810.9 ,Paddy soils,sandy loam,52.8 ,31.4 ,48.0 ,4.9 ,165 ,75 ,75 ,8421 ,9504 
757,SR-YZB,SRYZB0757,2008,SRYZB05,early_maturity,28.7 ,34.2 ,25.1 ,2006.8 ,1306.8 ,167.9 ,509.6 ,1283.0 ,Paddy soils,clay,42.6 ,24.7 ,57.0 ,5.3 ,165 ,75 ,75 ,6459 ,7950 
758,SR-YZB,SRYZB0758,2008,SRYZB05,early_maturity,26.8 ,32.2 ,23.3 ,2656.8 ,1666.8 ,211.8 ,664.0 ,1671.2 ,Paddy soils,clay loam,48.3 ,17.8 ,138.0 ,4.8 ,165 ,75 ,75 ,5643 ,8736 
759,SR-YZB,SRYZB0759,2009,SRYZB05,early_maturity,28.4 ,33.9 ,24.9 ,1817.1 ,1177.1 ,108.3 ,407.0 ,1079.0 ,Paddy soils,clay loam,45.9 ,27.1 ,116.0 ,4.6 ,165 ,75 ,75 ,5727 ,8022 
760,SR-YZB,SRYZB0760,2006,SRYZB05,medium_maturity,26.9 ,32.1 ,23.2 ,2692.5 ,1692.5 ,810.4 ,638.0 ,1723.9 ,Paddy soils,clay loam,37.9 ,4.6 ,125.0 ,7.0 ,165 ,75 ,75 ,5000 ,7046 
761,SR-YZB,SRYZB0761,2008,SRYZB05,early_maturity,27.9 ,33.2 ,24.1 ,2704.5 ,1734.5 ,299.3 ,569.3 ,1592.1 ,Paddy soils,clay loam,46.8 ,6.9 ,60.0 ,5.5 ,165 ,75 ,75 ,6270 ,9210 
762,SR-YZB,SRYZB0762,2008,SRYZB05,medium_maturity,27.3 ,32.7 ,23.5 ,2782.3 ,1762.3 ,242.6 ,619.3 ,1670.1 ,Paddy soils,clay loam,72.7 ,9.8 ,80.0 ,6.3 ,165 ,75 ,75 ,6375 ,9375 
763,SR-YZB,SRYZB0763,2008,SRYZB05,medium_maturity,28.0 ,33.4 ,24.1 ,2519.7 ,1619.7 ,258.4 ,552.4 ,1508.8 ,Paddy soils,loamy sand,23.1 ,5.0 ,40.0 ,6.0 ,165 ,75 ,75 ,6240 ,9165 
764,SR-YZB,SRYZB0764,2008,SRYZB05,late_maturity,28.1 ,33.6 ,24.2 ,2445.5 ,1575.5 ,207.8 ,552.4 ,1487.0 ,Paddy soils,sandy loam,32.1 ,10.2 ,52.0 ,5.6 ,165 ,75 ,75 ,5460 ,8025 
765,SR-YZB,SRYZB0765,2009,SRYZB05,late_maturity,28.1 ,33.5 ,24.4 ,3062.5 ,1972.5 ,422.3 ,711.1 ,1909.9 ,Paddy soils,clay loam,50.1 ,16.4 ,30.0 ,6.2 ,165 ,75 ,75 ,6075 ,9764 
766,SR-YZB,SRYZB0766,2007,SRYZB05,medium_maturity,27.9 ,33.0 ,24.2 ,2897.2 ,1857.2 ,681.2 ,623.2 ,1753.8 ,Paddy soils,clay loam,65.6 ,16.7 ,298.0 ,6.0 ,165 ,75 ,75 ,5145 ,9078 
767,SR-YZB,SRYZB0767,2005,SRYZB05,early_maturity,26.7 ,31.0 ,23.4 ,3198.7 ,1998.7 ,383.0 ,659.7 ,1897.0 ,Paddy soils,silty clay loam,32.3 ,28.5 ,93.0 ,7.8 ,165 ,60 ,135 ,6039 ,8661 
768,SR-YZB,SRYZB0768,2007,SRYZB05,early_maturity,26.9 ,31.4 ,24.2 ,3017.6 ,1897.6 ,465.0 ,708.4 ,1918.3 ,Paddy soils,sandy loam,48.0 ,34.0 ,144.0 ,6.8 ,150 ,60 ,135 ,6837 ,9708 
