Sort,Crop,NO,Year,Province,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
1326,M-NCP,MNCP1326,2005,MNCP03,medium_maturity,26.2 ,31.7 ,21.5 ,2460.7 ,1520.7 ,620.0 ,688.3 ,1726.5 ,Cinnamon soils,loam,15.4 ,32.4 ,167.0 ,7.6 ,195 ,60 ,120 ,5654 ,8121 
1327,M-NCP,MNCP1327,2008,MNCP03,medium_maturity,25.7 ,30.9 ,21.5 ,2412.7 ,1472.7 ,294.1 ,560.3 ,1517.7 ,Cinnamon soils,loam,19.7 ,28.5 ,159.0 ,7.5 ,195 ,60 ,120 ,6162 ,9518 
1328,M-NCP,MNCP1328,2005,MNCP03,medium_maturity,26.2 ,31.7 ,21.5 ,2460.7 ,1520.7 ,620.0 ,688.3 ,1726.5 ,Cinnamon soils,loamy sand,16.2 ,29.7 ,160.0 ,7.6 ,225 ,45 ,45 ,5123 ,7898 
1329,M-NCP,MNCP1329,2008,MNCP03,medium_maturity,25.7 ,30.9 ,21.5 ,2412.7 ,1472.7 ,294.1 ,560.3 ,1517.7 ,Cinnamon soils,silty clay loam,17.5 ,16.3 ,258.0 ,7.6 ,195 ,75 ,0 ,5280 ,7611 
1330,M-NCP,MNCP1330,2005,MNCP03,medium_maturity,26.2 ,31.7 ,21.5 ,2460.7 ,1520.7 ,620.0 ,688.3 ,1726.5 ,Cinnamon soils,loam,10.3 ,15.9 ,96.0 ,7.8 ,180 ,60 ,0 ,3996 ,5007 
1331,M-NCP,MNCP1331,2005,MNCP03,medium_maturity,26.2 ,31.7 ,21.5 ,2460.7 ,1520.7 ,620.0 ,688.3 ,1726.5 ,Cinnamon soils,loamy sand,9.8 ,16.7 ,99.0 ,7.6 ,195 ,75 ,0 ,3830 ,5346 
1332,M-NCP,MNCP1332,2005,MNCP03,medium_maturity,26.2 ,31.7 ,21.5 ,2460.7 ,1520.7 ,620.0 ,688.3 ,1726.5 ,Cinnamon soils,sandy loam,18.3 ,35.3 ,97.0 ,7.5 ,210 ,75 ,75 ,5366 ,7599 
1333,M-NCP,MNCP1333,2008,MNCP03,medium_maturity,25.7 ,30.9 ,21.5 ,2412.7 ,1472.7 ,294.1 ,560.3 ,1517.7 ,Cinnamon soils,loamy sand,16.1 ,58.0 ,110.0 ,7.5 ,225 ,45 ,45 ,5843 ,7551 
1334,M-NCP,MNCP1334,2005,MNCP03,medium_maturity,26.2 ,31.7 ,21.5 ,2460.7 ,1520.7 ,620.0 ,688.3 ,1726.5 ,Fluvo-aquic soils,loam,15.9 ,28.6 ,197.0 ,7.5 ,210 ,120 ,0 ,5553 ,7632 
1335,M-NCP,MNCP1335,2007,MNCP03,medium_maturity,25.6 ,30.7 ,21.4 ,2407.4 ,1467.4 ,369.0 ,555.0 ,1517.4 ,Fluvo-aquic soils,loam,14.3 ,48.6 ,209.0 ,7.6 ,210 ,75 ,75 ,6134 ,8982 
1336,M-NCP,MNCP1336,2005,MNCP03,medium_maturity,26.2 ,31.7 ,21.5 ,2460.7 ,1520.7 ,620.0 ,688.3 ,1726.5 ,Fluvo-aquic soils,loam,8.9 ,19.3 ,96.0 ,7.8 ,210 ,75 ,0 ,3536 ,5429 
1337,M-NCP,MNCP1337,2005,MNCP03,medium_maturity,26.2 ,31.7 ,21.5 ,2460.7 ,1520.7 ,620.0 ,688.3 ,1726.5 ,Fluvo-aquic soils,loam,9.7 ,18.4 ,89.0 ,7.6 ,195 ,60 ,0 ,4041 ,5702 
1338,M-NCP,MNCP1338,2005,MNCP03,medium_maturity,26.2 ,31.7 ,21.5 ,2460.7 ,1520.7 ,620.0 ,688.3 ,1726.5 ,Cinnamon soils,loam,11.2 ,21.8 ,88.0 ,7.9 ,210 ,120 ,0 ,3446 ,5889 
1339,M-NCP,MNCP1339,2007,MNCP03,medium_maturity,25.6 ,30.7 ,21.4 ,2407.4 ,1467.4 ,369.0 ,555.0 ,1517.4 ,Cinnamon soils,loam,14.5 ,24.6 ,186.0 ,7.6 ,212 ,35 ,35 ,4736 ,7515 
1340,M-NCP,MNCP1340,2007,MNCP03,medium_maturity,25.6 ,30.7 ,21.4 ,2407.4 ,1467.4 ,369.0 ,555.0 ,1517.4 ,Cinnamon soils,loam,12.3 ,23.5 ,163.0 ,7.6 ,195 ,60 ,120 ,5627 ,8288 
1341,M-NCP,MNCP1341,2008,MNCP03,medium_maturity,25.7 ,30.9 ,21.5 ,2412.7 ,1472.7 ,294.1 ,560.3 ,1517.7 ,Cinnamon soils,loam,18.2 ,59.6 ,193.0 ,7.6 ,210 ,45 ,75 ,5673 ,8060 
