Sort,Crop,NO,Year,Province1,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk,,
56,LR-SC,LRSC0056,2006,LRSC02,late_maturity,26.20380952,32.12095238,22.34952381,2751.4,1701.4,400.8,653.4,1690.56,Paddy soil,silty clay loam,29.6,10.9,45,5,165,60,105,8265,9736.5,,
57,LR-SC,LRSC0057,2006,LRSC02,late_maturity,26.26464646,32.27171717,22.33939394,2600.2,1610.2,324.8,631.8,1620.58,Paddy soil,silty clay loam,25.7,67.2,86,5,165,60,105,6399,8551.5,,
58,LR-SC,LRSC0058,2006,LRSC02,late_maturity,26.26464646,32.27171717,22.33939394,2600.2,1610.2,324.8,631.8,1620.58,Paddy soil,silty clay loam,51.3,27.6,49,5.1,165,60,105,6891,10624.5,,
59,LR-SC,LRSC0059,2006,LRSC02,late_maturity,25.86635514,31.91401869,21.89065421,2767.7,1697.7,324.8,688.4,1731.93,Paddy soil,silty clay loam,36.9,19.2,45,4.8,165,60,105,6730.5,8682,,
60,LR-SC,LRSC0060,2006,LRSC02,late_maturity,25.86635514,31.91401869,21.89065421,2767.7,1697.7,324.8,688.4,1731.93,Paddy soil,loamy sand,37.7,23.3,32,5.4,165,60,105,6049.5,7600.5,,
61,LR-SC,LRSC0061,2006,LRSC02,late_maturity,25.58518519,31.76944444,21.52222222,2763.2,1683.2,324.8,696.2,1735.97,Paddy soil,clay,31.4,53.7,76,5.4,165,60,105,7800,8800.5,,
62,LR-SC,LRSC0062,2006,LRSC02,late_maturity,26.02641509,32.01886792,22.08207547,2758.8,1698.8,324.8,678.1,1718.1,Paddy soil,loamy sand,27.9,34.1,28,5.4,165,60,105,4465.5,6574.5,,
63,LR-SC,LRSC0063,2006,LRSC02,late_maturity,25.69035088,31.85087719,21.64649123,2928.7,1788.7,344.6,736.5,1840.19,Paddy soil,clay,20.5,41.4,55,5.6,165,60,105,5100,7999.5,,
64,LR-SC,LRSC0064,2006,LRSC02,late_maturity,25.50619469,31.74513274,21.39734513,2882.2,1752.2,324.8,740.7,1828.89,Paddy soil,clay,32.8,34.8,96,4.8,165,60,105,7951.5,8424,,
65,LR-SC,LRSC0065,2006,LRSC02,late_maturity,25.50695652,31.76347826,21.37565217,2933.3,1783.3,324.8,755.5,1862.51,Paddy soil,clay,30.2,50.3,46,4.6,165,60,105,8092.5,10140,,
66,LR-SC,LRSC0066,2006,LRSC02,late_maturity,25.67962963,31.83333333,21.65,2773.4,1693.4,324.8,696.4,1741.39,Paddy soil,clay,37.5,39.1,44,4.8,165,60,105,8295,9594,,
67,LR-SC,LRSC0067,2008,LRSC02,late_maturity,25.814583,31.628125,22.0625,2478.2,1518.2,582.2,614.8,1576.49,Paddy soil,silty clay loam,36.7,7.6,40,5.2,165,75,120,6756,8299.5,,
68,LR-SC,LRSC0068,2008,LRSC02,late_maturity,25.560784,31.408824,21.786275,2607.2,1587.2,545.5,659.3,1664.98,Paddy soil,silty clay loam,42.3,8.2,27,5.5,165,75,120,6315,8283,,
69,LR-SC,LRSC0069,2008,LRSC02,late_maturity,25.814583,31.628125,22.0625,2478.2,1518.2,582.2,614.8,1576.49,Paddy soil,silty clay loam,36.3,45.9,112,5.2,165,75,120,6721.5,8938.5,,
70,LR-SC,LRSC0070,2008,LRSC02,late_maturity,25.814583,31.628125,22.0625,2478.2,1518.2,582.2,614.8,1576.49,Paddy soil,sandy loam,23.1,58.8,190,5.5,165,75,120,7095,8434.5,,
71,LR-SC,LRSC0071,2008,LRSC02,late_maturity,25.814583,31.628125,22.0625,2478.2,1518.2,582.2,614.8,1576.49,Paddy soil,sandy loam,31.1,36.6,30,5.2,165,75,120,7101,9705,,
72,LR-SC,LRSC0072,2008,LRSC02,late_maturity,25.647,31.465,21.9,2564.7,1564.7,545.5,647.1,1638.64,Paddy soil,silty clay loam,29.6,19.9,32,5.5,165,75,120,6244.5,8515.5,,
73,LR-SC,LRSC0073,2008,LRSC02,late_maturity,25.704762,31.526667,21.950476,2699,1649,590.4,679.8,1728.3,Paddy soil,silty clay loam,42.2,16.4,131,4.7,165,75,120,6858,8235,,
74,LR-SC,LRSC0074,2008,LRSC02,late_maturity,25.704762,31.526667,21.950476,2699,1649,590.4,679.8,1728.3,Paddy soil,sandy loam,37.3,18.9,78,4.8,165,75,120,5233.5,8269.5,,
75,LR-SC,LRSC0075,2008,LRSC02,late_maturity,25.388119,31.208911,21.668317,2564.2,1554.2,547,630.7,1597.45,Paddy soil,clay,21.6,52.2,120,5.3,165,75,120,5229,6570,,
76,LR-SC,LRSC0076,2008,LRSC02,late_maturity,25.388119,31.208911,21.668317,2564.2,1554.2,547,630.7,1597.45,Paddy soil,clay,20.2,9.6,36,4.8,165,75,120,5068.5,8068.5,,
77,LR-SC,LRSC0077,2008,LRSC02,late_maturity,25.689524,31.753333,21.6,2697.4,1647.4,479.9,659.7,1738.66,Paddy soil,silty clay loam,32.9,18.9,108,4.6,118.5,33,82.5,6588,8670,,
78,LR-SC,LRSC0078,2007,LRSC02,medium_maturity,25.7 ,31.7 ,21.7 ,2745.7 ,1675.7 ,306.4 ,531.7 ,1490.6 ,Paddy soil,silty clay loam,43.5 ,22.5 ,108.0 ,5.0 ,165 ,60 ,105 ,4719 ,9023 ,,
79,LR-SC,LRSC0079,2007,LRSC02,late_maturity,27.121591,33.090909,23.278409,2386.7,1506.7,318.7,429.6,1264.86,Paddy soil,silty clay loam,41,12.3,67,5,165,60,105,5757,6900,,
80,LR-SC,LRSC0080,2007,LRSC02,late_maturity,25.9,31.935922,21.968932,2667.7,1637.7,306.4,512.2,1445.17,Paddy soil,silty clay loam,26,21.6,61,4.9,165,60,105,7801.5,9532.5,,
81,LR-SC,LRSC0081,2008,LRSC02,late_maturity,27.278218,33.4,23.119802,2755.1,1745.1,397.8,570.8,1546.13,Paddy soil,silty clay loam,34.2,40.7,105,5,150,60,135,7314,8988,,
82,LR-SC,LRSC0082,2008,LRSC02,late_maturity,26.945872,33.033028,22.836697,2937.1,1847.1,400.1,601.6,1626.57,Paddy soil,loam,36.5,6.2,49,4.5,150,60,135,4626,8001,,
83,LR-SC,LRSC0083,2008,LRSC02,late_maturity,27.697938,33.931959,23.434021,2686.7,1716.7,427.6,568.4,1538.57,Paddy soil,silty clay loam,34.6,10.3,87,5,180,45,135,7939.5,8472,,
84,LR-SC,LRSC0084,2008,LRSC02,late_maturity,27.083495,33.162136,22.952427,2789.6,1759.6,384.7,567.1,1542.05,Paddy soil,silty clay loam,47.8,16.3,133,4.8,150,60,135,4909.5,8301,,
85,LR-SC,LRSC0085,2009,LRSC02,late_maturity,26.214019,32.675701,21.936449,2804.9,1734.9,284.1,703.2,1747.31,Paddy soil,silty clay loam,31.6,11.5,143,4.9,180,45,135,3963,7600.5,,
86,LR-SC,LRSC0086,2009,LRSC02,late_maturity,25.978448,32.459483,21.632759,3013.5,1853.5,293.3,774.3,1907.21,Paddy soil,silty clay loam,36.1,17.5,67,4.9,180,45,135,5491.5,9232.5,,
87,LR-SC,LRSC0087,2009,LRSC02,late_maturity,27.679381,33.882474,23.548454,2684.9,1714.9,298.5,650.7,1673.27,Paddy soil,clay loam,27.3,5.5,37,4.8,180,45,135,4575,7389,,
88,LR-SC,LRSC0088,2009,LRSC02,late_maturity,26.196552,32.661207,21.874138,3038.8,1878.8,301.5,778.7,1925.09,Paddy soil,silty clay loam,20.9,5.7,20,4.8,180,45,135,7939.5,8472,,
89,LR-SC,LRSC0089,2007,LRSC02,late_maturity,25.89292,32.030088,21.89469,2925.9,1795.9,318.7,581.5,1615.62,Paddy soil,silty clay loam,46.7,61.5,72,5,165,60,105,6333,8436,,
90,LR-SC,LRSC0090,2007,LRSC02,late_maturity,25.767273,31.883636,21.802727,2834.4,1734.4,318.7,552.6,1546.52,Paddy soil,silty clay loam,68.5,44.3,201,5.1,165,60,105,8083.5,10071,,
91,LR-SC,LRSC0091,2007,LRSC02,late_maturity,25.89292,32.030088,21.89469,2925.9,1795.9,318.7,581.5,1615.62,Paddy soil,silty clay loam,36.6,25.1,46,5,165,60,105,6957,9096,,
92,LR-SC,LRSC0092,2007,LRSC02,late_maturity,23.1,28.722857,19.787619,2425.5,1375.5,515.6,390.9,1224.41,Paddy soil,sandy loam,48.1,64.4,67,5,150,60,105,3930,6528,,
93,LR-SC,LRSC0093,2007,LRSC02,late_maturity,23.993333,29.334286,20.425714,2519.3,1469.3,422.1,441.6,1304.27,Paddy soil,silty clay loam,33.7,12.5,166,4.6,172.5,63,162,5685,6553.5,,
94,LR-SC,LRSC0094,2007,LRSC02,medium_maturity,24.0 ,29.3 ,20.4 ,2519.3 ,1469.3 ,422.1 ,441.6 ,1304.3 ,Paddy soil,silty clay loam,24.3 ,25.7 ,118.0 ,4.6 ,173 ,63 ,162 ,5855 ,6536 ,,
95,LR-SC,LRSC0095,2007,LRSC02,late_maturity,22.855446,28.170297,19.161386,2308.4,1298.4,387.6,443.9,1229.37,Paddy soil,silty clay loam,23.9,36.6,156,5.2,172.5,63,162,5583,6166.5,,
96,LR-SC,LRSC0096,2007,LRSC02,late_maturity,24.869524,30.250476,21.222857,2611.3,1561.3,397.3,466.3,1372.54,Paddy soil,silty clay loam,55.1,23.1,123,5.1,172.5,63,162,5739,5869.5,,
97,LR-SC,LRSC0097,2007,LRSC02,late_maturity,24.237,29.568,20.708,2423.7,1423.7,421.6,408.7,1232.84,Paddy soil,silty clay loam,29.7,16.7,59,4.4,172.5,63,162,4794,6879,,
98,LR-SC,LRSC0098,2007,LRSC02,late_maturity,23.88785,29.247664,20.294393,2556,1486,422.1,456.2,1332.53,Paddy soil,silty clay loam,41.2,7.8,66,4.9,172.5,63,162,5125.5,8250,,
99,LR-SC,LRSC0099,2007,LRSC02,late_maturity,24.439496,29.836975,20.778151,2908.3,1718.3,457.4,534.2,1546.95,Paddy soil,silty clay loam,27,15.9,46,5.2,172.5,63,162,5416.5,7167,,
100,LR-SC,LRSC0100,2007,LRSC02,late_maturity,24.297436,29.666667,20.616239,2842.8,1672.8,422.3,535.4,1528.97,Paddy soil,silty clay loam,47.1,12.5,135,5.1,172.5,63,162,5466,7384.5,,
101,LR-SC,LRSC0101,2007,LRSC02,late_maturity,24.393043,29.745217,20.753913,2805.2,1655.2,422.3,518.3,1497.59,Paddy soil,silty clay loam,55,6.6,201,5,172.5,63,162,5799,6933,,116.9702
102,LR-SC,LRSC0102,2007,LRSC02,late_maturity,24.622807,29.985088,21.009649,2807,1667,457.4,499.8,1474.3,Paddy soil,silty clay loam,52.8,25,150,5.3,172.5,63,162,4827,7333.5,,
103,LR-SC,LRSC0103,2008,LRSC02,late_maturity,26.319608,32.177451,22.256863,2684.6,1664.6,482.5,625.2,1646,Paddy soil,sandy loam,26.8,43.2,89,4.4,180,82.5,108,6777,7138.5,,
104,LR-SC,LRSC0104,2008,LRSC02,late_maturity,26.246939,32.115306,22.117347,2572.2,1592.2,437.7,602.9,1575.93,Paddy soil,sandy loam,26.4,37.8,102,4.5,180,82.5,108,4731,7314,,
105,LR-SC,LRSC0105,2008,LRSC02,late_maturity,26.263107,32.186408,22.116505,2705.1,1675.1,442.5,642.9,1669.15,Paddy soil,sandy loam,28.9,38.3,142,4.4,180,82.5,108,6076.5,8218.5,,
106,LR-SC,LRSC0106,2008,LRSC02,late_maturity,26.087755,31.929592,21.982653,2556.6,1576.6,438.6,594.2,1550.61,Paddy soil,sandy loam,22.9,52.2,148,4.4,180,82.5,108,5955,8025,,
107,LR-SC,LRSC0107,2008,LRSC02,late_maturity,26.022222,31.830303,21.944444,2576.2,1586.2,438.6,594.3,1555.72,Paddy soil,sandy loam,26.7,43.5,267,4.5,180,82.5,108,5587.5,7558.5,,
108,LR-SC,LRSC0108,2008,LRSC02,late_maturity,25.969,31.771,21.902,2596.9,1596.9,438.6,597.4,1564.88,Paddy soil,sandy loam,17.9,52.4,186,4.6,180,82.5,108,6486,8430,,
109,LR-SC,LRSC0109,2009,LRSC02,late_maturity,27.024468,32.828723,22.655319,2540.3,1600.3,216.7,684.3,1695.26,Paddy soil,loam,27.3,60.9,68,4.2,180,82.5,108,6148.5,6553.5,,
110,LR-SC,LRSC0110,2007,LRSC03,medium_maturity,25.8 ,31.5 ,21.9 ,2447.9 ,1497.9 ,379.4 ,541.8 ,1421.0 ,Paddy soil,sandy loam,31.5 ,11.6 ,99.0 ,5.4 ,167 ,36 ,135 ,5075 ,7575 ,,
111,LR-SC,LRSC0111,2007,LRSC03,medium_maturity,25.4 ,30.9 ,21.7 ,2183.7 ,1323.7 ,379.3 ,444.8 ,1208.6 ,Paddy soil,sandy loam,20.8 ,74.2 ,62.0 ,6.2 ,167 ,36 ,135 ,5948 ,6603 ,,
112,LR-SC,LRSC0112,2007,LRSC03,early_maturity,25.903,31.173,22.203,2590.3,1590.3,317,632.6,1600.98,Paddy soil,loam,35.24,37.2,223.9,5.02,150,45,120,6000,7500,,
113,LR-SC,LRSC0113,2006,LRSC03,medium_maturity,25.5 ,31.5 ,21.2 ,2316.1 ,1406.1 ,213.6 ,589.0 ,1417.9 ,Paddy soil,loam,36.5 ,6.6 ,46.0 ,6.2 ,158 ,30 ,75 ,6578 ,8318 ,,
114,LR-SC,LRSC0114,2007,LRSC03,medium_maturity,25.1 ,30.4 ,21.6 ,2187.0 ,1317.0 ,305.3 ,439.8 ,1173.6 ,Paddy soil,sandy loam,21.7 ,20.8 ,59.0 ,8.2 ,158 ,30 ,75 ,6855 ,9320 ,,
115,LR-SC,LRSC0115,2008,LRSC03,late_maturity,24.942553,29.212766,21.940426,2344.6,1404.6,196.2,620.4,1413.14,Paddy soil,loam,12.2,43.2,85,5.3,165,39,117,4680,5750,,
116,LR-SC,LRSC0116,2006,LRSC03,late_maturity,26.62470588,31.38470588,23.10235294,2263.1,1413.1,248.4,532.2,1298.37,Paddy soil,sandy loam,23,15.4,151,6.7,168,36,82.5,4215,8025,,
117,LR-SC,LRSC0117,2008,LRSC03,medium_maturity,26.9 ,31.0 ,23.8 ,2637.0 ,1657.0 ,185.9 ,735.2 ,1709.2 ,Paddy soil,sandy loam,30.1 ,12.1 ,34.0 ,5.7 ,207 ,36 ,135 ,3173 ,7710 ,,
118,LR-SC,LRSC0118,2006,LRSC03,late_maturity,26.21609195,31.08850575,22.52643678,2280.8,1410.8,324.2,519.8,1295.73,Paddy soil,sandy loam,9.8,12,50,6.2,201.75,54,202.5,4362,6681,,
119,LR-SC,LRSC0119,2006,LRSC03,late_maturity,26.21609195,31.08850575,22.52643678,2280.8,1410.8,324.2,519.8,1295.73,Paddy soil,loam,19.2,24.8,113,6.7,127.65,27,90,4200,8565,,
