Sort,Crop,NO,Year,Province,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
11,W-NCP,WNCP0011,2008,WNCP01,9.1 ,15.5 ,3.9 ,2274.5 ,767.5 ,139.8 ,1692.4 ,3230.9 ,small_spike,Fluvo-aquic soils,loam,12.5 ,23.6 ,134.0 ,7.5 ,180 ,150 ,120 ,4425 ,7200 
12,W-NCP,WNCP0012,2007,WNCP01,9.7 ,14.8 ,5.4 ,2513.5 ,915.5 ,162.4 ,1537.8 ,3109.5 ,small_spike,Cinnamon soils,loam,16.4 ,10.8 ,97.0 ,7.8 ,240 ,75 ,90 ,4635 ,6135 
13,W-NCP,WNCP0013,2008,WNCP01,9.7 ,15.4 ,4.7 ,2382.6 ,860.6 ,77.0 ,1620.8 ,3048.3 ,small_spike,Cinnamon soils,clay,21.5 ,18.3 ,122.0 ,7.9 ,210 ,75 ,75 ,3500 ,6251 
14,W-NCP,WNCP0014,2008,WNCP01,10.0 ,15.6 ,5.0 ,2519.3 ,927.3 ,99.7 ,1664.6 ,3152.5 ,small_spike,Cinnamon soils,loam,21.5 ,6.3 ,117.0 ,7.7 ,210 ,75 ,75 ,5100 ,7001 
15,W-NCP,WNCP0015,2009,WNCP01,7.8 ,12.8 ,3.5 ,2118.7 ,797.1 ,178.2 ,1470.6 ,2965.6 ,small_spike,Cinnamon soils,loam,20.4 ,6.6 ,115.0 ,7.2 ,210 ,75 ,75 ,3897 ,4790 
16,W-NCP,WNCP0016,2007,WNCP01,9.5 ,14.6 ,5.2 ,2476.3 ,858.3 ,184.9 ,1515.1 ,3056.7 ,small_spike,Cinnamon soils,loam,22.8 ,15.5 ,99.0 ,7.7 ,255 ,105 ,135 ,4230 ,5325 
17,W-NCP,WNCP0017,2009,WNCP01,7.8 ,12.8 ,3.4 ,2101.6 ,790.0 ,178.2 ,1470.6 ,2961.1 ,small_spike,Cinnamon soils,loam,16.8 ,4.7 ,110.0 ,7.2 ,225 ,90 ,75 ,3450 ,5303 
18,W-NCP,WNCP0018,2008,WNCP01,10.2 ,15.9 ,5.2 ,2563.3 ,971.3 ,93.9 ,1683.9 ,3199.8 ,small_spike,Cinnamon soils,loam,19.5 ,12.5 ,100.0 ,7.4 ,210 ,75 ,75 ,5922 ,6488 
19,W-NCP,WNCP0019,2008,WNCP01,10.2 ,15.9 ,5.2 ,2526.2 ,974.2 ,93.9 ,1656.1 ,3170.9 ,small_spike,Cinnamon soils,loam,19.7 ,10.3 ,105.0 ,7.7 ,225 ,90 ,75 ,5349 ,6666 
20,W-NCP,WNCP0020,2007,WNCP01,8.3 ,14.0 ,3.8 ,2246.2 ,740.2 ,174.0 ,1412.4 ,2918.7 ,small_spike,Cinnamon soils,loam,15.0 ,27.0 ,86.0 ,7.8 ,135 ,150 ,90 ,4095 ,5085 
21,W-NCP,WNCP0021,2007,WNCP01,8.8 ,14.5 ,4.3 ,2462.7 ,856.7 ,193.3 ,1428.5 ,3016.3 ,small_spike,Cinnamon soils,loam,16.0 ,25.0 ,97.0 ,7.7 ,135 ,150 ,90 ,4215 ,5535 
22,W-NCP,WNCP0022,2007,WNCP01,8.7 ,14.3 ,4.2 ,2411.5 ,825.5 ,193.3 ,1424.2 ,2994.5 ,small_spike,Cinnamon soils,sandy clay loam,18.0 ,32.0 ,88.0 ,7.6 ,180 ,150 ,120 ,4620 ,6795 
23,W-NCP,WNCP0023,2007,WNCP01,8.6 ,14.2 ,4.1 ,2363.5 ,797.5 ,205.4 ,1417.6 ,2963.1 ,small_spike,Cinnamon soils,sandy clay loam,18.0 ,35.0 ,101.0 ,7.8 ,225 ,150 ,150 ,5325 ,7635 
