Sort,Soil quality,Crop,Year,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
107,high,early rice,2007,24.8,29.6,21.3,2034,1214,907.3,422.1,1284.5,medium_maturity,Paddy soils,,35.7,15.6,79,5.1,162,78,123,6270
108,low,early rice,2008,24.8,30.2,20.8,2034.9,1214.9,527.5,437.3,1310.1,early_maturity,Paddy soils,,20.6,9.7,71,4.9,143,62,102,3780
109,low,early rice,2006,25.3,30.4,21.6,2179.8,1319.8,582.6,467.5,1388.8,late_maturity,Paddy soils,,20,7,44,4.9,140,80,119,6735
110,low,early rice,2008,25.3,30.4,21.6,2179.8,1319.8,582.6,467.5,1388.8,medium_maturity,Paddy soils,,11.3,8.4,91,5,138,78,108,6810
111,high,early rice,2009,25.9,31.6,21.8,2281.3,1401.3,412.8,501.8,1461.1,late_maturity,Paddy soils,,38.9,16.5,49,4.9,150,60,105,9093
112,high,early rice,2009,24.7,30.5,20.6,2447.2,1457.2,527.6,523.5,1570.4,late_maturity,Paddy soils,,34.7,27.4,41,4.8,150,60,105,7257
113,high,early rice,2009,24.8,30.6,20.6,2454.4,1464.4,527.5,532.4,1585.5,late_maturity,Paddy soils,,39,23,76,5.1,150,60,105,7950
114,high,early rice,2009,24.6,30.4,20.4,2479.6,1469.6,525.9,530.1,1593.9,late_maturity,Paddy soils,,37.4,43.4,48,4.9,150,60,105,9624
115,low,early rice,2009,24,29.8,19.9,2690.4,1570.4,550.1,567.6,1728,late_maturity,Paddy soils,,6.6,3.5,64,5.2,150,60,105,9567
116,low,early rice,2007,23.8,29,20.3,2614.3,1514.3,1011.5,415.6,1459.6,late_maturity,Paddy soils,,31.7,10.8,45,5.1,165,60,105,8592
117,high,early rice,2007,25,30.5,21.3,2649.6,1589.6,977.7,472.6,1534.3,late_maturity,Paddy soils,,38.6,24,103,5,165,60,105,8144
118,high,early rice,2007,24.2,29.5,20.7,2713.2,1593.2,1013.5,455.2,1543.6,late_maturity,Paddy soils,,38.6,54.2,31,4.8,165,60,105,8070
119,high,early rice,2009,26,30.3,22.7,2079.1,1279.1,475.8,531.7,1450.4,medium_maturity,Paddy soils,,36.5,26,150,6,180,90,120,8115
120,low,early rice,2009,25.8,30.2,22.4,2319.7,1419.7,501.9,613.9,1653.4,early_maturity,Paddy soils,,25.1,12.3,54,5.8,135,72,68,6945
121,high,early rice,2008,26.1,30.6,22.6,2480.3,1530.3,457,596.8,1662.3,early_maturity,Paddy soils,,41.2,32.2,135,4.8,135,72,68,6435
122,high,early rice,2008,26.2,30.6,22.7,2093.9,1293.9,380.9,492.3,1385.9,early_maturity,Paddy soils,,38.7,19.7,114,5.2,150,63,68,6434
123,low,early rice,2008,26.2,30.6,22.7,2093.9,1293.9,380.9,492.3,1385.9,early_maturity,Paddy soils,,28.6,12.6,83,5.2,150,63,68,5481
124,low,early rice,2008,26.2,30.6,22.7,2093.9,1293.9,380.9,492.3,1385.9,early_maturity,Paddy soils,,33.2,12.2,98,5.1,150,63,68,6027
125,high,early rice,2008,26.2,30.6,22.7,2093.9,1293.9,380.9,492.3,1385.9,early_maturity,Paddy soils,,36.5,16.2,162,5.3,150,63,68,6354
126,high,early rice,2008,26.2,30.6,22.7,2093.9,1293.9,380.9,492.3,1385.9,early_maturity,Paddy soils,,38.6,20.1,176,5.2,150,63,68,6635
127,high,early rice,2008,26.1,30.6,22.5,2084.9,1284.9,380.9,494.8,1389.6,early_maturity,Paddy soils,,35.7,18.2,161,5.3,150,63,68,6234
128,high,early rice,2008,26.1,30.6,22.5,2084.9,1284.9,380.9,494.8,1389.6,early_maturity,Paddy soils,,34.3,16.7,126,5.3,150,63,68,5888
129,low,early rice,2008,26,30.5,22.4,2025.1,1245.1,380.5,481.3,1353,early_maturity,Paddy soils,,31.6,12.7,94,5.1,150,63,68,5471
130,low,early rice,2009,22.9,28.4,18.9,1853.9,1043.9,548.5,462.6,1333,early_maturity,Paddy soils,,27.1,9.4,81,5.8,195,72,113,7388
131,high,early rice,2008,24.8,29.5,21.1,2255.2,1345.2,267.3,539.9,1537.7,early_maturity,Paddy soils,,37.6,17.6,52,5.2,165,60,120,6438
132,low,early rice,2009,25.5,30.1,22,2343.8,1423.8,336,623.9,1684.5,early_maturity,Paddy soils,,31.9,8.1,72,5.7,165,62,60,7194
133,high,early rice,2005,25.7,29.8,22.6,2160,1320,512.3,503.8,1431.8,early_maturity,Paddy soils,,45.3,18,78,5.8,165,60,90,5984
134,low,early rice,2005,25.2,29.3,22.1,1936.7,1166.7,496.2,450,1292.1,early_maturity,Paddy soils,,33.3,13.8,93,4.5,165,60,90,6500
135,low,early rice,2010,24.3,28.3,21.3,1916.6,1126.6,762.9,278.1,1028.7,early_maturity,Paddy soils,,25.9,2,237,6.4,135,72,68,6755
136,high,early rice,2010,24.3,28.3,21.3,1916.6,1126.6,762.9,278.1,1028.7,early_maturity,Paddy soils,,48.9,57.6,258,7,135,72,68,7140
137,low,early rice,2010,24.3,28.3,21.3,1916.6,1126.6,762.9,278.1,1028.7,medium_maturity,Paddy soils,,30.8,3,85,5.2,165,90,90,6330
138,low,early rice,2009,24.9,29.7,21.3,1942.4,1162.4,448.4,439.4,1285.5,early_maturity,Paddy soils,,28.8,7.4,87,5.1,135,72,68,6099
139,high,early rice,2009,25.1,30,21.5,1909.8,1149.8,428.6,439.4,1271.6,early_maturity,Paddy soils,,37.4,27.3,156,4.8,135,72,68,6381
140,high,early rice,2007,25.2,29.5,21.7,1941.4,1171.4,232.6,356.2,1139.1,early_maturity,Paddy soils,,46.7,31.2,142,5.4,135,72,68,5370
141,high,early rice,2007,25.9,30.1,22.4,1938.8,1188.8,197,363.1,1137.7,early_maturity,Paddy soils,,34.1,30.9,127,5.4,165,90,90,6030
142,high,early rice,2007,25.5,29.7,21.9,1859.1,1129.1,197,341.3,1087,early_maturity,Paddy soils,,48.1,29.8,130,5.4,165,90,90,6930
143,low,early rice,2007,23.2,27.7,19.5,2158.9,1228.9,252.7,403.8,1313.2,early_maturity,Paddy soils,,32.6,8.7,132,4.9,135,72,68,6240
144,low,early rice,2007,23.2,27.7,19.5,2158.9,1228.9,252.7,403.8,1313.2,early_maturity,Paddy soils,,29.4,12.8,154,5.3,135,72,68,6735
145,low,early rice,2007,25.8,30,22.3,1985,1215,202.1,370.1,1163.2,early_maturity,Paddy soils,,30.1,9.1,83,4.7,135,72,68,6390
146,high,early rice,2007,25.9,30.1,22.5,1994.8,1224.8,209.7,363.1,1152.3,early_maturity,Paddy soils,,50.6,32,118,5.4,135,72,68,6210
147,high,early rice,2007,25.2,30.5,21,2167.2,1307.2,532.1,481.4,1409.6,medium_maturity,Paddy soils,,49.5,25,50,7.5,150,70,80,7253
