Sort,Soil quality,Crop,Year,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
1494,high,north wheat,2008,7,13.8,1.4,2079.1,749.3,229.8,1822.2,3334.6,small_spike,Cinnamon soils,loam,26.6,78.9,55,7.4,180,150,120,6401
1495,low,north wheat,2006,7.7,13.9,2.6,2194.1,770.3,134.3,1701.9,3144.4,small_spike,Cinnamon soils,loam,9.9,5.8,80,7.1,180,150,120,8048
1496,high,north wheat,2006,8.3,14.5,3.1,2411,907.2,134.3,1752.8,3294.4,small_spike,Cinnamon soils,sandy clay loam,15.5,38.9,99,7,180,150,120,6402
1497,high,north wheat,2006,8.3,14.5,3.1,2411,907.2,134.3,1752.8,3294.4,small_spike,Cinnamon soils,loam,24.8,29.4,119,6.9,180,150,120,6300
1498,high,north wheat,2006,8.2,14.3,3,2346.4,872.6,134.3,1731.7,3250.4,small_spike,Cinnamon soils,sandy clay loam,20.6,42.9,88,7,180,150,120,5789
1499,high,north wheat,2006,8.4,14.6,3.2,2469.9,936.1,134.3,1782.5,3346.4,small_spike,Cinnamon soils,loamy sand,21.1,57.5,110,6.9,180,150,120,5432
1500,high,north wheat,2006,8.3,14.5,3.1,2398.8,895,134.3,1761.4,3296.8,small_spike,Cinnamon soils,loam,17.8,63.4,90,6.9,180,150,120,7847
1501,high,north wheat,2006,8.8,14.6,4.2,2320.1,866.6,132.4,1496.4,2958.1,small_spike,Fluvo-aquic soils,loam,16.2,34.7,104,8.7,180,60,120,4815
1502,low,north wheat,2006,8.6,14.4,4,2243.3,819.8,132.4,1473.9,2904.9,small_spike,Fluvo-aquic soils,loam,12.9,12.8,106,8.6,225,60,150,4395
1503,high,north wheat,2006,8.2,14.1,3.1,2096.2,747,109.5,1616.9,3048.1,small_spike,Fluvo-aquic soils,loam,20,36.3,153,8.3,200,173,87,6600
1504,low,north wheat,2006,8.3,14.2,3.2,2123.8,764.6,109.5,1626.7,3070.9,small_spike,Fluvo-aquic soils,loam,12.1,8.7,88,8.4,173,138,57,5775
1505,low,north wheat,2007,9.7,15,5.3,2524.6,991.3,108.8,1446.7,2978.9,small_spike,Cinnamon soils,loamy sand,11.4,17.1,125,8,225,150,150,8577
1506,low,north wheat,2008,9.6,15.5,4.8,2522.7,986.6,135.7,1627,3179.3,small_spike,Cinnamon soils,loamy sand,15,17.7,108,8.2,180,150,120,6906
1507,high,north wheat,2009,7.2,12.2,3.1,2057.2,793.2,140.8,1540,3047.1,small_spike,Cinnamon soils,loamy sand,15.1,24.4,83,8.1,180,150,120,6906
1508,low,north wheat,2009,7.2,12.2,3.1,2057.2,793.2,140.8,1540,3047.1,small_spike,Cinnamon soils,loamy sand,13.8,7.5,99,8.2,225,150,150,6683
1509,low,north wheat,2005,8.9,14.5,4.4,2399,854,68.5,1458.4,2974.4,small_spike,Cinnamon soils,loamy sand,12.3,16.4,98,8.3,225,150,150,6821
1510,low,north wheat,2005,8.9,14.5,4.4,2399,854,68.5,1458.4,2974.4,small_spike,Cinnamon soils,loam,13.4,16.6,98,8.7,225,150,150,6531
1511,high,north wheat,2005,9.7,15,5.3,2524.6,991.3,108.8,1446.7,2978.9,small_spike,Cinnamon soils,loamy sand,16.7,41.4,200,8.7,225,150,150,7695
1512,low,north wheat,2005,8.9,14.5,4.4,2415.1,850.1,69.9,1459.9,2971.8,small_spike,Cinnamon soils,loamy sand,8.3,11.3,101,8.3,180,150,120,5961
1513,low,north wheat,2005,8.9,14.4,4.4,2411.1,846.1,65.2,1461.4,2970.9,small_spike,Cinnamon soils,loamy sand,12.3,15.4,92,8.6,180,150,120,6531
1514,low,north wheat,2005,8.9,14.5,4.4,2415.1,850.1,69.9,1459.9,2971.8,small_spike,Cinnamon soils,loamy sand,7.6,10.5,76,8.7,180,150,120,6002
1515,low,north wheat,2005,9.7,15,5.3,2524.6,991.3,108.8,1446.7,2978.9,small_spike,Cinnamon soils,loamy sand,15,16,90,8.7,180,150,120,6894
1516,high,north wheat,2005,8.7,14.3,4.3,2335.6,820.6,60.7,1425.6,2913.7,small_spike,Cinnamon soils,loamy sand,17.2,27.6,132,8.4,225,150,150,6972
1517,high,north wheat,2005,8.7,14.3,4.3,2335.6,820.6,60.7,1425.6,2913.7,small_spike,Cinnamon soils,loamy sand,18.5,27.3,123,8.7,225,150,150,6927
1518,high,north wheat,2005,8.7,14.3,4.3,2335.6,820.6,60.7,1425.6,2913.7,small_spike,Cinnamon soils,loamy sand,18.3,26.5,148,8.2,225,150,150,6914
1519,high,north wheat,2005,8.9,14.5,4.4,2409.5,864.5,60.7,1460.3,2983.8,small_spike,Cinnamon soils,loamy sand,18.3,26.5,148,8.2,225,150,150,6942
1520,high,north wheat,2007,8.5,14.2,3.7,2313.1,794.6,253.2,1642.2,3209.7,small_spike,Fluvo-aquic soils,loamy sand,25.8,19.5,104,8.2,225,150,150,7761
1521,high,north wheat,2007,8.5,14.2,3.7,2313.1,794.6,253.2,1642.2,3209.7,small_spike,Cinnamon soils,loam,16.6,20.5,76,8.3,225,150,150,8255
1522,low,north wheat,2007,8.5,14.2,3.7,2313.1,794.6,253.2,1642.2,3209.7,small_spike,Cinnamon soils,loam,13.2,17,110,8.1,225,150,150,8183
1523,high,north wheat,2008,9.3,15.8,3.8,2480.8,949.8,120.9,1750,3320.3,small_spike,Cinnamon soils,loam,16.3,21.4,93,8.4,225,150,150,6929
1524,low,north wheat,2008,9.2,15.7,3.8,2453.6,932.6,120.9,1742.4,3300.9,small_spike,Cinnamon soils,loam,10.2,16.9,76,8.3,180,150,120,7871
1525,low,north wheat,2008,9.2,15.7,3.8,2441.9,930.9,115.5,1742.4,3296.3,small_spike,Cinnamon soils,sandy loam,9.1,17.6,80,8.4,225,150,150,7304
1526,low,north wheat,2007,8.1,13.9,3.2,2092.1,713.6,163.8,1599.7,3085.3,small_spike,Cinnamon soils,loam,13,4,83,8.1,180,150,120,6143
1527,low,north wheat,2008,8.2,14,3.4,2132.6,744.1,224.5,1592.4,3094.3,small_spike,Cinnamon soils,loamy sand,10.5,6.3,30,8.1,225,150,150,6957
1528,low,north wheat,2008,8.4,14.2,3.6,2259,780.5,236.2,1634.8,3185.5,small_spike,Cinnamon soils,sandy loam,9.5,7,59,8,180,150,120,5472
1529,low,north wheat,2009,9,15.5,3.6,2338.7,897.7,115.5,1693.3,3206.3,small_spike,Cinnamon soils,loamy sand,11.5,16.3,76,8,225,150,150,8049
1530,high,north wheat,2009,9,15.5,3.6,2338.7,897.7,115.5,1693.3,3206.3,small_spike,Cinnamon soils,loamy sand,19.7,30.6,89,8.1,225,150,150,8750
1531,low,north wheat,2009,8.9,15.4,3.6,2301.5,880.5,115.5,1677.4,3179.2,small_spike,Cinnamon soils,loam,12,15.9,79,8.1,180,150,120,6699
1532,low,north wheat,2009,8.7,15.2,3.3,2193.5,832.5,115.5,1639.7,3111.7,small_spike,Cinnamon soils,loam,13.5,18,73,8.1,180,150,120,7800
1533,high,north wheat,2009,8.7,15.2,3.3,2210.4,839.4,115.5,1642.4,3118.7,small_spike,Fluvo-aquic soils,sand,18.3,35,127,8.1,225,150,150,6702
1534,high,north wheat,2007,8.1,13.8,3,2157.5,731.9,154.9,1452.6,2920.4,small_spike,Cinnamon soils,silt loam,15.3,19.1,140,8.5,225,150,150,6386
1535,low,north wheat,2007,8.1,13.9,3.1,2179.5,743.9,154.9,1454,2930.1,small_spike,Cinnamon soils,loam,14.1,17.3,110,8.5,225,150,150,7145
1536,high,north wheat,2007,8.1,13.8,3.1,2157.1,741.5,154.9,1437.7,2906.4,small_spike,Fluvo-aquic soils,loam,19.8,18.7,120,8.5,225,150,150,6300
1537,low,north wheat,2007,8.1,13.8,3,2143.4,737.8,154.9,1428,2891.1,small_spike,Fluvo-aquic soils,loam,14.5,15.4,120,8.5,180,150,120,5882
1538,low,north wheat,2007,8.1,13.8,3,2143.4,737.8,154.9,1428,2891.1,small_spike,Cinnamon soils,loam,11.6,11.2,80,8.5,180,150,120,4818
1539,high,north wheat,2008,8,14.7,1.8,2226.4,856.6,141.1,1568.7,3075.9,small_spike,Cinnamon soils,silt loam,15.3,19.1,140,8.5,225,150,150,6210
1540,high,north wheat,2008,8.1,14.8,2,2270,890.2,146.1,1569.7,3097.5,small_spike,Fluvo-aquic soils,sandy loam,16.1,23.9,130,8.6,225,150,150,8100
1541,low,north wheat,2008,7.9,14.6,1.7,2188.2,838.4,141.1,1561.6,3055.9,small_spike,Cinnamon soils,loamy sand,14.4,16.5,100,8.5,180,150,120,7001
1542,low,north wheat,2008,7.9,14.7,1.7,2204.6,844.8,141.1,1568.7,3068.3,small_spike,Fluvo-aquic soils,loamy sand,13,13.3,130,8.5,180,150,120,7098
1543,low,north wheat,2008,7.8,14.5,1.6,2150.7,820.9,127.4,1554.3,3035.8,small_spike,Fluvo-aquic soils,loamy sand,11.4,6.9,70,8.7,180,150,120,5711
1544,low,north wheat,2008,7.8,14.6,1.7,2171.6,831.8,141.1,1554.3,3043.3,small_spike,Fluvo-aquic soils,loamy sand,9.7,7.8,80,8.7,180,150,120,5820
1545,low,north wheat,2009,5.9,12.1,0.5,1899.5,730.1,128.5,1405.1,2906.3,small_spike,Fluvo-aquic soils,loam,14.3,14.8,130,7.6,180,150,120,5865
1546,low,north wheat,2009,6,12.2,0.6,1956.4,757,128.8,1417.1,2938.8,small_spike,Cinnamon soils,loam,13.4,13.9,110,7.7,180,150,120,5696
1547,low,north wheat,2009,5.9,12,0.5,1902.2,722.8,128.8,1398.7,2895,small_spike,Fluvo-aquic soils,sandy loam,10.2,7.6,90,7.8,180,150,120,5523
1548,low,north wheat,2009,5.7,11.9,0.4,1862.4,703,127.9,1388.4,2867.1,small_spike,Fluvo-aquic soils,loamy sand,13.3,9.7,100,7.9,180,150,120,5613
1549,high,north wheat,2008,7.8,14.8,1.8,2212.2,831.3,146.4,1716.7,3249.3,small_spike,Fluvo-aquic soils,loam,19.3,19.9,248,8.5,180,150,120,5123
1550,low,north wheat,2008,7.7,14.7,1.7,2152.4,801.5,146.4,1683,3180.5,small_spike,Fluvo-aquic soils,loamy sand,11.8,6.3,182,8.8,180,150,120,5723
1551,high,north wheat,2007,8,13.9,2.5,2230.3,752.4,196.5,1539,3042.5,small_spike,Cinnamon soils,loam,19.1,26.7,84,7.9,225,150,150,6557
1552,high,north wheat,2007,8,13.9,2.5,2230.3,752.4,196.5,1539,3042.5,small_spike,Cinnamon soils,loam,16.8,34.5,84,7.9,225,150,150,7247
1553,high,north wheat,2007,8,13.9,2.5,2230.3,752.4,196.5,1539,3042.5,small_spike,Cinnamon soils,loam,16.6,32.6,79,7.9,225,150,150,7050
1554,high,north wheat,2007,8,13.9,2.5,2230.3,752.4,196.5,1539,3042.5,small_spike,Fluvo-aquic soils,loam,16.2,21.2,68,7.9,225,150,150,6747
1555,high,north wheat,2007,8,13.9,2.5,2230.3,752.4,196.5,1539,3042.5,small_spike,Fluvo-aquic soils,loamy sand,15.2,25.4,89,7.9,225,150,150,6194
1556,low,north wheat,2008,8.8,15.3,3,2407.6,916.4,150.2,1816.9,3368.8,small_spike,Cinnamon soils,loam,11.6,8.7,58,7.8,225,150,150,7505
1557,low,north wheat,2008,8.8,15.3,3,2407.6,916.4,150.2,1816.9,3368.8,small_spike,Cinnamon soils,loamy sand,13.8,16,130,7.8,225,150,150,7085
1558,high,north wheat,2008,9.3,15.7,3.8,2514.6,967.2,131.3,1731.8,3291.9,small_spike,Cinnamon soils,loamy sand,16.5,42.2,83,8.1,225,150,150,7788
1559,low,north wheat,2008,9.3,15.8,3.8,2533.4,976,131.3,1740.2,3307,small_spike,Cinnamon soils,loamy sand,12.4,14.1,57,7.9,180,150,120,6791
1560,high,north wheat,2008,9.3,15.7,3.8,2496.2,958.8,131.3,1724.1,3277.6,small_spike,Cinnamon soils,loamy sand,21.7,48.7,117,7.9,225,150,150,7761
1561,high,north wheat,2008,9.3,15.7,3.8,2506.7,959.3,131.3,1734.2,3290.1,small_spike,Cinnamon soils,loamy sand,23.8,20.6,157,7.9,225,150,150,6848
1562,low,north wheat,2006,8.1,14.6,2.4,2215.5,791.3,101.9,1582.4,3074.7,small_spike,Cinnamon soils,loam,9.2,16.3,93,8.3,225,150,150,6843
1563,high,north wheat,2006,8.2,14.6,2.5,2210.7,796.5,101.9,1576.2,3074.6,small_spike,Cinnamon soils,loam,15.5,19,104,8.3,120,75,60,8538
1564,low,north wheat,2006,7.9,14.4,2.2,2093.1,748.9,100.8,1523.5,2982.8,small_spike,Fluvo-aquic soils,loamy sand,14.8,11.6,77,8.6,225,150,150,7652
1565,low,north wheat,2006,8.1,14.6,2.4,2195.5,781.3,101.9,1572.6,3057.6,small_spike,Cinnamon soils,loamy sand,8,5,70,8.6,225,150,150,7272
1566,low,north wheat,2007,7.3,13.7,1.6,2070.1,655.1,191.3,1491.9,2971.3,small_spike,Cinnamon soils,loam,9.2,16.3,93,8.3,225,150,150,8046
1567,low,north wheat,2007,7.1,13.6,1.5,2027.8,632.8,191.3,1482.2,2946.9,small_spike,Fluvo-aquic soils,loam,14.4,12,64,8.3,180,120,120,8169
1568,low,north wheat,2007,7.3,13.7,1.6,2065.1,660.1,184.5,1496.5,2984.3,small_spike,Cinnamon soils,loamy sand,9.8,10.2,64,8.3,120,75,60,7208
1569,low,north wheat,2008,7.6,14.6,1.1,2065.2,724.1,105.6,1714.2,3175,small_spike,Cinnamon soils,loam,13.1,15.8,118,8.4,225,150,150,7238
1570,high,north wheat,2008,8.1,15.1,1.6,2275,823.9,111.9,1789.8,3349.3,small_spike,Fluvo-aquic soils,clay,15.2,26.7,157,8.3,180,150,120,7881
1571,high,north wheat,2008,8.1,15.1,1.5,2259.9,818.8,109.1,1789.8,3344.7,small_spike,Fluvo-aquic soils,clay,17.5,35.2,85,8,180,150,120,8058
1572,high,north wheat,2006,8,14.6,2.4,2237.4,837.1,117.8,1735.4,3243.7,small_spike,Cinnamon soils,loamy sand,17.6,20.1,97,8.1,225,150,150,7709
1573,high,north wheat,2006,7.7,14.4,2.2,2133.9,783.6,108.7,1705.6,3168.3,small_spike,Cinnamon soils,loam,18.5,18.3,89,8.1,225,150,150,6570
1574,high,north wheat,2006,7.8,14.4,2.2,2157,796.7,111.5,1705.6,3175.9,small_spike,Fluvo-aquic soils,clay,19.6,41,66,8.1,180,150,120,6003
1575,high,north wheat,2006,7.4,14.1,1.8,2015.6,725.3,108.5,1669.4,3089.7,small_spike,Cinnamon soils,loam,15.7,30.2,78,8.1,180,150,120,5783
1576,high,north wheat,2006,8.1,14.7,2.5,2251.8,861.5,111.5,1733.2,3253.1,small_spike,Fluvo-aquic soils,loam,16.4,23.1,85,8.1,180,150,120,7926
1577,high,north wheat,2006,7.9,14.5,2.3,2189.5,819.2,111.5,1723.4,3216.4,small_spike,Cinnamon soils,sand,18.5,18.3,94,8.1,180,150,120,7584
1578,high,north wheat,2007,6.8,13.2,1.3,1918.8,620.4,183.4,1652.6,3074.4,small_spike,Fluvo-aquic soils,loamy sand,28.7,22.5,46,8,180,150,135,6801
1579,high,north wheat,2008,7.6,14.6,1.6,2219.5,812.4,155,1959.3,3494.6,small_spike,Cinnamon soils,sandy loam,19.3,35.5,88,8.1,270,180,150,6294
1580,high,north wheat,2008,7.9,14.8,1.9,2301.2,864.1,155.8,1974.8,3552.2,small_spike,Cinnamon soils,sand,16.6,34.3,123,8.1,270,180,150,5960
1581,low,north wheat,2008,7.6,14.6,1.6,2209.9,812.8,155,1952.4,3487.2,small_spike,Cinnamon soils,loam,14.4,12.9,132,8.1,270,180,150,6449
1582,low,north wheat,2008,7.7,14.7,1.6,2217.1,830,141.6,1963.9,3509.4,small_spike,Cinnamon soils,loamy sand,14.7,11.4,88,8.1,180,150,135,6383
1583,low,north wheat,2007,8.1,13.9,3.2,2255.8,772.5,164.3,1614.6,3123.6,small_spike,Cinnamon soils,loam,14.2,14.5,68,7.9,180,150,120,6071
1584,high,north wheat,2007,8.1,13.9,3.2,2255.8,772.5,164.3,1614.6,3123.6,small_spike,Cinnamon soils,loam,18.9,49.8,110,7.8,180,150,120,6587
1585,low,north wheat,2007,8.1,13.9,3.2,2255.8,772.5,164.3,1614.6,3123.6,small_spike,Cinnamon soils,sandy clay loam,10.9,6.8,100,8,225,150,150,6894
1586,low,north wheat,2007,8.1,13.9,3.2,2255.8,772.5,164.3,1614.6,3123.6,small_spike,Cinnamon soils,loam,11.2,11.5,65,8,180,150,120,6627
1587,low,north wheat,2007,8.1,13.9,3.2,2255.8,772.5,164.3,1614.6,3123.6,small_spike,Cinnamon soils,loam,13,6.8,74,7.5,180,150,120,6837
1588,low,north wheat,2008,8.9,15.2,3.5,2441.8,955.7,156.4,1741.3,3260.1,small_spike,Cinnamon soils,loam,13.6,14.7,70,7.9,180,150,120,6587
1589,high,north wheat,2008,8.9,15.2,3.5,2441.8,955.7,156.4,1741.3,3260.1,small_spike,Cinnamon soils,loam,17.1,37.7,138,7.8,180,150,120,5760
1590,low,north wheat,2008,8.9,15.2,3.5,2441.8,955.7,156.4,1741.3,3260.1,small_spike,Cinnamon soils,loam,10,14,61,7.9,225,150,150,8073
1591,low,north wheat,2008,8.9,15.2,3.5,2441.8,955.7,156.4,1741.3,3260.1,small_spike,Cinnamon soils,sandy clay loam,11.9,6.7,101,8,225,150,150,6894
1592,low,north wheat,2008,8.9,15.2,3.5,2441.8,955.7,156.4,1741.3,3260.1,small_spike,Cinnamon soils,loam,12,10.6,67,8,180,150,120,6627
1593,low,north wheat,2008,8.9,15.2,3.5,2441.8,955.7,156.4,1741.3,3260.1,small_spike,Cinnamon soils,sandy clay loam,14.1,11.4,104,7.7,225,150,150,7820
1594,low,north wheat,2008,8.9,15.2,3.5,2441.8,955.7,156.4,1741.3,3260.1,small_spike,Cinnamon soils,sandy loam,7.4,7.6,86,7.8,180,150,120,7041
1595,low,north wheat,2008,8.9,15.2,3.5,2441.8,955.7,156.4,1741.3,3260.1,small_spike,Cinnamon soils,loam,10.4,4.5,72,7.5,180,150,120,6944
1596,low,north wheat,2009,7,12.4,2.5,2164.7,837.6,200.2,1596.7,3137,small_spike,Cinnamon soils,loam,13.9,14.6,69,7.9,180,150,120,6480
1597,high,north wheat,2009,7,12.4,2.5,2164.7,837.6,200.2,1596.7,3137,small_spike,Cinnamon soils,loam,18,43.7,124,7.8,180,150,120,5982
1598,low,north wheat,2009,6.8,12.1,2.2,2058.2,781.1,188.1,1541.4,3031.9,small_spike,Cinnamon soils,sandy loam,10.5,15.8,76,7.8,180,150,120,6575
1599,low,north wheat,2009,7,12.4,2.5,2164.7,837.6,200.2,1596.7,3137,small_spike,Cinnamon soils,loam,11.7,5.7,73,7.5,180,150,120,7070
1600,low,north wheat,2006,8.6,14.4,3.4,2208.4,840.2,131,1614.4,3052.4,small_spike,Cinnamon soils,loam,12.5,13.6,87,8.4,180,150,120,5594
1601,low,north wheat,2006,8.9,14.7,3.7,2314.5,896.3,131,1636.1,3111.6,small_spike,Cinnamon soils,sandy loam,12.4,5.4,118,7.3,225,150,150,6240
1602,low,north wheat,2007,8.1,13.9,3.2,2266.4,773.1,185.1,1623.8,3136.1,small_spike,Cinnamon soils,loam,13.3,5,90,8,192,96,144,5067
1603,high,north wheat,2008,8.9,15.2,3.5,2426.7,950.6,156.1,1733.2,3246,small_spike,Cinnamon soils,loam,29.4,18.9,155,8.4,240,120,180,6933
1604,low,north wheat,2008,8.8,15.1,3.3,2368.3,922.2,156.1,1733.2,3226.7,small_spike,Cinnamon soils,loam,10.4,13,74,8.3,192,96,144,6801
1605,high,north wheat,2005,9.5,14.6,4.8,2506.6,907.6,179,1515.6,3070.4,small_spike,Cinnamon soils,loam,25.6,20.5,114,7.6,180,108,60,5951
1606,high,north wheat,2005,9.5,14.6,4.8,2506.6,907.6,179,1515.6,3070.4,small_spike,Cinnamon soils,loamy sand,19.6,19.3,129,7,180,108,60,5852
1607,low,north wheat,2006,10.8,16,6.1,2726.2,1045.2,153.4,1308.8,2832.7,small_spike,Cinnamon soils,loamy sand,14.6,4.7,48,7.6,180,108,48,6714
1608,low,north wheat,2008,9.8,15.1,5,2497.2,891,272.2,1467,2949.8,small_spike,Cinnamon soils,loamy sand,10.2,13.8,93,7.9,180,108,60,6452
1609,low,north wheat,2006,10.8,16,6.1,2726.2,1045.2,153.4,1308.8,2832.7,small_spike,Cinnamon soils,loamy sand,12,9.3,72,7.3,180,108,48,6297
1610,high,north wheat,2008,9.6,14.9,4.8,2417.7,841.5,272.2,1432.8,2873.3,small_spike,Cinnamon soils,loamy sand,15.5,36.5,111,7.9,180,108,60,5813
1611,high,north wheat,2006,10.8,16,6.1,2726.2,1045.2,153.4,1308.8,2832.7,small_spike,Cinnamon soils,loamy sand,16.3,33.5,86,7.4,180,96,60,5510
1612,high,north wheat,2008,9.3,14.6,4.4,2274.4,758.2,256,1379.2,2746.7,small_spike,Cinnamon soils,loam,18.2,32.9,116,7.9,180,108,60,4248
1613,high,north wheat,2008,9.3,14.6,4.4,2274.4,758.2,256,1379.2,2746.7,small_spike,Cinnamon soils,loam,18.2,32.9,116,7.9,180,108,60,4248
1614,low,north wheat,2005,9.5,14.6,4.8,2506.6,907.6,179,1515.6,3070.4,small_spike,Fluvo-aquic soils,loamy sand,13.2,14.5,45,7.7,210,108,72,5462
1615,low,north wheat,2005,9.5,14.6,4.8,2506.6,907.6,179,1515.6,3070.4,small_spike,Fluvo-aquic soils,loam,11.9,12.4,91,7.6,210,108,72,4139
1616,low,north wheat,2005,9.5,14.6,4.8,2506.6,907.6,179,1515.6,3070.4,small_spike,Cinnamon soils,loam,14.1,7,110,7.7,180,108,48,2709
1617,high,north wheat,2005,9.5,14.6,4.8,2506.6,907.6,179,1515.6,3070.4,small_spike,Cinnamon soils,sandy clay loam,18.5,20.7,90,7.2,180,96,60,4313
1618,low,north wheat,2009,8.5,13.9,4,2292.7,868,154.4,1550.3,3158.5,small_spike,Fluvo-aquic soils,loam,13.4,14.1,90,8.4,255,120,96,9311
1619,high,north wheat,2009,7.6,13,3.2,1979.8,695.1,121.4,1452.9,2925.9,small_spike,Fluvo-aquic soils,loam,16.6,21.6,183,7.5,180,105,90,6773
1620,high,north wheat,2009,7.6,13,3.2,1979.8,695.1,121.4,1452.9,2925.9,small_spike,Fluvo-aquic soils,loam,17.9,24.2,172,7.8,180,105,90,6828
1621,high,north wheat,2009,7.6,13,3.2,1979.8,695.1,121.4,1452.9,2925.9,small_spike,Fluvo-aquic soils,loam,16.9,19.4,192,7.2,180,105,90,7515
1622,low,north wheat,2007,8,14.3,3,2047.1,636.2,162.5,1239.3,2691.4,small_spike,Fluvo-aquic soils,loamy sand,10.9,17.6,120,8.3,225,120,90,7320
1623,high,north wheat,2007,8,14.3,3,2047.1,636.2,162.5,1239.3,2691.4,small_spike,Fluvo-aquic soils,loam,16.6,26.2,190,8.1,225,120,90,7320
1624,high,north wheat,2008,9.7,15.5,5.1,2443.3,842.4,248.7,1527.7,3064,medium_spike,Fluvo-aquic soils,loam,17.3,27.4,120,8.1,225,120,120,8130
1625,low,north wheat,2008,9.7,15.5,5.1,2443.3,842.4,248.7,1527.7,3064,medium_spike,Fluvo-aquic soils,loam,14.2,12.2,96,8.2,225,120,120,8100
1626,low,north wheat,2008,9.7,15.5,5.1,2443.3,842.4,248.7,1527.7,3064,medium_spike,Fluvo-aquic soils,loam,13.5,17.4,146,8.2,225,120,120,8535
1627,low,north wheat,2008,9.7,15.5,5.1,2443.3,842.4,248.7,1527.7,3064,medium_spike,Fluvo-aquic soils,clay,10.9,16.5,84,8.1,225,120,120,8130
1628,low,north wheat,2008,9.7,15.5,5.1,2443.3,842.4,248.7,1527.7,3064,medium_spike,Fluvo-aquic soils,loam,12.7,13.2,108,7.9,225,120,120,7590
1629,high,north wheat,2009,7.9,12.9,3.9,2147.7,825.3,82.6,1538.3,3100.3,small_spike,Fluvo-aquic soils,loamy sand,17.9,34.9,200,7.8,210,105,90,7475
1630,high,north wheat,2009,7.9,12.9,3.9,2147.7,825.3,82.6,1538.3,3100.3,small_spike,Fluvo-aquic soils,sandy loam,16.2,45.2,220,7.7,210,105,90,8288
1631,low,north wheat,2009,9.9,15.6,5.2,2559.7,971.5,148.9,1691.3,3291.7,small_spike,Fluvo-aquic soils,loam,7.4,18,54,7.4,225,105,105,5946
1632,high,north wheat,2008,9.9,15.6,5.2,2559.7,971.5,148.9,1691.3,3291.7,small_spike,Fluvo-aquic soils,sandy loam,20,27.4,120,7.3,225,105,105,8730
1633,low,north wheat,2008,9,15.1,4,2329,825.3,216.1,1785.8,3360.2,small_spike,Fluvo-aquic soils,loam,14.3,10.8,130,7.4,210,120,90,7895
1634,low,north wheat,2008,8.5,14.7,3.3,2198.7,776.4,211.7,1671.7,3164.7,small_spike,Fluvo-aquic soils,loam,14.4,14.6,85,8.2,225,120,90,7079
1635,high,north wheat,2009,6.6,12.2,1.9,1862.2,655,93.4,1561,3040.4,small_spike,Fluvo-aquic soils,loam,15.2,22.4,79,8,210,120,90,7320
1636,low,north wheat,2007,8.1,14,3.2,2126.3,698,175.9,1606.5,3103.2,small_spike,Fluvo-aquic soils,loam,12,6.9,79,8.2,225,120,90,7220
1637,high,north wheat,2007,8.1,14,3.2,2126.3,698,175.9,1606.5,3103.2,small_spike,Fluvo-aquic soils,loam,16,45.6,95,8.3,225,120,90,7176
1638,low,north wheat,2009,7.2,12.6,2.8,1927.5,717.8,97.7,1738,3342.3,small_spike,Fluvo-aquic soils,clay,11.7,15.7,86,7.3,165,135,75,6215
1639,high,north wheat,2009,7.3,12.7,2.9,1954.8,735.1,106.9,1738,3349.8,small_spike,Fluvo-aquic soils,loam,15.5,23.6,120,8.1,195,180,105,6965
1640,low,north wheat,2008,8.6,14.8,3.4,2189.4,767.4,165.4,1714.3,3285.1,small_spike,Fluvo-aquic soils,loam,11.8,12.6,87,7.1,165,135,75,7359
1641,high,north wheat,2008,8.9,15.1,3.6,2292,820,165.4,1750.5,3356,small_spike,Fluvo-aquic soils,loam,15.4,20.6,139,7.3,195,180,105,8586
1642,low,north wheat,2008,8.5,14.7,3.3,2164.7,742.7,165.2,1699.9,3244.1,small_spike,Fluvo-aquic soils,loam,7.7,12.3,121,7.6,165,135,75,7952
1643,low,north wheat,2009,6.2,12,1.3,1796.5,602.4,99.6,1524.2,2995.9,small_spike,Solonchaks,loam,10.3,11.6,77,7.1,254,120,78,5984
1644,low,north wheat,2009,6.1,11.8,1.2,1751,576.9,99.6,1507.1,2954.1,small_spike,Fluvo-aquic soils,loam,11.2,10,96,7.1,254,120,78,7185
1645,low,north wheat,2007,7.5,13.6,2.4,2021.1,617.3,138.6,1410.1,2861,small_spike,Fluvo-aquic soils,loam,10.4,16,76,7.3,225,120,60,6911
1646,low,north wheat,2007,8.9,14.2,4.3,2211.8,738.9,289.8,1378.9,2843.5,small_spike,Cinnamon soils,sandy loam,11.2,15.6,138,8.2,210,120,90,6585
1647,low,north wheat,2007,9.5,14.8,5.1,2529.9,887,310.8,1405.2,2975.5,large_spike,Cinnamon soils,loamy sand,11,3.7,176,8.2,210,120,90,6390
1648,high,north wheat,2005,11.2,16.5,7,3101.8,1268.6,154.5,1636.5,3377.2,small_spike,Lime concretion fluvo-aquic soils,loamy sand,18.5,23.5,104,8.1,210,120,90,5754
1649,high,north wheat,2005,10.9,16.2,6.7,2964.9,1181.7,150.4,1614.9,3308,small_spike,Lime concretion fluvo-aquic soils,clay,20,47.7,69,8.1,210,120,90,5733
1650,high,north wheat,2005,10.5,15.8,6.3,2622,1067.6,123.8,1490.1,3073.4,small_spike,Cinnamon soils,sandy loam,17.1,20,130,8,210,120,90,5370
